state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
South Carolina,1895,11.3,8.1,17.0,22.1,26.2,31.8,32.0,31.4,31.0,23.6,18.2,13.3,52.3,46.6,62.6,71.8,79.2,89.3,89.6,88.5,87.8,74.5,64.8,55.9
South Carolina,1896,11.4,14.8,17.5,26.0,31.4,31.1,32.4,32.6,30.1,23.2,21.1,12.6,52.6,58.7,63.5,78.8,88.5,87.9,90.3,90.7,86.2,73.7,70.0,54.6
South Carolina,1897,10.7,15.3,18.7,23.3,27.7,32.6,32.8,31.3,29.6,25.0,19.4,13.8,51.3,59.6,65.6,74.0,81.9,90.7,91.1,88.4,85.2,77.0,67.0,56.9
South Carolina,1898,14.8,13.8,20.3,21.3,30.6,33.4,32.4,31.1,29.6,22.8,16.4,13.0,58.7,56.9,68.5,70.4,87.1,92.1,90.3,88.0,85.2,73.1,61.5,55.4
South Carolina,1899,12.5,12.2,18.8,21.8,30.1,32.9,32.8,33.3,29.1,23.8,18.9,13.0,54.5,53.9,65.9,71.3,86.2,91.3,91.0,92.0,84.4,74.9,66.1,55.4
South Carolina,1900,12.8,12.6,17.0,23.6,28.4,30.2,33.4,35.1,31.6,25.2,19.5,13.1,55.0,54.6,62.6,74.5,83.2,86.3,92.1,95.1,88.9,77.4,67.1,55.6
South Carolina,1901,13.0,12.3,18.2,19.5,28.8,30.7,33.1,31.2,28.8,24.1,15.8,12.5,55.4,54.2,64.7,67.1,83.9,87.3,91.6,88.1,83.8,75.4,60.4,54.5
South Carolina,1902,11.8,9.9,18.3,22.2,30.1,32.2,34.1,31.9,28.1,24.4,20.5,13.3,53.2,49.9,64.9,71.9,86.1,90.0,93.3,89.5,82.5,76.0,68.9,56.0
South Carolina,1903,10.8,15.1,20.3,22.2,27.4,29.0,32.8,32.4,28.3,23.6,16.2,11.4,51.5,59.2,68.5,72.0,81.4,84.2,91.1,90.4,82.9,74.4,61.2,52.6
South Carolina,1904,10.2,12.8,19.6,21.6,28.2,31.4,32.7,30.7,29.9,23.9,17.3,12.8,50.4,55.0,67.2,70.9,82.7,88.6,90.9,87.3,85.8,75.0,63.1,55.1
South Carolina,1905,11.2,9.4,20.6,23.8,28.7,32.2,32.5,31.1,30.4,24.1,19.1,11.6,52.1,48.9,69.0,74.8,83.7,90.0,90.5,88.0,86.8,75.4,66.4,52.9
South Carolina,1906,13.7,14.2,16.5,25.3,27.8,31.6,31.1,31.9,30.1,22.0,19.1,14.7,56.6,57.6,61.7,77.6,82.0,88.8,87.9,89.5,86.2,71.6,66.3,58.5
South Carolina,1907,17.4,13.3,23.6,19.9,27.4,30.3,33.4,31.8,30.1,23.0,17.0,13.5,63.4,55.9,74.5,67.8,81.4,86.5,92.1,89.3,86.2,73.4,62.6,56.3
South Carolina,1908,12.7,11.9,22.4,25.4,29.1,30.7,31.9,31.3,28.2,22.9,19.7,15.7,54.9,53.4,72.3,77.7,84.4,87.2,89.5,88.4,82.8,73.2,67.4,60.3
South Carolina,1909,15.4,17.5,18.0,23.9,27.4,31.4,31.3,31.8,28.0,23.2,21.2,11.4,59.7,63.5,64.4,75.0,81.3,88.6,88.3,89.2,82.4,73.7,70.1,52.5
South Carolina,1910,13.1,13.0,21.9,24.6,27.6,29.6,31.8,31.2,30.1,25.4,17.3,11.0,55.5,55.4,71.5,76.2,81.6,85.2,89.3,88.2,86.2,77.8,63.2,51.8
South Carolina,1911,15.6,17.1,19.0,22.6,29.9,34.2,32.6,32.2,31.6,24.8,16.3,14.9,60.1,62.8,66.2,72.7,85.9,93.6,90.6,90.0,88.9,76.7,61.4,58.8
South Carolina,1912,9.6,11.3,17.0,23.7,28.4,29.9,32.0,32.3,30.2,24.4,18.1,14.5,49.2,52.4,62.6,74.7,83.1,85.9,89.6,90.1,86.3,75.9,64.6,58.1
South Carolina,1913,17.1,14.5,18.8,22.6,29.2,31.7,33.7,31.7,27.6,23.3,18.9,13.8,62.7,58.1,65.8,72.7,84.6,89.0,92.7,89.1,81.6,74.0,66.0,56.8
South Carolina,1914,13.7,12.4,16.1,23.9,29.8,33.6,33.1,31.4,27.7,23.1,17.9,10.0,56.7,54.4,61.0,75.0,85.6,92.5,91.5,88.5,81.8,73.5,64.3,50.0
South Carolina,1915,12.1,14.7,13.6,24.3,28.6,30.4,33.2,31.2,30.3,25.0,19.7,12.3,53.8,58.4,56.4,75.7,83.5,86.7,91.8,88.2,86.5,77.0,67.5,54.2
South Carolina,1916,16.4,15.4,18.6,23.3,30.4,30.7,30.0,31.9,28.6,23.6,19.0,13.7,61.5,59.7,65.4,74.0,86.7,87.2,86.0,89.5,83.5,74.4,66.2,56.6
South Carolina,1917,15.0,14.7,18.6,25.3,25.9,31.3,32.1,31.6,26.9,22.7,16.9,8.5,59.0,58.4,65.4,77.5,78.6,88.3,89.8,88.8,80.5,72.9,62.4,47.3
South Carolina,1918,8.3,17.3,21.3,21.8,28.8,31.3,31.9,32.8,27.2,25.2,17.3,15.1,46.9,63.1,70.3,71.3,83.8,88.4,89.4,91.0,81.0,77.4,63.2,59.2
South Carolina,1919,14.6,13.2,19.4,23.9,27.6,30.3,31.7,31.1,29.9,28.6,19.6,13.8,58.2,55.7,67.0,75.1,81.7,86.5,89.0,88.0,85.8,83.4,67.2,56.9
South Carolina,1920,13.2,12.0,17.1,22.2,26.2,31.7,32.1,30.5,29.8,24.8,17.2,13.0,55.8,53.6,62.8,71.9,79.2,89.1,89.7,86.9,85.7,76.7,62.9,55.4
South Carolina,1921,14.3,15.6,23.2,24.2,26.2,32.9,31.8,31.2,33.4,24.1,19.4,16.6,57.7,60.0,73.8,75.5,79.2,91.3,89.3,88.2,92.1,75.3,66.9,61.8
South Carolina,1922,11.4,16.9,19.0,24.5,27.6,31.7,32.3,30.2,30.3,24.4,19.3,15.4,52.6,62.4,66.2,76.1,81.7,89.1,90.2,86.4,86.6,76.0,66.7,59.7
South Carolina,1923,15.4,13.3,19.5,23.1,26.0,31.2,32.1,31.6,29.8,23.3,16.5,16.9,59.7,55.9,67.1,73.5,78.8,88.1,89.8,88.9,85.6,74.0,61.7,62.5
