state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
South Dakota,1895,-7.6,-5.0,5.9,19.0,20.6,24.0,29.6,29.6,25.7,15.1,3.4,0.3,18.3,23.0,42.6,66.2,69.0,75.2,85.2,85.3,78.2,59.2,38.1,32.6
South Dakota,1896,-1.7,2.7,0.8,13.6,22.1,26.8,29.0,29.1,20.5,14.3,-5.3,0.9,28.9,36.9,33.5,56.4,71.8,80.2,84.2,84.4,68.9,57.7,22.4,33.7
South Dakota,1897,-6.5,-3.5,-0.5,13.0,22.6,25.0,29.8,26.5,28.7,16.9,3.3,-2.9,20.3,25.7,31.1,55.4,72.7,77.0,85.7,79.7,83.7,62.4,37.9,26.8
South Dakota,1898,-0.2,2.3,4.4,14.6,18.3,26.2,29.8,29.7,24.6,11.7,3.6,-1.7,31.6,36.1,40.0,58.2,65.0,79.1,85.7,85.5,76.3,53.0,38.4,29.0
South Dakota,1899,-2.8,-8.6,-3.3,13.2,18.8,25.5,30.2,28.8,24.2,15.3,11.5,-1.6,26.9,16.6,26.1,55.8,65.9,77.9,86.4,83.8,75.5,59.6,52.7,29.2
South Dakota,1900,1.8,-3.1,5.4,17.0,24.8,28.6,29.1,30.2,21.9,18.4,3.6,2.1,35.2,26.4,41.7,62.6,76.6,83.5,84.3,86.4,71.5,65.1,38.5,35.8
South Dakota,1901,0.3,-2.9,6.3,15.4,23.9,24.7,33.3,29.9,20.8,18.1,8.2,-2.0,32.5,26.8,43.4,59.8,75.0,76.4,91.9,85.8,69.5,64.5,46.8,28.4
South Dakota,1902,-1.2,-2.9,5.4,13.5,21.9,23.1,29.1,27.1,22.1,17.6,6.7,-4.4,29.8,26.8,41.8,56.3,71.4,73.6,84.3,80.8,71.7,63.6,44.0,24.0
South Dakota,1903,-2.1,-5.2,4.0,14.7,20.2,24.7,28.6,26.5,20.4,18.1,4.8,-1.4,28.2,22.6,39.2,58.5,68.4,76.5,83.5,79.7,68.7,64.6,40.7,29.5
South Dakota,1904,-5.0,-5.3,5.0,13.0,20.5,23.9,27.7,28.3,23.6,17.7,11.7,-0.2,23.0,22.5,41.0,55.4,68.9,75.1,81.8,83.0,74.5,63.9,53.1,31.6
South Dakota,1905,-6.8,-4.3,9.8,13.3,17.2,23.3,26.4,29.3,25.6,13.0,8.4,0.8,19.7,24.2,49.6,56.0,63.0,73.9,79.5,84.7,78.1,55.4,47.2,33.4
South Dakota,1906,-0.3,0.6,-0.7,16.8,19.6,23.8,28.7,27.2,24.6,15.5,4.6,-0.4,31.5,33.1,30.7,62.3,67.3,74.8,83.6,80.9,76.2,59.9,40.2,31.3
South Dakota,1907,-8.6,0.5,8.8,10.3,16.1,24.3,27.9,29.0,21.6,17.7,8.1,2.8,16.6,32.9,47.9,50.6,60.9,75.7,82.3,84.2,70.8,63.9,46.6,37.0
South Dakota,1908,2.2,-0.6,6.1,17.2,19.1,23.3,29.3,27.2,27.6,14.2,7.8,-1.7,35.9,30.9,42.9,63.0,66.4,73.9,84.8,81.0,81.6,57.5,46.0,28.9
South Dakota,1909,-5.2,-1.6,4.1,10.7,19.4,25.2,28.3,31.0,23.9,15.8,6.5,-8.9,22.6,29.2,39.4,51.3,67.0,77.4,82.9,87.8,75.1,60.4,43.7,15.9
South Dakota,1910,-4.6,-5.9,15.7,19.0,18.8,27.3,31.2,27.5,23.1,20.3,4.8,-0.8,23.7,21.4,60.2,66.2,65.8,81.2,88.2,81.5,73.5,68.6,40.7,30.5
South Dakota,1911,-2.7,-0.4,11.7,13.9,23.3,30.8,29.8,26.0,22.9,12.1,0.7,-2.1,27.1,31.3,53.1,57.0,73.9,87.4,85.6,78.8,73.3,53.7,33.2,28.3
South Dakota,1912,-9.7,-2.0,0.2,16.2,20.8,25.4,28.6,26.8,19.1,17.1,10.1,2.8,14.6,28.4,32.4,61.1,69.5,77.7,83.5,80.2,66.3,62.8,50.2,37.0
South Dakota,1913,-2.4,-3.0,2.3,16.3,18.6,28.1,29.0,31.1,24.1,13.3,10.2,2.6,27.7,26.6,36.2,61.4,65.5,82.6,84.2,87.9,75.4,56.0,50.3,36.6
South Dakota,1914,1.5,-5.8,5.0,13.9,20.8,26.4,32.1,28.2,25.0,18.4,10.4,-5.3,34.7,21.5,41.0,57.0,69.5,79.6,89.8,82.8,77.0,65.1,50.7,22.4
South Dakota,1915,-4.8,-1.3,-1.3,18.3,16.9,21.9,24.6,25.1,21.2,17.8,7.7,0.3,23.4,29.7,29.6,64.9,62.5,71.4,76.3,77.1,70.2,64.0,45.8,32.5
South Dakota,1916,-10.2,-2.6,7.0,12.7,19.4,22.4,32.1,27.7,23.1,14.4,6.8,-5.7,13.7,27.4,44.6,54.9,66.9,72.4,89.7,81.8,73.6,58.0,44.2,21.7
South Dakota,1917,-4.6,-6.1,1.9,10.3,18.0,24.3,31.7,28.0,23.0,11.7,11.7,-5.4,23.7,21.0,35.4,50.6,64.4,75.8,89.1,82.4,73.4,53.1,53.0,22.2
South Dakota,1918,-9.3,-0.7,11.9,11.9,21.6,27.0,28.3,28.8,21.1,17.5,6.3,0.8,15.3,30.7,53.4,53.5,70.9,80.6,83.0,83.9,69.9,63.5,43.3,33.4
South Dakota,1919,2.4,-4.3,4.0,12.8,20.3,26.7,31.2,29.8,24.6,10.3,-0.1,-4.6,36.4,24.2,39.2,55.0,68.5,80.0,88.1,85.6,76.2,50.5,31.9,23.7
