state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Tennessee,1895,6.1,4.2,14.7,21.4,24.8,30.9,29.7,30.8,29.8,19.7,15.1,9.8,42.9,39.5,58.4,70.6,76.6,87.7,85.4,87.4,85.7,67.4,59.1,49.6
Tennessee,1896,7.7,9.9,12.7,24.6,29.1,28.8,31.0,32.1,28.0,20.9,16.8,10.4,45.9,49.8,54.8,76.2,84.3,83.8,87.8,89.7,82.4,69.6,62.2,50.8
Tennessee,1897,6.8,11.7,16.9,20.7,24.3,31.1,31.6,31.0,30.9,25.7,15.8,9.4,44.3,53.1,62.5,69.3,75.8,88.0,88.9,87.8,87.7,78.2,60.5,49.0
Tennessee,1898,10.9,9.8,17.8,18.3,28.1,31.7,31.1,30.7,29.2,20.1,12.8,8.2,51.7,49.7,64.1,65.0,82.5,89.1,88.0,87.3,84.6,68.2,55.0,46.7
Tennessee,1899,8.2,4.6,14.8,19.9,28.0,31.6,32.2,32.6,28.0,23.6,16.5,8.1,46.7,40.3,58.6,67.8,82.4,88.8,89.9,90.6,82.4,74.4,61.7,46.5
Tennessee,1900,9.0,8.0,13.5,21.4,26.3,28.2,31.2,33.1,30.2,23.9,15.5,10.3,48.2,46.4,56.3,70.5,79.4,82.8,88.1,91.5,86.3,75.0,59.9,50.5
Tennessee,1901,9.1,7.6,15.4,17.7,25.4,31.4,34.6,29.6,26.2,22.1,12.7,6.6,48.4,45.7,59.8,63.8,77.7,88.5,94.2,85.2,79.1,71.8,54.8,43.8
Tennessee,1902,7.8,4.0,15.2,20.0,28.6,31.1,33.1,31.7,26.1,22.3,17.9,8.2,46.0,39.2,59.4,68.0,83.5,87.9,91.6,89.0,79.0,72.2,64.3,46.7
Tennessee,1903,8.1,10.5,17.3,20.2,26.4,26.6,31.6,31.1,28.7,22.4,12.9,6.8,46.5,50.9,63.2,68.3,79.5,79.9,88.8,87.9,83.7,72.4,55.3,44.2
Tennessee,1904,7.3,10.3,16.4,18.1,25.6,29.7,30.3,30.7,29.2,22.6,14.2,9.1,45.1,50.6,61.6,64.5,78.1,85.4,86.5,87.2,84.5,72.7,57.6,48.3
Tennessee,1905,4.1,4.3,19.1,21.1,26.6,30.2,30.1,30.6,28.8,21.3,15.9,7.8,39.4,39.7,66.3,70.0,79.8,86.4,86.2,87.1,83.9,70.3,60.6,46.1
Tennessee,1906,10.3,10.1,11.2,23.3,26.4,30.3,29.8,30.8,28.7,20.3,15.4,10.2,50.6,50.2,52.2,73.9,79.5,86.5,85.6,87.5,83.7,68.5,59.8,50.3
Tennessee,1907,14.0,10.2,20.9,16.4,23.7,28.4,32.6,31.6,28.1,21.3,13.3,9.7,57.2,50.3,69.7,61.6,74.6,83.2,90.6,88.8,82.5,70.4,56.0,49.4
Tennessee,1908,8.2,8.7,19.2,22.9,26.2,29.6,31.4,30.8,29.1,21.9,16.9,10.8,46.7,47.7,66.6,73.3,79.2,85.3,88.6,87.5,84.4,71.5,62.5,51.4
Tennessee,1909,10.4,13.4,15.2,21.6,24.9,29.6,30.4,32.0,27.0,21.9,20.1,5.7,50.7,56.1,59.4,70.8,76.8,85.2,86.7,89.6,80.6,71.5,68.2,42.3
Tennessee,1910,8.6,8.4,21.3,20.7,23.6,27.6,29.9,30.4,29.5,23.3,13.4,6.5,47.5,47.1,70.4,69.2,74.5,81.7,85.8,86.7,85.1,74.0,56.1,43.7
Tennessee,1911,11.3,13.6,17.0,19.7,28.7,32.0,30.4,29.9,31.1,23.2,13.1,11.3,52.3,56.4,62.6,67.4,83.7,89.6,86.8,85.9,87.9,73.7,55.5,52.4
Tennessee,1912,5.6,7.3,12.4,21.7,26.4,27.9,30.4,30.0,29.4,23.3,14.7,9.4,42.0,45.2,54.4,71.1,79.5,82.2,86.7,86.0,84.9,74.0,58.5,48.9
Tennessee,1913,12.8,9.4,15.6,20.7,26.4,31.5,32.9,33.1,28.0,20.9,17.6,10.3,55.0,48.9,60.0,69.3,79.6,88.7,91.2,91.5,82.4,69.6,63.6,50.5
Tennessee,1914,10.3,9.1,12.4,21.3,27.2,33.9,33.2,30.7,27.6,21.8,16.1,5.8,50.5,48.4,54.3,70.3,81.0,93.0,91.8,87.3,81.7,71.3,60.9,42.4
Tennessee,1915,7.3,11.3,9.7,23.8,26.8,29.2,31.2,28.7,28.9,23.2,17.1,9.4,45.1,52.3,49.5,74.9,80.2,84.5,88.2,83.6,84.1,73.8,62.8,49.0
Tennessee,1916,12.4,9.9,15.2,19.9,27.6,28.6,30.7,30.9,27.4,23.1,16.8,9.4,54.4,49.9,59.4,67.9,81.7,83.4,87.2,87.7,81.4,73.5,62.2,48.9
Tennessee,1917,10.3,10.6,15.4,22.5,22.9,28.9,30.4,29.6,26.9,19.4,14.6,4.9,50.5,51.1,59.7,72.5,73.3,84.1,86.8,85.3,80.4,66.9,58.3,40.9
Tennessee,1918,1.9,13.3,20.2,19.7,27.9,30.6,30.6,33.1,25.1,23.2,14.1,12.4,35.4,56.0,68.4,67.5,82.3,87.0,87.0,91.6,77.2,73.8,57.3,54.4
Tennessee,1919,9.5,10.1,16.5,21.7,24.2,30.4,32.4,30.6,29.7,24.7,15.8,9.3,49.1,50.2,61.7,71.0,75.5,86.7,90.4,87.0,85.4,76.4,60.5,48.8
Tennessee,1920,8.7,8.7,14.8,20.1,25.1,29.0,30.7,28.9,28.1,24.3,13.5,9.3,47.6,47.6,58.6,68.2,77.2,84.2,87.2,84.0,82.6,75.7,56.3,48.7
Tennessee,1921,10.7,12.1,21.4,21.9,26.0,32.1,32.8,30.4,31.2,22.3,16.8,11.9,51.2,53.8,70.6,71.5,78.8,89.8,91.1,86.8,88.1,72.1,62.3,53.5
Tennessee,1922,7.9,12.3,15.8,22.6,26.1,30.5,31.1,30.8,30.3,23.6,16.1,12.6,46.2,54.2,60.5,72.6,79.0,86.9,87.9,87.4,86.5,74.5,61.0,54.7
Tennessee,1923,11.6,8.5,15.8,20.7,23.8,29.3,31.2,30.3,27.8,21.7,14.3,13.9,52.9,47.3,60.4,69.2,74.9,84.7,88.2,86.6,82.1,71.1,57.8,57.0
Tennessee,1924,6.9,8.6,11.3,21.2,23.1,30.2,30.7,32.8,25.5,24.6,16.3,9.3,44.5,47.5,52.4,70.2,73.5,86.4,87.3,91.0,77.9,76.3,61.3,48.8
