state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Texas,1895,14.4,10.1,20.9,26.4,27.6,31.9,32.9,34.7,32.1,24.1,16.9,14.8,57.9,50.2,69.7,79.6,81.6,89.4,91.3,94.4,89.8,75.4,62.4,58.6
Texas,1896,13.7,17.4,19.6,26.1,32.0,35.3,34.1,35.8,31.1,23.5,18.4,16.5,56.7,63.4,67.2,79.0,89.6,95.5,93.4,96.5,87.9,74.3,65.2,61.7
Texas,1897,10.7,18.1,22.2,25.9,29.0,33.4,36.3,33.8,31.1,27.7,21.6,13.8,51.3,64.5,72.0,78.6,84.2,92.2,97.4,92.8,88.0,81.9,70.9,56.9
Texas,1898,15.9,18.7,20.2,24.8,29.5,32.3,33.7,33.9,31.6,26.8,17.6,11.9,60.7,65.7,68.4,76.7,85.1,90.2,92.7,93.0,88.8,80.3,63.6,53.4
Texas,1899,13.1,11.3,22.1,24.2,31.0,32.7,33.9,36.9,31.8,26.8,19.8,13.3,55.5,52.4,71.8,75.5,87.8,90.8,93.1,98.4,89.3,80.2,67.7,56.0
Texas,1900,14.2,15.2,19.8,23.9,28.4,34.2,32.9,33.1,31.6,25.8,19.7,14.7,57.6,59.4,67.6,75.1,83.2,93.6,91.3,91.6,88.9,78.4,67.4,58.5
Texas,1901,15.8,14.4,21.2,24.3,29.6,34.9,35.5,35.8,30.9,27.1,20.7,14.9,60.4,58.0,70.2,75.8,85.3,94.8,95.9,96.4,87.6,80.8,69.2,58.9
Texas,1902,14.1,15.6,21.1,27.1,30.6,34.9,33.0,35.5,30.1,26.3,20.2,13.8,57.3,60.1,70.0,80.7,87.1,94.9,91.4,95.9,86.2,79.4,68.3,56.9
Texas,1903,13.4,12.0,18.3,24.6,27.1,29.3,33.8,33.4,30.2,24.9,20.1,16.0,56.2,53.6,64.9,76.3,80.8,84.7,92.9,92.2,86.3,76.9,68.2,60.8
Texas,1904,14.8,20.2,24.6,25.6,28.8,31.7,33.2,33.2,30.1,25.8,19.8,15.1,58.6,68.4,76.3,78.0,83.8,89.1,91.7,91.7,86.1,78.5,67.6,59.2
