state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Utah,1895,-0.4,2.0,7.9,16.4,20.1,24.6,28.3,28.9,23.3,16.0,5.0,-1.6,31.3,35.6,46.2,61.6,68.1,76.2,82.9,84.1,73.9,60.8,41.0,29.2
Utah,1896,3.3,5.6,9.0,13.5,17.6,28.5,28.7,27.5,21.9,15.6,5.3,4.3,37.9,42.0,48.2,56.3,63.7,83.3,83.7,81.5,71.5,60.1,41.5,39.7
Utah,1897,1.2,2.1,4.1,14.2,23.2,25.8,28.3,28.4,22.9,13.0,8.3,-0.8,34.1,35.8,39.4,57.5,73.8,78.4,82.9,83.2,73.3,55.4,46.9,30.6
Utah,1898,-2.8,4.3,6.1,17.2,17.8,26.8,30.6,30.0,24.2,14.7,7.3,-0.2,27.0,39.7,42.9,63.0,64.0,80.3,87.1,86.0,75.6,58.5,45.2,31.6
Utah,1899,1.5,3.1,8.4,15.7,17.8,25.7,30.1,26.1,25.7,12.8,9.7,0.6,34.7,37.6,47.1,60.2,64.0,78.3,86.2,79.0,78.2,55.0,49.4,33.0
Utah,1900,4.2,5.8,13.6,12.2,21.7,28.8,30.5,27.5,20.7,15.2,9.6,3.6,39.6,42.4,56.5,53.9,71.0,83.9,86.9,81.5,69.3,59.3,49.3,38.5
Utah,1901,2.6,4.5,8.5,14.3,21.8,24.9,32.2,28.6,23.0,17.2,10.9,3.7,36.6,40.1,47.3,57.7,71.2,76.9,90.0,83.5,73.4,62.9,51.6,38.6
Utah,1902,2.8,6.4,5.9,15.3,20.4,27.9,28.7,28.3,23.7,17.2,6.8,1.7,37.0,43.5,42.6,59.6,68.8,82.2,83.6,83.0,74.7,63.0,44.2,35.0
Utah,1903,2.3,-2.9,7.2,13.4,18.6,26.1,28.4,29.6,22.1,17.1,10.1,3.2,36.2,26.8,45.0,56.2,65.4,79.0,83.2,85.3,71.7,62.7,50.1,37.8
Utah,1904,1.1,7.3,9.6,15.3,20.0,24.9,29.1,27.6,23.9,16.2,11.9,4.1,34.0,45.2,49.3,59.6,68.0,76.8,84.3,81.7,75.0,61.1,53.5,39.3
Utah,1905,2.2,3.2,10.2,14.5,17.1,26.2,29.5,29.0,23.4,14.2,8.4,0.0,36.0,37.8,50.4,58.1,62.7,79.1,85.1,84.2,74.1,57.6,47.2,32.0
Utah,1906,1.1,5.6,7.3,13.9,19.3,24.4,29.2,27.2,21.8,16.4,6.7,4.2,34.0,42.1,45.1,57.0,66.8,75.9,84.5,81.0,71.3,61.5,44.0,39.6
Utah,1907,1.9,9.4,10.2,15.8,17.7,21.7,29.3,26.9,23.3,17.6,9.0,4.3,35.4,49.0,50.4,60.4,63.8,71.1,84.7,80.4,73.9,63.7,48.2,39.7
Utah,1908,2.6,4.3,10.1,16.1,16.7,23.3,29.8,26.9,22.8,12.7,8.5,1.5,36.6,39.7,50.2,61.0,62.1,73.9,85.6,80.5,73.1,54.8,47.3,34.7
Utah,1909,4.4,4.0,7.8,12.9,18.4,27.0,29.8,27.9,22.2,18.1,8.7,-2.8,40.0,39.2,46.0,55.2,65.1,80.6,85.7,82.2,72.0,64.5,47.6,26.9
Utah,1910,0.7,2.9,14.3,17.8,22.1,27.7,30.1,28.7,24.4,16.7,11.6,3.4,33.2,37.2,57.7,64.1,71.7,81.9,86.2,83.6,76.0,62.1,52.8,38.2
