state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Virginia,1895,4.7,2.2,11.8,18.1,22.8,29.4,28.2,30.0,28.8,18.2,14.0,8.6,40.4,35.9,53.2,64.5,73.0,85.0,82.8,86.0,83.9,64.8,57.2,47.4
Virginia,1896,5.8,8.3,10.6,20.7,27.1,27.0,29.6,29.8,25.6,18.3,16.9,7.8,42.5,47.0,51.1,69.2,80.8,80.6,85.2,85.7,78.1,65.0,62.5,46.0
Virginia,1897,5.3,8.9,14.2,19.1,23.1,28.2,30.3,29.2,27.6,21.1,14.4,8.4,41.6,48.1,57.5,66.4,73.5,82.7,86.6,84.6,81.7,70.0,57.9,47.1
Virginia,1898,8.1,8.2,15.3,16.2,25.0,29.1,30.2,29.4,27.1,19.4,11.5,7.6,46.6,46.8,59.6,61.1,77.0,84.4,86.4,84.9,80.8,66.9,52.7,45.6
Virginia,1899,7.1,3.6,12.2,18.7,25.0,29.5,30.7,29.9,25.4,20.7,14.4,7.8,44.8,38.4,54.0,65.7,77.0,85.1,87.3,85.9,77.8,69.3,57.9,46.1
Virginia,1900,7.4,7.1,10.7,18.6,25.4,27.8,31.6,32.6,28.7,21.6,14.7,8.0,45.4,44.7,51.3,65.4,77.8,82.0,88.9,90.7,83.6,70.9,58.4,46.4
Virginia,1901,7.2,5.1,13.8,15.1,23.4,28.0,31.2,28.2,24.8,20.4,10.0,6.7,44.9,41.2,56.9,59.1,74.2,82.4,88.1,82.7,76.6,68.7,50.0,44.1
Virginia,1902,5.0,3.1,13.9,17.5,25.9,28.2,30.9,28.7,24.8,20.7,16.8,7.1,41.0,37.5,57.0,63.5,78.7,82.8,87.7,83.6,76.7,69.2,62.2,44.8
Virginia,1903,5.8,9.9,16.4,17.9,25.2,25.0,30.2,28.1,25.3,19.8,11.7,4.9,42.4,49.8,61.5,64.2,77.4,77.0,86.4,82.6,77.5,67.6,53.1,40.9
Virginia,1904,4.3,5.0,13.0,16.6,24.3,27.6,29.0,27.7,25.8,20.1,12.2,5.8,39.7,41.0,55.4,61.8,75.7,81.7,84.2,81.8,78.4,68.1,54.0,42.5
Virginia,1905,4.3,2.3,14.9,19.1,25.3,28.3,29.1,28.1,26.2,20.2,13.4,7.7,39.8,36.2,58.8,66.4,77.6,82.9,84.4,82.5,79.2,68.3,56.1,45.8
Virginia,1906,8.8,8.2,8.8,20.5,24.9,28.3,28.4,29.0,26.6,18.0,14.2,8.5,47.8,46.8,47.9,68.9,76.9,83.0,83.1,84.2,79.8,64.4,57.5,47.3
Virginia,1907,10.8,6.2,16.7,14.6,22.6,24.3,29.8,28.0,26.5,18.4,11.6,8.5,51.4,43.1,62.0,58.2,72.7,75.8,85.7,82.4,79.7,65.1,52.8,47.3
Virginia,1908,6.2,4.9,16.2,20.6,24.2,27.4,29.9,27.7,25.2,20.2,14.4,8.7,43.1,40.8,61.2,69.1,75.5,81.4,85.9,81.8,77.4,68.4,58.0,47.7
Virginia,1909,9.3,12.7,12.0,19.3,23.8,28.2,28.9,28.1,24.2,18.8,16.8,5.3,48.7,54.8,53.6,66.7,74.9,82.7,84.0,82.6,75.5,65.8,62.3,41.5
Virginia,1910,7.0,7.2,18.1,20.0,22.7,25.6,29.6,27.6,26.7,21.7,9.9,4.1,44.6,45.0,64.6,68.0,72.9,78.0,85.2,81.6,80.0,71.0,49.8,39.3
Virginia,1911,9.6,10.1,12.4,15.9,27.3,28.9,30.8,29.9,26.8,19.8,11.5,10.1,49.3,50.1,54.3,60.7,81.1,84.0,87.4,85.9,80.3,67.6,52.7,50.1
Virginia,1912,2.1,5.1,11.3,20.3,24.4,27.1,29.3,28.7,26.8,21.1,13.8,9.7,35.8,41.2,52.3,68.5,76.0,80.7,84.7,83.6,80.2,69.9,56.9,49.5
Virginia,1913,12.2,8.8,15.3,18.8,24.7,27.8,30.1,28.2,24.4,19.6,14.9,9.7,53.9,47.9,59.6,65.9,76.4,82.0,86.2,82.7,76.0,67.2,58.8,49.5
Virginia,1914,8.6,5.9,10.0,18.7,25.8,30.0,29.4,29.7,24.9,20.6,13.7,4.3,47.4,42.6,50.0,65.6,78.4,86.0,85.0,85.5,76.8,69.0,56.6,39.8
Virginia,1915,6.2,9.9,8.6,21.4,23.6,26.3,29.4,27.6,26.1,20.7,14.5,6.4,43.2,49.9,47.4,70.5,74.5,79.3,84.9,81.6,79.0,69.3,58.1,43.6
Virginia,1916,10.9,8.5,11.8,18.0,25.7,26.2,28.8,28.6,25.1,20.3,14.4,7.8,51.7,47.3,53.2,64.4,78.3,79.2,83.9,83.5,77.1,68.6,57.9,46.0
Virginia,1917,8.4,8.1,12.4,19.4,21.1,27.8,28.8,28.8,22.9,17.8,12.1,2.2,47.1,46.5,54.3,67.0,69.9,82.0,83.8,83.8,73.2,64.1,53.7,35.9
Virginia,1918,0.4,10.2,16.3,17.0,26.6,26.9,27.7,30.1,23.2,21.9,12.9,9.5,32.7,50.4,61.4,62.6,79.9,80.4,81.9,86.1,73.8,71.5,55.3,49.1
Virginia,1919,8.8,7.8,14.4,18.9,23.6,27.6,29.5,28.2,27.0,23.8,13.9,6.9,47.9,46.0,57.9,66.0,74.4,81.6,85.1,82.7,80.6,74.9,57.0,44.4
Virginia,1920,5.7,5.6,13.7,17.6,21.8,27.1,28.4,27.0,25.6,22.3,12.2,7.8,42.2,42.1,56.7,63.7,71.2,80.8,83.2,80.6,78.1,72.2,53.9,46.0
Virginia,1921,8.0,9.7,19.7,21.2,22.2,29.0,30.3,28.2,28.8,21.0,14.9,9.2,46.4,49.5,67.4,70.1,71.9,84.2,86.6,82.8,83.9,69.8,58.8,48.6
Virginia,1922,5.1,9.9,13.9,19.6,24.2,28.1,28.8,27.0,26.6,21.7,14.1,9.9,41.2,49.8,57.0,67.2,75.6,82.5,83.9,80.6,79.8,71.0,57.3,49.8
Virginia,1923,8.1,6.4,14.6,18.6,23.4,29.4,29.2,28.3,25.7,19.4,11.9,12.8,46.6,43.5,58.2,65.5,74.1,84.9,84.6,82.9,78.2,67.0,53.4,55.0
Virginia,1924,7.4,6.3,11.1,17.7,21.7,27.2,28.1,29.3,22.7,21.0,13.8,8.7,45.3,43.4,52.0,63.9,71.1,81.0,82.6,84.8,72.8,69.8,56.9,47.7
Virginia,1925,6.1,13.0,14.9,20.7,22.1,30.7,30.7,28.9,28.9,16.6,11.9,6.9,43.0,55.4,58.8,69.2,71.8,87.3,87.3,84.0,84.1,61.9,53.4,44.4
Virginia,1926,6.4,9.3,10.2,17.8,25.2,27.1,30.4,29.8,26.4,19.8,11.7,6.6,43.6,48.7,50.4,64.1,77.3,80.7,86.7,85.6,79.5,67.7,53.0,43.8
Virginia,1927,6.4,12.1,14.3,17.2,23.6,26.0,29.2,25.9,26.8,21.2,15.7,8.6,43.6,53.8,57.7,62.9,74.4,78.8,84.6,78.6,80.2,70.2,60.2,47.4
Virginia,1928,8.3,8.7,13.2,16.9,23.2,26.3,29.9,29.0,22.5,20.4,13.7,8.7,46.9,47.6,55.8,62.5,73.8,79.4,85.9,84.2,72.5,68.7,56.6,47.6
Virginia,1929,7.0,6.8,15.8,20.9,23.4,27.2,28.9,27.9,25.9,18.6,12.7,8.9,44.6,44.3,60.4,69.6,74.2,80.9,84.1,82.3,78.6,65.5,54.9,48.0
Virginia,1930,7.8,12.4,12.8,19.0,25.9,28.5,32.2,30.1,29.3,18.9,11.8,5.6,46.1,54.4,55.0,66.2,78.6,83.3,90.0,86.1,84.7,66.0,53.3,42.0
Virginia,1931,7.8,10.0,8.7,18.1,23.4,28.7,31.2,28.1,28.5,22.5,17.9,12.7,46.0,50.0,47.7,64.5,74.2,83.6,88.2,82.6,83.3,72.5,64.2,54.8
Virginia,1932,12.4,12.9,10.8,18.5,23.6,28.4,31.2,30.6,26.8,19.8,12.2,9.6,54.3,55.2,51.5,65.3,74.5,83.2,88.1,87.1,80.3,67.7,54.0,49.3
Virginia,1933,11.2,9.2,12.0,18.8,25.8,29.7,29.5,28.3,28.6,20.4,12.8,10.8,52.1,48.5,53.6,65.9,78.5,85.5,85.1,83.0,83.4,68.7,55.0,51.4
Virginia,1934,9.4,3.2,11.6,19.1,24.9,30.1,31.5,28.0,25.8,20.1,14.9,7.7,49.0,37.8,52.8,66.4,76.9,86.2,88.7,82.4,78.4,68.1,58.9,45.9
