state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Washington,1895,0.3,5.4,8.8,14.3,16.4,21.3,23.7,24.5,15.9,15.6,6.2,2.6,32.6,41.8,47.8,57.8,61.6,70.4,74.6,76.1,60.7,60.0,43.2,36.7
Washington,1896,2.4,6.5,7.9,11.0,14.9,21.3,26.9,24.2,19.0,14.3,1.9,4.0,36.4,43.7,46.2,51.8,58.9,70.4,80.4,75.5,66.2,57.7,35.5,39.2
Washington,1897,0.9,4.2,4.2,15.1,20.6,20.2,22.6,27.7,18.9,13.8,4.8,1.8,33.7,39.6,39.6,59.1,69.0,68.3,72.6,81.8,66.1,56.9,40.6,35.2
Washington,1898,0.2,6.6,7.1,14.0,18.3,21.3,25.3,26.6,20.9,13.0,4.5,0.4,32.3,43.8,44.8,57.2,65.0,70.4,77.6,79.9,69.6,55.4,40.1,32.8
Washington,1899,1.6,1.7,7.1,11.7,14.5,19.5,25.8,20.4,21.7,11.8,9.2,3.5,34.9,35.0,44.7,53.1,58.1,67.1,78.5,68.8,71.0,53.2,48.6,38.3
Washington,1900,4.6,3.8,11.6,14.9,18.0,22.6,25.4,21.9,18.8,12.2,5.2,5.0,40.2,38.9,52.8,58.9,64.4,72.6,77.7,71.5,65.8,54.0,41.3,41.0
Washington,1901,1.3,3.9,8.4,11.9,17.6,17.9,23.8,27.3,17.4,17.2,7.8,3.4,34.4,39.0,47.2,53.4,63.7,64.2,74.8,81.1,63.3,63.0,46.0,38.1
Washington,1902,1.1,5.3,7.4,12.1,16.6,20.4,23.2,24.9,19.8,15.3,5.0,1.2,33.9,41.5,45.4,53.7,61.8,68.8,73.7,76.8,67.7,59.6,41.0,34.2
Washington,1903,2.0,2.9,7.1,11.4,16.9,22.8,22.7,23.7,17.9,14.2,4.8,2.0,35.6,37.3,44.7,52.5,62.4,73.0,72.9,74.6,64.2,57.5,40.7,35.6
Washington,1904,2.6,2.7,4.9,14.9,17.3,21.4,25.1,26.1,22.1,14.7,9.3,3.4,36.6,36.8,40.8,58.8,63.2,70.5,77.2,79.0,71.7,58.5,48.8,38.2
Washington,1905,1.4,4.1,11.0,14.9,16.6,19.9,26.2,24.7,19.9,10.2,6.8,1.9,34.6,39.3,51.8,58.8,61.9,67.8,79.2,76.4,67.9,50.3,44.2,35.4
Washington,1906,2.2,5.0,7.7,16.6,17.0,19.1,29.1,25.5,20.3,14.3,5.1,2.2,35.9,41.0,45.9,61.8,62.6,66.3,84.4,77.9,68.6,57.7,41.1,35.9
Washington,1907,-3.6,3.8,6.8,12.6,19.1,20.1,25.6,21.7,19.7,16.9,8.2,3.2,25.6,38.8,44.3,54.6,66.4,68.2,78.0,71.1,67.5,62.4,46.7,37.7
Washington,1908,2.3,3.8,7.9,14.1,15.4,20.7,26.9,24.9,21.1,13.1,8.6,1.2,36.1,38.9,46.2,57.4,59.7,69.2,80.5,76.8,70.0,55.6,47.4,34.1
Washington,1909,-3.1,4.3,9.5,12.2,16.3,21.7,23.3,24.7,21.7,13.6,5.9,-1.2,26.5,39.8,49.1,54.0,61.4,71.0,73.9,76.4,71.1,56.5,42.6,29.9
Washington,1910,0.2,1.1,11.7,15.1,20.2,20.5,26.2,23.2,19.6,14.0,5.7,3.1,32.4,34.0,53.1,59.2,68.3,68.9,79.2,73.7,67.2,57.2,42.2,37.5
