state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Wisconsin,1895,-8.2,-6.3,2.9,15.0,20.8,26.2,27.0,26.9,23.3,11.1,3.2,-2.3,17.3,20.7,37.3,59.0,69.4,79.2,80.6,80.5,74.0,51.9,37.7,27.8
Wisconsin,1896,-4.3,-1.9,0.8,13.9,23.0,26.4,27.1,26.7,18.3,11.8,0.6,-1.6,24.3,28.6,33.5,57.1,73.4,79.5,80.8,80.0,65.0,53.2,33.0,29.1
Wisconsin,1897,-5.9,-2.2,1.5,11.6,18.8,23.3,28.6,24.1,24.6,16.2,2.8,-5.2,21.4,28.0,34.7,52.9,65.8,74.0,83.5,75.4,76.3,61.1,37.0,22.6
Wisconsin,1898,-2.4,-2.2,5.7,12.2,19.8,25.7,28.7,25.6,23.0,11.6,3.7,-5.3,27.6,28.0,42.3,53.9,67.6,78.3,83.6,78.1,73.4,52.9,38.6,22.5
Wisconsin,1899,-6.6,-8.3,-1.9,14.4,19.6,25.3,27.5,26.9,19.4,16.5,8.4,-3.2,20.2,17.0,28.5,58.0,67.2,77.5,81.5,80.5,66.9,61.7,47.1,26.3
Wisconsin,1900,-2.6,-6.6,0.1,15.0,21.8,25.9,26.2,28.9,21.3,18.6,1.5,-2.3,27.3,20.2,32.2,59.0,71.3,78.6,79.2,84.0,70.4,65.4,34.7,27.9
Wisconsin,1901,-4.5,-6.1,1.8,14.6,20.6,26.2,30.0,27.1,20.4,15.4,3.2,-4.9,23.9,21.0,35.3,58.3,69.0,79.2,86.0,80.8,68.8,59.7,37.7,23.2
Wisconsin,1902,-4.0,-3.7,7.1,12.6,20.3,22.2,27.0,24.1,18.8,14.2,6.4,-4.2,24.8,25.4,44.7,54.6,68.6,71.9,80.6,75.4,65.8,57.6,43.6,24.5
Wisconsin,1903,-5.2,-3.5,6.4,12.7,20.2,23.5,26.2,22.4,19.8,14.9,2.9,-6.8,22.6,25.7,43.5,54.9,68.3,74.3,79.1,72.4,67.6,58.9,37.3,19.8
Wisconsin,1904,-8.9,-8.8,1.6,9.4,19.7,24.1,25.4,24.0,20.1,13.1,7.2,-3.9,15.9,16.2,34.9,48.9,67.4,75.4,77.7,75.2,68.1,55.5,44.9,24.9
Wisconsin,1905,-8.8,-6.7,4.9,11.7,18.1,23.6,25.3,25.6,21.9,12.7,5.0,-0.9,16.2,20.0,40.8,53.1,64.5,74.5,77.6,78.1,71.5,54.8,41.0,30.4
Wisconsin,1906,-1.9,-3.4,-1.3,14.8,19.1,24.1,26.6,26.4,23.4,13.2,3.4,-2.6,28.5,25.8,29.7,58.7,66.3,75.4,79.8,79.6,74.1,55.8,38.2,27.4
Wisconsin,1907,-6.9,-2.3,5.3,7.1,14.8,24.2,26.1,24.3,19.2,13.0,3.9,-1.1,19.5,27.8,41.6,44.8,58.7,75.6,78.9,75.8,66.5,55.4,39.1,30.0
Wisconsin,1908,-2.7,-2.7,3.8,13.1,19.1,23.8,27.0,25.7,25.2,14.5,5.8,-2.6,27.2,27.1,38.9,55.5,66.3,74.8,80.6,78.2,77.4,58.1,42.4,27.3
Wisconsin,1909,-4.3,-2.2,1.8,7.8,18.1,24.9,27.0,27.2,20.4,12.3,7.7,-6.3,24.3,28.0,35.3,46.0,64.5,76.9,80.6,80.9,68.8,54.1,45.9,20.6
Wisconsin,1910,-5.1,-5.0,11.9,15.8,17.4,27.5,29.6,26.0,20.3,16.6,0.3,-4.4,22.9,23.0,53.5,60.4,63.3,81.5,85.3,78.8,68.6,61.8,32.6,24.0
Wisconsin,1911,-5.0,-1.1,5.9,11.4,22.6,27.6,27.6,24.7,20.2,11.5,0.2,-0.5,23.0,30.1,42.7,52.5,72.7,81.6,81.7,76.5,68.4,52.7,32.4,31.1
Wisconsin,1912,-15.0,-6.4,-0.2,13.8,19.8,24.1,26.4,22.4,20.7,15.1,6.0,-0.3,5.0,20.4,31.6,56.9,67.6,75.3,79.6,72.4,69.2,59.1,42.8,31.4
Wisconsin,1913,-4.6,-5.9,1.6,13.9,18.2,26.6,26.3,26.2,20.9,12.8,7.6,2.3,23.8,21.3,34.8,57.1,64.8,79.9,79.3,79.1,69.7,55.0,45.7,36.1
Wisconsin,1914,-2.1,-7.1,2.6,11.4,21.0,23.7,28.3,25.3,20.9,17.4,5.6,-6.6,28.3,19.2,36.7,52.5,69.8,74.6,82.9,77.5,69.6,63.3,42.0,20.2
Wisconsin,1915,-6.4,-0.2,2.2,18.1,15.7,21.6,24.3,22.9,20.8,14.5,5.2,-2.8,20.4,31.7,36.0,64.5,60.3,70.8,75.7,73.3,69.5,58.1,41.4,27.0
Wisconsin,1916,-4.7,-6.1,1.6,11.3,18.3,20.9,31.1,27.4,19.6,13.4,4.1,-5.7,23.5,21.0,34.8,52.4,65.0,69.6,88.0,81.4,67.2,56.2,39.3,21.8
Wisconsin,1917,-7.2,-8.4,2.3,9.9,17.3,21.8,27.2,24.2,20.1,7.2,6.3,-7.6,19.0,16.8,36.2,49.8,63.2,71.3,81.0,75.6,68.1,44.9,43.4,18.3
Wisconsin,1918,-11.7,-3.6,8.0,11.4,21.2,24.1,26.2,27.0,17.9,15.1,6.2,0.2,10.9,25.6,46.4,52.6,70.1,75.3,79.2,80.6,64.2,59.2,43.1,32.3
Wisconsin,1919,-2.1,-2.4,4.6,12.0,18.9,26.3,28.4,25.1,22.1,12.4,1.8,-8.4,28.2,27.6,40.2,53.6,66.0,79.3,83.2,77.2,71.8,54.4,35.2,16.8
Wisconsin,1920,-9.2,-4.6,4.4,8.2,19.7,25.2,25.6,25.7,23.3,18.6,2.7,-1.9,15.4,23.8,39.9,46.8,67.4,77.4,78.1,78.2,73.9,65.5,36.8,28.6
Wisconsin,1921,-2.2,-0.4,5.8,15.6,21.0,27.7,30.8,26.1,22.8,14.3,1.1,-2.7,28.0,31.3,42.5,60.0,69.8,81.8,87.5,78.9,73.1,57.7,34.0,27.2
Wisconsin,1922,-5.6,-3.9,3.7,11.4,22.5,25.2,25.4,26.7,22.9,16.0,6.2,-3.6,21.9,24.9,38.7,52.6,72.5,77.4,77.7,80.1,73.2,60.8,43.1,25.6
Wisconsin,1923,-4.3,-6.6,-0.2,10.8,20.2,26.9,28.4,24.7,20.9,13.4,6.9,2.4,24.3,20.2,31.6,51.5,68.4,80.5,83.1,76.4,69.6,56.2,44.4,36.4
Wisconsin,1924,-9.1,-2.2,1.7,10.6,14.9,22.3,25.4,24.1,18.0,18.2,4.7,-7.9,15.6,28.0,35.1,51.0,58.8,72.2,77.7,75.3,64.4,64.8,40.5,17.8
Wisconsin,1925,-5.2,-1.6,5.6,16.6,18.5,24.7,26.1,26.8,22.7,6.9,4.1,-5.6,22.6,29.1,42.1,61.8,65.3,76.4,79.0,80.3,72.9,44.4,39.4,22.0
Wisconsin,1926,-4.4,-1.7,-0.2,10.8,21.3,22.1,26.7,24.7,18.2,11.8,0.8,-5.1,24.1,29.0,31.7,51.4,70.3,71.8,80.0,76.5,64.8,53.2,33.5,22.8
Wisconsin,1927,-6.6,-0.3,6.2,11.4,16.6,22.8,25.9,24.0,21.8,15.6,3.3,-6.3,20.2,31.4,43.2,52.6,61.9,73.1,78.6,75.2,71.2,60.0,38.0,20.7
Wisconsin,1928,-4.6,-2.1,3.7,8.8,20.8,21.5,26.5,25.6,18.8,14.3,4.9,-1.2,23.8,28.2,38.7,47.9,69.5,70.7,79.7,78.0,65.8,57.8,40.8,29.9
Wisconsin,1929,-11.0,-7.3,4.8,12.8,17.4,23.3,27.6,25.6,20.4,13.8,2.2,-3.9,12.2,18.8,40.7,55.1,63.4,73.9,81.6,78.0,68.8,56.8,36.0,25.0
Wisconsin,1930,-8.9,0.9,3.9,13.9,19.6,24.9,28.5,28.4,22.5,12.1,7.3,-2.6,16.0,33.6,39.0,57.0,67.2,76.9,83.3,83.1,72.5,53.7,45.1,27.4
Wisconsin,1931,-1.6,2.7,2.8,14.4,18.5,26.7,29.8,26.2,24.4,16.0,8.6,1.2,29.2,36.8,37.0,58.0,65.3,80.1,85.6,79.1,75.9,60.8,47.4,34.1
Wisconsin,1932,-2.4,-1.1,-1.3,11.6,19.7,26.5,28.2,27.0,21.2,12.1,2.6,-3.7,27.7,30.1,29.7,52.8,67.5,79.7,82.8,80.6,70.2,53.8,36.6,25.4
Wisconsin,1933,0.0,-4.7,1.9,10.7,19.3,29.6,28.9,26.5,24.1,12.4,2.4,-4.1,32.0,23.5,35.5,51.2,66.7,85.2,84.1,79.7,75.3,54.4,36.4,24.7
Wisconsin,1934,-1.8,-4.7,1.7,10.8,25.2,27.7,28.7,25.3,19.3,15.4,6.1,-5.2,28.7,23.5,35.0,51.5,77.4,81.8,83.7,77.6,66.7,59.7,43.0,22.7
Wisconsin,1935,-6.6,-2.1,4.3,10.4,16.5,21.6,29.3,25.6,20.7,13.7,1.8,-4.7,20.1,28.3,39.8,50.8,61.7,70.8,84.8,78.0,69.2,56.7,35.3,23.6
Wisconsin,1936,-9.3,-11.3,3.2,8.3,22.6,24.1,31.9,27.9,22.7,12.1,2.8,-0.9,15.2,11.6,37.7,47.0,72.6,75.3,89.4,82.2,72.9,53.7,37.1,30.3
Wisconsin,1937,-6.2,-4.3,1.3,9.7,20.1,24.1,28.9,29.4,21.9,11.6,3.0,-4.8,20.8,24.3,34.4,49.4,68.1,75.3,84.0,85.0,71.5,52.8,37.4,23.4
Wisconsin,1938,-6.4,-1.3,7.7,12.6,18.2,23.7,26.3,27.1,20.2,17.0,4.5,-3.2,20.5,29.6,45.9,54.7,64.8,74.6,79.3,80.8,68.4,62.6,40.1,26.2
Wisconsin,1939,-2.7,-4.6,3.4,10.4,22.6,24.7,28.4,26.2,23.1,13.8,6.6,1.3,27.2,23.7,38.1,50.8,72.6,76.4,83.1,79.2,73.6,56.8,43.9,34.3
Wisconsin,1940,-9.1,-2.4,-0.4,10.5,17.5,24.1,27.8,23.8,22.0,15.4,2.4,-2.3,15.6,27.7,31.2,50.9,63.5,75.3,82.1,74.9,71.6,59.8,36.4,27.9
Wisconsin,1941,-4.4,-3.6,1.0,15.7,22.1,24.9,27.9,26.5,21.6,14.0,5.9,0.4,24.1,25.6,33.8,60.3,71.8,76.8,82.2,79.7,70.9,57.2,42.6,32.8
Wisconsin,1942,-4.1,-3.5,4.6,16.8,18.2,23.6,26.2,25.1,18.7,15.2,4.8,-6.0,24.6,25.7,40.2,62.2,64.7,74.4,79.2,77.2,65.7,59.3,40.6,21.2
Wisconsin,1943,-7.2,-1.8,0.3,11.2,18.0,25.3,28.2,26.2,18.6,14.6,1.7,-1.1,19.0,28.7,32.6,52.2,64.4,77.6,82.8,79.1,65.5,58.2,35.1,30.0
Wisconsin,1944,0.4,-1.3,0.6,10.2,21.3,25.4,26.6,27.0,20.6,15.4,6.0,-4.6,32.8,29.6,33.0,50.4,70.4,77.8,79.9,80.6,69.0,59.7,42.8,23.7
Wisconsin,1945,-7.4,-2.6,10.1,11.9,16.3,21.2,25.4,25.7,20.0,13.6,3.6,-6.3,18.6,27.4,50.2,53.5,61.3,70.1,77.7,78.2,68.0,56.4,38.4,20.6
Wisconsin,1946,-3.9,-3.1,9.7,15.1,18.4,23.7,27.2,24.9,20.8,16.6,5.4,-1.5,24.9,26.5,49.4,59.2,65.2,74.6,81.0,76.8,69.4,61.8,41.8,29.3
Wisconsin,1947,-2.6,-5.2,1.7,9.8,15.9,22.3,27.0,29.8,21.7,19.8,0.6,-3.1,27.4,22.7,35.0,49.6,60.6,72.1,80.6,85.6,71.1,67.7,33.1,26.4
Wisconsin,1948,-7.3,-3.7,3.0,15.0,19.1,24.2,27.8,27.2,24.4,14.8,5.0,-2.6,18.8,25.3,37.4,59.0,66.4,75.6,82.1,81.0,76.0,58.6,41.0,27.3
Wisconsin,1949,-4.1,-3.6,2.5,13.7,21.1,26.8,27.9,26.9,19.0,16.5,5.0,-2.1,24.7,25.6,36.5,56.7,70.0,80.3,82.3,80.5,66.2,61.7,41.0,28.2
Wisconsin,1950,-5.1,-3.4,-0.2,6.6,18.6,24.4,25.1,23.3,20.2,16.8,1.9,-6.6,22.9,25.8,31.6,43.8,65.5,75.9,77.2,74.0,68.4,62.3,35.4,20.1
Wisconsin,1951,-6.9,-3.3,0.1,9.6,21.4,22.2,25.9,22.8,18.3,13.3,0.1,-4.5,19.5,26.0,32.1,49.2,70.5,71.9,78.7,73.1,64.9,55.9,32.2,23.9
Wisconsin,1952,-4.4,-0.6,1.1,14.8,19.0,25.2,27.4,24.6,22.0,12.6,6.2,-1.6,24.0,31.0,33.9,58.6,66.2,77.4,81.3,76.3,71.6,54.6,43.2,29.1
Wisconsin,1953,-3.6,-2.4,3.3,9.1,19.7,25.6,26.7,26.6,21.7,19.1,8.1,-1.4,25.6,27.7,38.0,48.3,67.4,78.1,80.0,79.8,71.1,66.3,46.6,29.5
Wisconsin,1954,-5.7,2.8,2.1,13.4,15.7,25.6,26.7,24.7,19.6,12.8,5.9,-2.3,21.7,37.0,35.8,56.1,60.2,78.1,80.0,76.4,67.3,55.0,42.7,27.9
Wisconsin,1955,-5.6,-3.7,2.1,16.4,21.8,23.8,29.7,28.5,22.2,14.9,1.4,-5.6,22.0,25.3,35.7,61.5,71.2,74.8,85.5,83.3,71.9,58.8,34.5,22.0
Wisconsin,1956,-3.9,-2.8,1.3,10.3,18.8,26.3,24.4,25.0,19.6,18.4,4.1,-1.7,25.0,27.0,34.4,50.6,65.8,79.4,76.0,77.0,67.3,65.2,39.4,29.0
