state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Wyoming,1895,-3.5,-2.9,2.7,13.6,15.4,19.3,24.5,25.4,20.1,13.2,2.4,-3.4,25.7,26.8,36.8,56.4,59.7,66.8,76.1,77.7,68.2,55.8,36.3,25.8
Wyoming,1896,0.2,2.1,1.8,9.4,15.3,24.3,25.8,25.4,17.8,13.1,-1.1,3.4,32.4,35.8,35.3,48.9,59.5,75.7,78.4,77.8,64.0,55.6,30.1,38.1
Wyoming,1897,-1.7,-1.1,0.5,9.4,20.1,22.7,26.5,24.9,22.2,12.6,4.8,-2.3,29.0,30.0,32.9,48.9,68.1,72.9,79.7,76.8,72.0,54.7,40.6,27.8
Wyoming,1898,-3.8,3.1,1.7,12.9,14.2,23.2,26.9,27.9,21.3,10.0,3.1,-3.1,25.2,37.5,35.1,55.2,57.6,73.8,80.4,82.2,70.4,50.0,37.6,26.4
Wyoming,1899,-1.2,-6.4,0.2,10.5,14.6,21.4,27.3,25.4,21.6,9.8,7.7,-1.8,29.9,20.5,32.4,50.9,58.3,70.6,81.1,77.7,70.8,49.7,45.8,28.8
Wyoming,1900,0.6,-0.5,6.9,10.8,19.2,26.1,26.5,26.1,18.3,12.9,4.2,0.4,33.0,31.1,44.5,51.4,66.5,78.9,79.7,79.0,65.0,55.2,39.6,32.8
Wyoming,1901,-1.2,-2.3,3.4,10.0,18.9,19.4,29.3,25.8,17.9,14.1,6.9,-2.1,29.9,27.8,38.2,50.0,66.0,67.0,84.8,78.5,64.2,57.3,44.4,28.2
Wyoming,1902,-2.5,1.6,3.3,9.3,16.9,21.6,24.9,25.5,19.7,13.8,4.6,-1.7,27.5,34.8,38.0,48.7,62.5,70.9,76.8,77.9,67.5,56.8,40.3,28.9
Wyoming,1903,-0.7,-5.3,3.4,9.9,13.6,21.1,25.2,25.9,17.3,14.1,4.7,0.2,30.8,22.4,38.1,49.8,56.4,70.0,77.3,78.6,63.1,57.4,40.4,32.3
Wyoming,1904,-2.2,1.2,4.4,11.6,15.7,20.2,24.9,25.4,20.9,14.4,9.7,0.8,28.1,34.1,39.9,52.9,60.2,68.4,76.9,77.8,69.7,57.9,49.4,33.4
Wyoming,1905,-2.7,-2.3,7.3,9.6,13.1,21.0,25.1,26.0,21.8,9.4,5.9,-1.4,27.1,27.8,45.2,49.3,55.5,69.8,77.1,78.8,71.2,49.0,42.7,29.4
Wyoming,1906,-0.3,1.7,-0.6,11.8,15.3,19.9,25.3,24.4,20.1,12.4,2.9,1.9,31.4,35.0,30.9,53.3,59.6,67.8,77.5,76.0,68.2,54.3,37.3,35.4
Wyoming,1907,-3.5,3.8,6.8,9.4,13.0,19.3,25.5,24.7,19.2,15.4,5.2,0.1,25.7,38.9,44.2,48.9,55.4,66.7,77.9,76.5,66.6,59.7,41.4,32.1
Wyoming,1908,-0.2,1.4,5.0,13.9,14.5,19.0,26.3,23.3,21.2,10.2,4.3,-2.0,31.6,34.6,41.0,57.1,58.1,66.2,79.4,74.0,70.2,50.3,39.7,28.4
Wyoming,1909,-0.7,0.2,3.6,7.6,14.0,22.1,26.9,27.2,19.6,13.8,5.5,-7.6,30.8,32.4,38.4,45.7,57.2,71.8,80.4,80.9,67.3,56.9,41.9,18.4
Wyoming,1910,-3.9,-2.8,11.8,15.7,16.8,24.6,27.9,25.4,20.6,14.9,6.2,0.3,25.0,27.0,53.2,60.2,62.2,76.2,82.3,77.8,69.0,58.8,43.1,32.6
Wyoming,1911,-0.3,-1.6,7.4,10.1,16.7,23.9,25.5,24.5,20.3,10.0,1.2,-3.4,31.5,29.2,45.4,50.2,62.0,75.1,77.9,76.1,68.5,50.0,34.1,25.8
Wyoming,1912,-2.8,-0.6,-0.4,9.1,14.4,21.4,24.2,23.1,13.5,10.4,5.6,-1.4,27.0,31.0,31.2,48.3,58.0,70.6,75.5,73.5,56.3,50.7,42.0,29.4
Wyoming,1913,-2.5,-4.2,1.6,12.4,16.3,22.3,24.6,26.8,18.9,9.2,5.9,-2.6,27.5,24.5,34.8,54.3,61.3,72.2,76.2,80.2,66.1,48.5,42.7,27.3
Wyoming,1914,0.3,-0.9,5.1,9.9,17.1,21.5,26.7,25.1,20.8,13.3,8.7,-4.3,32.6,30.4,41.2,49.8,62.8,70.7,80.0,77.2,69.5,55.9,47.7,24.2
Wyoming,1915,-2.3,2.1,3.0,14.4,13.8,18.3,23.5,24.6,17.1,15.1,4.6,-0.2,27.9,35.7,37.4,58.0,56.8,65.0,74.3,76.2,62.8,59.2,40.2,31.7
Wyoming,1916,-7.1,1.3,6.8,10.4,13.8,21.0,27.4,24.3,20.4,10.0,2.3,-5.7,19.3,34.4,44.3,50.7,56.8,69.8,81.4,75.8,68.7,50.0,36.2,21.7
Wyoming,1917,-5.5,-1.2,-0.9,6.6,12.0,20.6,28.1,24.4,20.9,12.3,8.7,0.9,22.1,29.9,30.3,43.8,53.6,69.0,82.6,76.0,69.6,54.2,47.7,33.7
Wyoming,1918,-4.1,-0.1,8.3,6.7,15.3,25.0,25.4,24.8,18.4,14.0,2.8,-0.8,24.6,31.8,46.9,44.1,59.6,77.0,77.8,76.6,65.1,57.2,37.1,30.6
Wyoming,1919,1.1,-0.7,5.7,10.9,18.4,25.8,29.1,26.9,21.2,6.3,0.6,-3.3,34.0,30.8,42.3,51.6,65.2,78.5,84.3,80.5,70.2,43.3,33.1,26.1
