state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Alabama,1895,0.8,-2.9,5.8,10.7,14.7,19.2,20.4,20.7,19.1,7.3,5.2,0.4,33.4,26.8,42.4,51.2,58.4,66.5,68.8,69.3,66.4,45.2,41.4,32.7
Alabama,1896,1.1,2.4,5.1,13.1,17.7,19.4,21.5,21.3,17.0,10.3,7.7,1.7,34.0,36.4,41.2,55.6,63.9,66.9,70.7,70.4,62.6,50.6,45.8,35.1
Alabama,1897,-0.3,5.1,10.2,10.1,13.3,20.2,21.2,20.1,16.9,11.7,5.2,2.7,31.4,41.2,50.4,50.1,55.9,68.3,70.2,68.1,62.5,53.1,41.4,36.9
Alabama,1898,3.8,1.2,9.2,8.0,15.7,20.0,20.9,20.7,18.4,9.8,3.7,0.3,38.8,34.2,48.5,46.4,60.2,68.0,69.6,69.2,65.1,49.6,38.7,32.5
Alabama,1899,0.6,-1.9,6.4,10.4,17.6,19.8,20.5,21.1,15.2,12.2,6.0,1.0,33.1,28.6,43.5,50.8,63.6,67.6,68.9,69.9,59.4,54.0,42.8,33.8
Alabama,1900,-0.1,0.2,5.2,10.9,14.7,19.7,20.6,20.5,18.9,14.6,6.1,2.1,31.9,32.4,41.3,51.6,58.4,67.4,69.1,68.9,66.0,58.2,43.0,35.7
Alabama,1901,1.4,0.2,5.1,7.9,13.9,19.2,21.0,19.9,16.1,9.3,1.5,-0.8,34.5,32.3,41.1,46.2,57.1,66.5,69.8,67.8,61.0,48.8,34.7,30.5
Alabama,1902,-0.6,-0.8,6.7,9.6,17.3,19.9,21.2,21.1,16.9,10.3,7.7,1.6,30.9,30.6,44.0,49.3,63.1,67.8,70.1,70.0,62.5,50.6,45.9,34.9
Alabama,1903,0.7,2.7,10.3,9.0,14.8,16.8,20.4,20.8,15.4,9.7,3.7,-2.6,33.3,36.8,50.5,48.2,58.7,62.2,68.8,69.4,59.8,49.4,38.7,27.3
Alabama,1904,-1.3,3.1,7.7,8.5,13.4,18.3,19.2,19.8,17.6,9.6,4.0,1.6,29.7,37.6,45.8,47.3,56.2,64.9,66.6,67.6,63.7,49.2,39.2,34.8
Alabama,1905,-2.5,-1.9,8.2,11.0,17.6,19.6,20.2,20.6,17.9,11.7,5.9,0.4,27.5,28.6,46.7,51.8,63.7,67.3,68.4,69.0,64.3,53.0,42.7,32.8
Alabama,1906,1.7,0.0,4.4,10.4,14.3,19.5,20.3,20.7,20.1,9.2,5.1,3.8,35.1,32.0,39.9,50.7,57.7,67.1,68.5,69.2,68.1,48.5,41.2,38.9
Alabama,1907,5.7,2.2,10.7,7.9,14.1,17.2,20.9,20.2,17.5,9.8,4.0,1.7,42.2,36.0,51.2,46.2,57.4,63.0,69.6,68.4,63.5,49.7,39.2,35.0
Alabama,1908,0.1,0.4,9.9,12.9,15.3,18.6,20.4,19.9,16.7,7.4,6.3,3.7,32.2,32.8,49.8,55.2,59.6,65.5,68.7,67.9,62.0,45.3,43.3,38.7
