state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Arizona,1895,-0.1,-0.6,1.9,5.9,10.5,13.3,18.7,18.6,14.6,9.2,1.8,-3.4,31.8,31.0,35.4,42.6,50.9,55.9,65.6,65.5,58.2,48.6,35.3,25.8
Arizona,1896,0.3,0.3,3.3,4.9,10.7,16.6,19.6,18.9,15.9,10.1,2.7,-0.7,32.5,32.5,38.0,40.9,51.3,61.9,67.2,66.0,60.7,50.1,36.8,30.7
Arizona,1897,0.2,-0.8,0.6,5.5,11.2,13.7,18.6,19.2,16.1,8.2,2.1,-3.8,32.4,30.5,33.0,41.9,52.1,56.7,65.4,66.5,60.9,46.8,35.7,25.2
Arizona,1898,-4.3,0.6,1.0,8.4,9.6,15.7,20.4,20.1,14.7,7.1,0.8,-4.3,24.3,33.0,33.8,47.2,49.3,60.3,68.7,68.1,58.5,44.8,33.5,24.2
Arizona,1899,-3.4,-0.9,2.1,6.1,7.1,15.2,19.9,17.0,15.3,7.7,3.0,-1.3,25.9,30.4,35.7,42.9,44.8,59.4,67.8,62.6,59.6,45.9,37.4,29.7
Arizona,1900,0.1,-0.2,4.7,5.1,11.3,15.4,19.4,15.6,12.4,8.5,3.3,-2.2,32.2,31.7,40.5,41.1,52.3,59.7,66.9,60.0,54.4,47.3,38.0,28.1
Arizona,1901,-1.5,1.4,1.4,4.3,10.3,13.6,20.3,19.5,13.1,8.6,4.0,-2.3,29.3,34.5,34.6,39.8,50.5,56.5,68.6,67.1,55.5,47.5,39.2,27.8
Arizona,1902,-2.0,-0.4,0.5,6.2,10.1,15.2,16.9,18.3,14.3,8.8,2.6,-1.4,28.4,31.2,32.9,43.2,50.1,59.4,62.5,64.9,57.7,47.9,36.6,29.5
Arizona,1903,-1.8,-3.4,2.4,5.6,9.7,15.3,18.7,19.0,14.3,7.2,2.2,-3.1,28.8,25.8,36.3,42.1,49.5,59.5,65.6,66.2,57.8,44.9,35.9,26.5
Arizona,1904,-5.0,0.9,4.0,4.9,10.4,14.7,17.7,18.9,14.1,7.6,0.9,-1.4,23.0,33.7,39.2,40.9,50.8,58.5,63.8,66.0,57.4,45.6,33.6,29.5
Arizona,1905,0.3,3.0,5.2,6.3,7.9,13.3,17.4,18.7,15.0,7.3,3.7,-3.1,32.6,37.4,41.3,43.4,46.3,55.9,63.3,65.7,59.0,45.2,38.7,26.4
Arizona,1906,-2.7,2.6,3.4,5.7,9.1,13.3,19.2,17.4,13.0,6.6,1.7,1.4,27.2,36.7,38.1,42.2,48.4,56.0,66.5,63.4,55.4,43.8,35.1,34.5
Arizona,1907,0.1,2.3,3.1,6.0,8.1,11.9,18.3,17.9,13.5,9.7,2.5,-1.1,32.2,36.2,37.5,42.8,46.6,53.5,65.0,64.3,56.3,49.4,36.5,30.0
Arizona,1908,-0.9,0.2,3.2,5.6,7.6,12.4,18.7,18.4,13.1,5.1,1.9,-0.6,30.3,32.4,37.7,42.1,45.6,54.3,65.7,65.1,55.6,41.2,35.5,30.9
Arizona,1909,1.1,-0.4,0.8,4.7,7.7,14.3,18.8,18.7,13.8,6.4,1.4,-3.8,33.9,31.2,33.5,40.5,45.9,57.7,65.9,65.6,56.9,43.6,34.6,25.1
