state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Arkansas,1895,-3.2,-5.0,4.6,10.0,13.9,19.0,20.8,20.0,18.3,5.3,2.1,-0.7,26.2,23.0,40.3,50.0,57.1,66.2,69.4,68.0,64.9,41.6,35.7,30.8
Arkansas,1896,-0.3,0.7,2.9,13.9,17.4,18.9,21.8,20.7,15.7,8.6,5.2,0.4,31.5,33.2,37.3,57.0,63.3,66.0,71.3,69.2,60.2,47.4,41.3,32.7
Arkansas,1897,-1.9,2.6,7.4,9.9,13.1,19.1,21.2,18.9,15.9,10.5,2.7,-1.2,28.6,36.6,45.4,49.8,55.6,66.4,70.2,66.0,60.7,50.9,36.9,29.9
Arkansas,1898,1.8,1.0,5.8,7.8,15.7,20.2,20.4,20.0,17.7,8.9,1.6,-2.6,35.2,33.8,42.4,46.1,60.2,68.4,68.8,68.0,63.8,48.0,34.8,27.4
Arkansas,1899,-2.1,-6.2,3.3,9.4,17.4,19.2,19.9,21.0,13.9,10.8,5.0,-0.7,28.3,20.8,37.9,49.0,63.3,66.5,67.9,69.8,57.1,51.5,41.0,30.7
Arkansas,1900,0.1,-2.3,3.8,9.8,14.2,19.3,20.7,20.7,19.4,12.3,3.8,0.2,32.1,27.9,38.9,49.7,57.5,66.8,69.2,69.2,66.9,54.1,38.8,32.4
Arkansas,1901,0.7,-1.3,3.5,7.7,13.1,19.0,21.1,20.1,14.9,9.4,2.5,-2.4,33.2,29.6,38.3,45.8,55.5,66.2,69.9,68.1,58.9,49.0,36.5,27.6
Arkansas,1902,-3.2,-3.6,4.8,9.6,16.8,18.9,20.4,20.7,13.5,9.1,7.7,-0.7,26.2,25.5,40.7,49.2,62.3,66.0,68.8,69.3,56.3,48.4,45.9,30.7
Arkansas,1903,-1.6,-0.7,6.8,8.8,14.3,15.0,20.2,19.9,13.9,8.2,0.9,-3.2,29.2,30.7,44.2,47.9,57.8,59.0,68.4,67.9,57.0,46.8,33.6,26.3
Arkansas,1904,-3.7,0.6,5.6,7.2,12.9,18.2,19.3,19.2,17.1,8.8,2.4,-0.8,25.3,33.1,42.1,44.9,55.2,64.7,66.8,66.6,62.8,47.8,36.4,30.6
Arkansas,1905,-5.3,-5.7,6.9,10.2,16.3,19.9,19.6,20.1,16.9,9.4,4.4,-2.1,22.5,21.7,44.4,50.4,61.3,67.9,67.3,68.1,62.4,48.9,39.9,28.3
Arkansas,1906,-0.7,-1.8,1.4,10.3,13.8,18.2,18.8,19.4,18.5,7.7,2.7,2.5,30.7,28.7,34.5,50.5,56.9,64.7,65.9,66.9,65.3,45.9,36.8,36.5
Arkansas,1907,3.5,0.1,9.8,6.6,11.8,17.7,20.7,21.2,15.7,9.0,2.1,1.2,38.3,32.2,49.6,43.9,53.2,63.8,69.2,70.1,60.3,48.2,35.8,34.1
Arkansas,1908,-0.9,0.6,8.3,11.3,15.3,18.8,19.9,20.2,16.4,6.7,4.7,1.4,30.3,33.1,47.0,52.3,59.6,65.9,67.8,68.3,61.5,44.0,40.5,34.5
Arkansas,1909,0.9,1.2,4.8,9.1,13.0,18.9,21.2,20.6,15.7,8.6,7.8,-4.1,33.6,34.2,40.7,48.3,55.4,66.1,70.2,69.0,60.3,47.5,46.1,24.6
Arkansas,1910,-1.3,-3.1,7.4,8.6,12.7,17.1,20.7,20.3,17.6,9.8,2.8,-1.8,29.6,26.5,45.3,47.4,54.8,62.8,69.2,68.5,63.7,49.6,37.0,28.8
Arkansas,1911,2.2,3.7,5.9,9.2,13.9,19.6,19.9,20.2,19.6,10.7,0.7,0.4,36.0,38.7,42.6,48.6,57.0,67.3,67.8,68.4,67.3,51.2,33.3,32.8
Arkansas,1912,-5.7,-3.4,2.1,10.4,14.4,16.7,21.1,19.5,16.0,9.7,2.1,-1.4,21.8,25.8,35.8,50.7,58.0,62.0,70.0,67.1,60.8,49.4,35.7,29.4
Arkansas,1913,-0.3,-1.0,2.4,9.1,13.8,17.7,21.1,20.1,16.0,9.0,7.6,1.6,31.5,30.2,36.3,48.3,56.9,63.8,70.0,68.1,60.8,48.2,45.6,34.9
Arkansas,1914,0.8,-2.2,3.1,9.3,14.1,20.7,21.4,20.3,17.0,10.7,3.3,-2.1,33.5,28.0,37.5,48.8,57.3,69.2,70.6,68.5,62.6,51.3,38.0,28.3
Arkansas,1915,-2.2,1.9,0.2,10.8,14.6,18.4,19.3,18.4,17.2,9.4,4.9,0.5,28.1,35.5,32.4,51.4,58.2,65.1,66.8,65.1,62.9,48.9,40.8,32.9
