state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
California,1895,0.9,2.2,3.0,5.4,9.1,11.7,14.7,14.4,11.1,8.4,2.7,-0.4,33.6,36.0,37.4,41.8,48.3,53.0,58.4,58.0,51.9,47.2,36.9,31.2
California,1896,2.8,1.6,4.1,3.5,8.1,13.1,16.7,14.9,11.7,8.4,3.6,2.7,37.1,34.8,39.3,38.3,46.5,55.6,62.1,58.8,53.1,47.1,38.4,36.8
California,1897,1.2,1.2,1.0,5.8,10.1,12.5,14.9,15.6,12.3,7.6,3.2,-0.5,34.2,34.1,33.8,42.5,50.2,54.5,58.8,60.0,54.2,45.6,37.8,31.1
California,1898,-2.1,2.8,1.0,6.3,8.1,12.1,14.5,15.5,12.1,7.6,2.3,-0.5,28.3,37.0,33.8,43.3,46.6,53.7,58.1,59.9,53.8,45.6,36.2,31.1
California,1899,1.7,0.7,3.2,5.3,6.4,11.9,13.9,12.4,12.1,6.8,5.3,1.1,35.0,33.3,37.7,41.6,43.6,53.4,57.1,54.3,53.7,44.3,41.5,33.9
California,1900,2.8,1.8,4.8,4.3,9.0,12.8,14.5,13.1,9.9,7.8,5.2,0.9,37.0,35.3,40.7,39.7,48.2,55.0,58.1,55.5,49.8,46.0,41.4,33.7
California,1901,0.3,2.4,3.1,3.5,8.8,11.1,14.9,15.4,10.4,8.8,4.8,0.0,32.6,36.4,37.5,38.3,47.9,51.9,58.8,59.7,50.7,47.9,40.7,32.0
California,1902,-0.6,2.6,1.6,4.6,7.2,11.8,13.9,13.9,12.0,7.3,3.2,0.5,30.9,36.6,34.8,40.3,44.9,53.2,57.0,57.0,53.6,45.2,37.7,32.9
California,1903,0.2,-2.3,2.7,4.3,8.3,12.6,12.8,14.1,11.3,7.8,4.7,-0.2,32.3,27.8,36.9,39.8,47.0,54.6,55.1,57.3,52.4,46.0,40.5,31.6
California,1904,-1.0,2.2,3.7,5.2,9.5,11.9,14.3,15.4,13.0,7.8,3.7,0.6,30.2,35.9,38.7,41.4,49.1,53.5,57.8,59.8,55.4,46.0,38.7,33.0
California,1905,2.7,3.2,5.1,6.1,7.3,10.9,14.7,14.2,11.4,6.1,2.7,-1.2,36.9,37.8,41.1,43.0,45.1,51.7,58.5,57.6,52.6,42.9,36.9,29.9
California,1906,0.8,4.3,3.4,5.2,8.0,11.2,16.4,14.9,11.9,7.6,2.8,2.2,33.5,39.8,38.2,41.3,46.4,52.2,61.5,58.8,53.4,45.6,37.1,35.9
California,1907,0.5,4.6,3.0,6.9,7.8,10.9,14.6,13.5,10.3,9.4,3.2,1.9,32.9,40.3,37.4,44.4,46.1,51.7,58.2,56.3,50.6,48.9,37.8,35.4
California,1908,1.6,0.9,2.1,5.1,6.0,9.6,16.1,14.4,11.5,5.9,3.4,-0.4,34.9,33.6,35.8,41.2,42.8,49.2,61.0,58.0,52.7,42.6,38.2,31.3
California,1909,3.3,2.1,2.2,5.1,7.2,12.3,14.0,14.2,11.8,7.3,3.2,-0.1,38.0,35.8,36.0,41.2,44.9,54.2,57.2,57.5,53.2,45.2,37.8,31.8
California,1910,-1.1,0.1,4.6,6.4,9.3,10.7,15.2,13.6,11.5,8.1,3.8,1.7,30.1,32.2,40.3,43.6,48.8,51.2,59.4,56.5,52.7,46.5,38.9,35.0
