state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Colorado,1895,-12.4,-14.9,-8.1,-2.1,2.6,6.1,9.3,9.9,5.4,-1.1,-8.8,-13.3,9.6,5.2,17.4,28.3,36.7,43.0,48.8,49.8,41.8,30.0,16.1,8.0
Colorado,1896,-10.2,-10.6,-7.6,-1.8,3.4,8.6,11.7,10.3,6.1,-1.0,-9.4,-9.7,13.6,12.9,18.4,28.8,38.1,47.5,53.0,50.5,42.9,30.2,15.1,14.5
Colorado,1897,-12.9,-10.8,-8.1,-1.8,4.8,7.4,9.7,9.4,8.0,0.4,-6.2,-13.1,8.8,12.6,17.5,28.8,40.6,45.3,49.5,48.9,46.4,32.8,20.8,8.4
Colorado,1898,-14.3,-9.8,-8.7,-1.3,2.6,8.2,11.2,10.6,3.8,-2.1,-9.0,-15.1,6.3,14.4,16.4,29.6,36.6,46.7,52.1,51.1,38.8,28.2,15.8,4.8
Colorado,1899,-13.2,-15.8,-7.4,-2.1,2.2,7.3,10.9,9.7,5.8,-0.4,-4.7,-12.0,8.3,3.6,18.7,28.2,35.9,45.1,51.6,49.5,42.4,31.3,23.5,10.4
Colorado,1900,-8.9,-11.4,-5.6,-1.8,3.9,8.4,10.1,8.8,5.1,0.2,-6.4,-10.6,15.9,11.5,21.9,28.7,39.0,47.2,50.2,47.9,41.2,32.4,20.4,12.9
Colorado,1901,-11.6,-11.4,-7.8,-2.7,3.9,7.4,11.9,11.0,4.7,0.4,-5.8,-10.7,11.1,11.5,17.9,27.2,39.1,45.3,53.4,51.8,40.4,32.7,21.6,12.8
Colorado,1902,-11.8,-8.9,-7.4,-1.8,3.7,7.8,9.1,10.3,3.8,0.1,-5.9,-11.3,10.8,15.9,18.6,28.8,38.7,46.1,48.4,50.6,38.8,32.1,21.4,11.7
Colorado,1903,-11.2,-16.3,-7.3,-2.1,1.6,7.2,10.4,9.9,4.2,-0.9,-7.0,-11.7,11.9,2.6,18.8,28.3,34.9,45.0,50.8,49.8,39.5,30.4,19.4,10.9
Colorado,1904,-13.8,-8.5,-5.4,-1.9,3.1,6.6,9.3,10.1,5.8,-0.1,-7.7,-10.6,7.1,16.7,22.3,28.6,37.6,43.9,48.8,50.1,42.5,31.8,18.1,12.9
Colorado,1905,-11.0,-13.1,-3.0,-1.7,2.6,8.3,9.7,10.2,6.4,-2.4,-5.3,-13.7,12.2,8.5,26.6,29.0,36.6,47.0,49.4,50.4,43.5,27.6,22.4,7.3
Colorado,1906,-11.3,-9.8,-8.2,-0.8,3.1,6.6,9.6,9.2,5.7,-1.4,-6.1,-7.0,11.6,14.3,17.3,30.6,37.6,43.9,49.2,48.6,42.3,29.4,21.0,19.4
Colorado,1907,-9.0,-6.4,-3.2,-2.1,1.1,6.2,10.6,10.3,5.4,0.9,-7.8,-10.2,15.8,20.4,26.3,28.2,33.9,43.2,51.0,50.5,41.7,33.7,18.0,13.6
Colorado,1908,-11.7,-10.2,-5.2,-1.8,1.4,6.5,10.5,10.1,5.5,-1.3,-7.9,-11.9,11.0,13.6,22.6,28.8,34.5,43.7,50.9,50.2,41.9,29.6,17.7,10.6
Colorado,1909,-8.7,-10.7,-6.8,-3.3,1.4,7.8,11.6,11.8,5.9,-0.2,-5.2,-15.6,16.3,12.8,19.7,26.0,34.5,46.0,52.9,53.2,42.7,31.7,22.6,3.9
Colorado,1910,-11.5,-12.1,-3.2,-1.1,2.9,7.9,11.2,10.1,6.9,-0.2,-4.1,-9.2,11.3,10.2,26.2,30.1,37.2,46.3,52.1,50.1,44.4,31.6,24.7,15.5
