state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Connecticut,1895,-10.2,-13.1,-5.2,0.9,7.4,13.4,13.6,14.3,10.7,1.1,-0.2,-5.2,13.7,8.4,22.7,33.6,45.3,56.2,56.4,57.8,51.2,33.9,31.6,22.6
Connecticut,1896,-10.8,-8.5,-7.0,1.7,8.7,11.6,16.2,14.8,9.8,3.3,0.7,-8.3,12.5,16.7,19.4,35.0,47.7,52.9,61.2,58.7,49.6,37.9,33.2,17.0
Connecticut,1897,-9.2,-7.9,-3.7,1.2,7.6,10.5,16.6,13.8,9.4,4.0,-1.3,-5.2,15.4,17.7,25.4,34.2,45.7,50.9,61.8,56.9,48.9,39.2,29.6,22.6
Connecticut,1898,-8.6,-7.4,-1.0,0.7,7.2,12.7,15.7,16.0,11.3,5.5,-1.9,-6.9,16.6,18.7,30.2,33.2,45.0,54.8,60.3,60.8,52.4,41.9,28.6,19.5
Connecticut,1899,-9.8,-10.4,-4.7,0.6,6.7,13.0,14.7,13.6,9.2,5.3,-1.9,-5.6,14.4,13.3,23.6,33.0,44.1,55.4,58.4,56.4,48.5,41.6,28.5,22.0
Connecticut,1900,-9.0,-9.1,-6.9,1.7,5.7,12.4,15.7,15.3,11.7,7.3,0.1,-7.0,15.8,15.7,19.6,35.1,42.3,54.4,60.3,59.5,53.0,45.1,32.1,19.4
Connecticut,1901,-9.2,-11.8,-4.2,2.5,6.9,12.4,17.1,15.3,10.7,3.2,-4.0,-7.2,15.5,10.8,24.4,36.5,44.5,54.4,62.7,59.5,51.3,37.8,24.8,19.0
Connecticut,1902,-10.3,-9.4,-0.9,1.8,6.5,11.1,14.1,12.7,10.5,4.8,0.9,-9.1,13.5,15.0,30.4,35.2,43.7,51.9,57.3,54.8,50.9,40.6,33.7,15.6
Connecticut,1903,-8.9,-7.6,0.4,1.7,7.1,10.2,14.9,11.6,9.7,5.1,-3.6,-10.1,15.9,18.3,32.7,35.1,44.7,50.3,58.8,52.8,49.4,41.2,25.5,13.9
Connecticut,1904,-13.9,-13.2,-5.3,-0.2,8.2,11.4,15.1,13.3,9.6,2.1,-3.8,-11.0,7.0,8.2,22.5,31.6,46.8,52.6,59.2,55.9,49.3,35.8,25.1,12.2
Connecticut,1905,-11.0,-13.4,-5.1,0.9,7.3,11.4,16.0,13.2,10.1,4.1,-3.1,-5.8,12.2,7.8,22.9,33.6,45.1,52.6,60.8,55.7,50.1,39.4,26.4,21.6
Connecticut,1906,-6.0,-9.4,-6.9,0.9,7.0,12.3,15.5,15.9,11.1,4.6,-1.3,-8.6,21.2,15.1,19.6,33.7,44.6,54.2,59.9,60.7,52.0,40.3,29.6,16.6
Connecticut,1907,-9.6,-14.4,-3.9,-0.9,4.4,10.2,14.9,12.8,11.8,1.4,-0.9,-4.6,14.8,6.1,25.0,30.4,40.0,50.4,58.9,55.0,53.3,34.6,30.3,23.7
Connecticut,1908,-8.4,-11.3,-3.5,1.3,8.8,12.6,16.6,13.9,10.9,5.3,-1.3,-6.7,16.8,11.7,25.7,34.4,47.8,54.6,61.8,57.1,51.6,41.6,29.7,20.0
Connecticut,1909,-7.7,-6.2,-4.3,1.1,7.0,12.9,13.6,12.7,9.8,2.8,0.5,-7.8,18.1,20.8,24.2,34.0,44.6,55.2,56.5,54.8,49.6,37.1,32.9,17.9
Connecticut,1910,-8.3,-9.1,-2.2,3.1,7.1,11.6,15.6,13.1,10.3,5.0,-1.9,-10.3,17.1,15.7,28.0,37.5,44.7,52.8,60.0,55.6,50.5,41.0,28.5,13.4
Connecticut,1911,-7.3,-9.4,-5.8,-0.7,9.3,11.9,16.1,13.7,9.9,3.7,-2.7,-3.7,18.8,15.1,21.5,30.8,48.8,53.5,60.9,56.6,49.9,38.6,27.2,25.4
Connecticut,1912,-14.2,-10.8,-5.9,1.1,7.6,10.5,15.0,12.8,10.3,4.8,-0.5,-4.1,6.4,12.6,21.4,34.0,45.7,50.9,59.0,55.1,50.6,40.6,31.1,24.6
Connecticut,1913,-4.2,-10.3,-1.9,2.2,6.4,11.3,14.7,13.5,8.9,7.7,0.1,-4.7,24.4,13.5,28.5,36.0,43.6,52.3,58.5,56.3,48.1,45.8,32.2,23.5
Connecticut,1914,-9.2,-12.8,-4.7,0.1,7.9,11.3,14.0,14.8,8.7,6.0,-2.3,-7.8,15.4,8.9,23.5,32.1,46.2,52.3,57.2,58.7,47.7,42.8,27.9,17.9
Connecticut,1915,-6.9,-6.3,-5.7,2.7,5.8,11.1,14.8,13.7,11.7,5.1,-0.8,-6.7,19.6,20.7,21.7,36.9,42.5,51.9,58.6,56.7,53.0,41.1,30.6,19.9
Connecticut,1916,-7.2,-11.1,-8.3,1.0,7.2,10.4,16.6,14.6,9.9,4.0,-1.9,-6.1,19.0,12.1,17.1,33.8,45.0,50.8,61.8,58.2,49.9,39.2,28.5,21.1
Connecticut,1917,-8.7,-10.9,-4.0,0.3,3.9,12.6,16.2,15.5,7.4,2.3,-4.3,-12.2,16.3,12.4,24.8,32.5,39.0,54.7,61.1,59.9,45.4,36.1,24.2,10.1
Connecticut,1918,-14.2,-11.3,-4.3,0.9,9.1,10.4,14.4,14.8,8.2,5.1,-0.9,-5.4,6.4,11.6,24.2,33.6,48.3,50.8,58.0,58.6,46.8,41.1,30.4,22.3
Connecticut,1919,-6.6,-6.9,-2.3,0.8,7.3,12.8,15.7,13.1,10.4,5.8,-1.2,-9.7,20.1,19.5,27.8,33.5,45.1,55.0,60.2,55.5,50.8,42.5,29.9,14.5
Connecticut,1920,-13.8,-10.6,-4.6,0.3,5.6,11.5,14.2,15.4,11.0,6.6,-1.4,-4.4,7.2,12.9,23.7,32.5,42.0,52.7,57.6,59.7,51.8,43.8,29.5,24.1
Connecticut,1921,-8.7,-7.4,-0.4,4.0,6.8,11.9,17.2,12.8,12.3,3.9,-0.8,-7.7,16.3,18.7,31.2,39.2,44.2,53.4,62.9,55.1,54.1,39.0,30.6,18.2
Connecticut,1922,-10.9,-7.7,-3.4,1.4,7.7,13.9,15.1,14.0,10.4,4.6,-0.9,-7.6,12.4,18.2,25.8,34.6,45.9,57.1,59.2,57.2,50.8,40.2,30.4,18.4
Connecticut,1923,-10.9,-12.8,-6.4,0.8,5.8,12.9,13.6,12.3,10.9,3.8,-1.6,-2.4,12.3,8.9,20.5,33.5,42.4,55.3,56.4,54.2,51.7,38.9,29.2,27.6
Connecticut,1924,-8.5,-10.7,-3.9,0.7,6.0,11.1,14.4,13.8,8.1,2.9,-1.8,-7.7,16.7,12.7,24.9,33.3,42.8,51.9,57.9,56.9,46.5,37.2,28.8,18.2
Connecticut,1925,-11.1,-4.7,-2.5,1.7,5.4,14.3,14.4,13.6,10.9,1.1,-1.8,-5.4,12.0,23.5,27.5,35.0,41.7,57.7,58.0,56.4,51.6,33.9,28.8,22.2
Connecticut,1926,-7.9,-9.6,-6.2,-0.7,5.8,10.1,14.4,15.2,9.6,3.4,-1.4,-9.8,17.7,14.8,20.8,30.7,42.4,50.2,58.0,59.4,49.3,38.2,29.5,14.4
Connecticut,1927,-9.1,-5.8,-2.4,0.1,6.2,10.4,15.3,12.5,9.9,5.9,1.2,-5.4,15.7,21.5,27.6,32.2,43.2,50.8,59.5,54.5,49.8,42.7,34.1,22.2
