state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Delaware,1895,-5.3,-9.6,-1.0,4.8,10.3,16.6,16.7,18.3,15.4,3.8,2.6,-1.6,22.4,14.8,30.2,40.7,50.6,61.8,62.0,64.9,59.8,38.9,36.6,29.2
Delaware,1896,-4.8,-3.6,-2.4,6.6,13.3,15.4,19.2,17.7,13.6,6.4,4.6,-4.2,23.4,25.5,27.7,43.8,55.9,59.8,66.5,63.9,56.4,43.6,40.2,24.4
Delaware,1897,-5.8,-2.9,1.1,4.1,10.1,14.3,19.1,17.1,13.3,8.7,2.4,-1.9,21.6,26.8,34.0,39.4,50.1,57.7,66.4,62.8,55.9,47.6,36.4,28.6
Delaware,1898,-2.6,-3.8,2.9,3.7,10.7,15.9,20.1,19.7,15.4,8.4,1.1,-3.1,27.4,25.2,37.3,38.6,51.3,60.6,68.1,67.4,59.8,47.2,33.9,26.5
Delaware,1899,-5.2,-7.9,0.0,4.2,10.3,16.9,19.0,18.1,12.4,8.7,1.6,-3.1,22.6,17.7,32.0,39.6,50.5,62.5,66.2,64.5,54.3,47.7,34.9,26.4
Delaware,1900,-4.2,-5.2,-2.3,4.9,10.1,16.4,19.7,20.1,16.6,10.9,4.2,-3.5,24.5,22.7,27.9,40.9,50.2,61.6,67.5,68.1,61.9,51.6,39.6,25.7
Delaware,1901,-4.1,-7.2,0.7,4.4,10.2,15.6,21.0,19.6,13.7,6.4,-0.6,-4.3,24.7,19.0,33.3,40.0,50.3,60.0,69.8,67.2,56.7,43.5,31.0,24.3
Delaware,1902,-5.7,-6.4,1.7,4.4,10.5,14.8,18.3,16.0,13.6,8.7,5.2,-3.6,21.8,20.4,35.0,40.0,50.9,58.6,65.0,60.8,56.4,47.7,41.4,25.5
Delaware,1903,-4.6,-3.2,3.8,5.7,10.5,13.9,17.7,17.3,13.3,8.1,-0.9,-5.6,23.8,26.2,38.8,42.2,50.9,57.1,63.8,63.1,55.9,46.5,30.4,21.9
Delaware,1904,-7.7,-7.9,-0.6,3.4,10.8,15.2,17.7,17.1,13.5,5.2,0.2,-6.4,18.1,17.7,30.9,38.1,51.4,59.3,63.9,62.7,56.3,41.4,32.3,20.4
