state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Georgia,1895,1.9,-2.4,6.7,10.9,14.7,19.1,20.3,20.8,18.9,9.0,6.0,0.7,35.4,27.7,44.0,51.6,58.5,66.3,68.5,69.4,66.1,48.2,42.8,33.2
Georgia,1896,1.3,2.7,5.3,12.9,17.9,19.7,21.7,21.4,17.9,11.2,8.9,1.6,34.4,36.9,41.6,55.3,64.2,67.5,71.1,70.6,64.2,52.1,48.1,34.9
Georgia,1897,0.3,5.6,9.9,10.7,13.8,20.6,20.9,20.4,17.1,13.4,6.4,3.3,32.5,42.0,49.8,51.2,56.9,69.0,69.6,68.7,62.7,56.2,43.6,38.0
Georgia,1898,4.1,0.6,9.6,8.2,15.9,20.3,21.4,21.2,18.9,11.2,5.0,2.2,39.3,33.1,49.2,46.7,60.6,68.5,70.6,70.1,66.0,52.2,41.0,36.0
Georgia,1899,1.8,1.1,7.1,10.2,16.9,19.9,20.4,21.1,16.2,12.9,6.6,1.3,35.2,34.0,44.8,50.4,62.5,67.8,68.8,69.9,61.1,55.2,43.8,34.4
Georgia,1900,0.4,1.1,5.6,11.4,14.6,19.6,20.8,20.9,18.8,15.2,6.6,2.4,32.7,34.0,42.1,52.6,58.3,67.3,69.5,69.7,65.8,59.4,43.8,36.3
Georgia,1901,1.1,0.6,5.0,7.5,14.9,19.2,21.2,20.3,16.9,9.8,2.0,-0.4,33.9,33.1,41.0,45.5,58.8,66.6,70.1,68.6,62.5,49.6,35.6,31.2
Georgia,1902,-0.3,-0.3,6.2,9.2,17.0,19.5,21.0,20.5,17.1,11.4,8.1,2.0,31.4,31.4,43.1,48.5,62.6,67.1,69.8,68.9,62.8,52.6,46.5,35.6
Georgia,1903,1.0,3.2,10.4,8.8,15.5,17.6,20.4,21.0,16.3,10.1,4.9,-1.9,33.8,37.7,50.7,47.8,59.9,63.6,68.8,69.8,61.4,50.1,40.9,28.5
Georgia,1904,-1.3,1.9,7.2,8.7,13.8,18.3,19.6,19.7,17.7,10.8,4.4,2.1,29.7,35.4,44.9,47.6,56.8,65.0,67.2,67.4,63.9,51.4,40.0,35.7
