state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Idaho,1895,-11.3,-10.3,-6.8,-1.7,2.0,4.5,8.3,8.4,3.5,-0.9,-5.9,-9.7,11.6,13.5,19.7,29.0,35.6,40.1,46.9,47.2,38.3,30.3,21.3,14.5
Idaho,1896,-7.1,-6.6,-6.3,-2.4,0.6,7.1,11.4,9.1,4.2,-1.1,-6.9,-5.0,19.3,20.2,20.6,27.7,33.1,44.7,52.5,48.3,39.5,30.1,19.6,23.0
Idaho,1897,-10.2,-8.1,-8.8,-1.1,5.6,5.6,7.7,9.0,5.2,-0.2,-3.5,-8.3,13.6,17.4,16.2,30.0,42.0,42.1,45.9,48.2,41.4,31.6,25.7,17.0
Idaho,1898,-13.8,-6.7,-7.8,-1.2,1.9,6.1,8.9,10.4,3.9,-1.8,-7.2,-12.2,7.1,20.0,18.0,29.9,35.4,42.9,48.1,50.7,39.0,28.8,19.1,10.1
Idaho,1899,-7.4,-11.0,-5.7,-2.3,0.8,4.7,8.8,6.8,4.8,-0.8,-1.7,-9.8,18.6,12.2,21.8,27.9,33.5,40.4,47.8,44.2,40.6,30.6,28.9,14.4
Idaho,1900,-6.9,-8.5,-3.4,0.1,3.3,7.4,7.8,7.2,4.2,-0.1,-5.6,-5.6,19.6,16.7,25.9,32.2,37.9,45.4,46.1,44.9,39.6,31.9,22.0,21.9
Idaho,1901,-8.4,-9.1,-5.3,-2.7,4.4,3.9,9.8,10.1,3.2,1.7,-3.5,-7.7,16.9,15.6,22.4,27.1,40.0,39.1,49.6,50.1,37.7,35.1,25.7,18.2
Idaho,1902,-11.1,-5.4,-6.1,-1.8,2.8,5.1,7.1,7.7,2.9,-0.6,-4.9,-8.3,12.0,22.3,21.0,28.7,37.1,41.1,44.8,45.8,37.2,31.0,23.1,17.1
Idaho,1903,-8.3,-15.1,-5.9,-2.3,1.2,7.9,7.4,8.2,3.0,-0.1,-5.1,-9.1,17.1,4.8,21.4,27.9,34.1,46.2,45.3,46.7,37.4,31.8,22.8,15.7
Idaho,1904,-9.9,-7.8,-4.7,-1.6,2.4,4.9,8.4,9.2,4.8,1.0,-3.8,-8.6,14.2,18.0,23.5,29.2,36.3,40.8,47.2,48.5,40.7,33.8,25.1,16.5
Idaho,1905,-8.1,-11.2,-2.9,-0.7,1.9,5.3,9.4,9.0,4.8,-2.8,-6.4,-10.9,17.5,11.9,26.8,30.7,35.5,41.6,49.0,48.2,40.7,26.9,20.5,12.3
Idaho,1906,-9.4,-7.2,-7.6,-0.7,2.7,4.7,10.3,9.1,4.7,0.3,-5.6,-4.6,15.1,19.0,18.4,30.7,36.9,40.5,50.5,48.3,40.4,32.5,22.0,23.7
Idaho,1907,-11.8,-4.8,-2.6,-1.1,1.9,5.1,8.9,6.8,4.1,1.6,-4.8,-7.3,10.8,23.4,27.4,30.1,35.4,41.1,48.0,44.3,39.3,34.9,23.3,18.8
Idaho,1908,-9.5,-7.8,-4.9,-1.3,1.7,4.8,10.0,8.1,4.7,-0.2,-5.2,-9.1,14.9,17.9,23.2,29.6,35.1,40.7,50.0,46.5,40.5,31.6,22.7,15.6
Idaho,1909,-8.1,-5.9,-4.5,-3.6,0.9,6.3,8.8,8.3,6.0,-0.3,-2.7,-11.9,17.4,21.3,23.9,25.6,33.6,43.3,47.8,47.0,42.8,31.5,27.1,10.5
Idaho,1910,-12.7,-11.5,-2.2,0.3,2.9,5.3,10.2,6.0,5.1,0.2,-3.0,-6.2,9.1,11.3,28.0,32.5,37.2,41.6,50.3,42.8,41.2,32.3,26.6,20.8
Idaho,1911,-8.7,-11.6,-5.3,-2.7,1.5,7.5,8.7,6.4,3.6,-2.0,-7.1,-9.8,16.4,11.1,22.4,27.1,34.7,45.5,47.7,43.6,38.5,28.4,19.3,14.3
Idaho,1912,-9.2,-6.3,-6.7,-1.6,2.1,6.7,8.2,7.5,1.8,-1.2,-3.7,-9.5,15.4,20.6,19.9,29.1,35.7,44.0,46.8,45.5,35.3,29.9,25.3,14.9
Idaho,1913,-11.8,-12.7,-6.5,-1.5,3.2,7.1,9.1,9.2,4.2,-1.2,-2.9,-10.8,10.7,9.1,20.3,29.3,37.8,44.8,48.3,48.6,39.6,29.8,26.8,12.6
Idaho,1914,-6.9,-8.6,-4.6,-0.3,3.3,5.6,9.9,7.7,3.6,1.7,-5.8,-14.1,19.6,16.6,23.7,31.5,38.0,42.1,49.9,45.9,38.4,35.0,21.6,6.7
Idaho,1915,-11.7,-5.0,-3.7,1.0,2.9,4.2,8.1,9.9,4.1,-0.1,-5.2,-8.6,11.0,23.0,25.4,33.8,37.3,39.5,46.6,49.8,39.3,31.8,22.7,16.6
Idaho,1916,-14.4,-7.5,-3.6,-1.2,-0.1,4.1,9.1,7.6,3.8,-1.9,-8.7,-11.7,6.1,18.5,25.5,29.8,31.8,39.3,48.3,45.6,38.9,28.6,16.4,10.9
Idaho,1917,-14.2,-10.1,-10.6,-2.7,1.8,4.0,10.1,7.7,5.3,-1.1,-3.3,-2.4,6.4,13.8,13.0,27.2,35.2,39.2,50.2,45.9,41.6,30.1,26.1,27.7
Idaho,1918,-6.9,-9.4,-4.2,-2.9,0.9,8.7,9.9,7.4,6.1,2.2,-5.7,-9.4,19.5,15.0,24.4,26.8,33.6,47.6,49.8,45.3,42.9,35.9,21.7,15.0
Idaho,1919,-10.3,-7.9,-5.3,-0.9,2.3,5.4,9.5,9.3,5.0,-2.2,-6.9,-13.9,13.4,17.8,22.4,30.3,36.1,41.7,49.1,48.7,41.0,28.0,19.6,6.9
Idaho,1920,-10.1,-8.0,-5.6,-2.7,1.3,4.9,10.1,8.7,5.2,0.0,-4.4,-7.2,13.8,17.6,21.9,27.2,34.3,40.8,50.1,47.7,41.3,32.0,24.0,19.1
Idaho,1921,-8.1,-7.9,-3.5,-2.2,3.2,7.6,9.1,8.9,2.2,-0.1,-3.9,-8.3,17.5,17.7,25.7,28.0,37.8,45.7,48.4,48.0,35.9,31.9,24.9,17.0
Idaho,1922,-15.4,-12.0,-8.4,-3.7,1.7,7.1,9.3,10.8,4.9,0.4,-6.4,-10.1,4.2,10.4,16.9,25.4,35.0,44.7,48.8,51.5,40.8,32.7,20.4,13.8
Idaho,1923,-7.7,-12.9,-7.7,-1.9,2.9,5.7,10.9,8.9,5.3,-0.1,-4.8,-10.0,18.1,8.7,18.1,28.6,37.2,42.3,51.6,48.1,41.5,31.8,23.4,14.0
Idaho,1924,-13.1,-4.5,-6.7,-2.2,2.9,5.0,8.8,7.4,3.9,0.4,-5.6,-13.6,8.4,23.9,20.0,28.0,37.2,41.0,47.9,45.3,39.1,32.7,22.0,7.5
Idaho,1925,-8.3,-4.6,-4.2,-0.3,3.9,6.4,10.7,7.9,5.3,-1.2,-4.9,-5.0,17.0,23.7,24.4,31.5,39.1,43.6,51.2,46.2,41.6,29.9,23.1,23.0
Idaho,1926,-10.3,-4.6,-4.6,0.4,2.9,6.9,10.2,9.2,1.5,-0.1,-2.1,-8.6,13.4,23.7,23.7,32.8,37.3,44.4,50.4,48.5,34.7,31.9,28.2,16.6
Idaho,1927,-9.0,-6.3,-5.3,-2.3,2.1,6.7,9.3,8.5,4.7,0.8,-1.3,-12.8,15.8,20.7,22.5,27.8,35.8,44.1,48.7,47.3,40.4,33.5,29.6,8.9
