state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Indiana,1895,-11.6,-13.1,-3.6,5.1,9.8,15.8,15.6,15.8,13.6,0.5,-1.1,-4.3,11.2,8.5,25.6,41.1,49.7,60.4,60.1,60.5,56.4,32.9,30.0,24.2
Indiana,1896,-6.6,-5.8,-4.1,7.8,13.6,14.9,17.4,16.3,10.7,2.9,0.4,-3.7,20.1,21.5,24.7,46.0,56.4,58.8,63.3,61.3,51.3,37.3,32.8,25.3
Indiana,1897,-9.2,-4.9,-0.7,3.8,7.1,14.1,18.4,14.4,11.2,6.6,-0.6,-5.3,15.4,23.1,30.8,38.8,44.8,57.4,65.2,57.9,52.2,43.8,31.0,22.5
Indiana,1898,-4.7,-5.4,1.1,2.8,10.7,15.7,17.3,16.8,14.2,6.2,-2.7,-7.4,23.5,22.2,33.9,37.1,51.3,60.2,63.2,62.2,57.6,43.2,27.2,18.7
Indiana,1899,-7.8,-11.5,-3.6,5.7,11.4,16.2,16.9,17.1,11.2,7.4,1.4,-6.6,18.0,11.3,25.5,42.2,52.6,61.1,62.5,62.8,52.2,45.4,34.5,20.1
Indiana,1900,-5.3,-9.5,-4.3,4.2,10.6,15.4,17.5,19.1,14.1,8.9,-0.2,-4.8,22.4,14.9,24.3,39.6,51.0,59.8,63.5,66.4,57.3,48.1,31.7,23.3
Indiana,1901,-6.8,-10.8,-1.5,2.4,8.9,16.2,19.4,16.4,11.3,4.9,-2.7,-8.1,19.7,12.5,29.3,36.3,48.1,61.1,67.0,61.5,52.4,40.8,27.2,17.4
Indiana,1902,-7.9,-12.2,0.3,2.9,11.6,14.3,17.3,14.7,10.7,6.8,4.1,-6.1,17.8,10.0,32.6,37.2,52.9,57.7,63.1,58.4,51.2,44.2,39.4,21.1
Indiana,1903,-8.3,-7.0,2.1,4.1,11.2,12.2,16.8,15.2,10.8,5.3,-3.0,-10.6,17.0,19.4,35.7,39.4,52.1,53.9,62.3,59.4,51.4,41.5,26.6,13.0
Indiana,1904,-12.2,-11.0,-1.4,1.5,9.7,14.2,15.7,13.8,12.3,4.3,-1.9,-7.7,10.0,12.2,29.5,34.7,49.5,57.5,60.3,56.8,54.2,39.7,28.6,18.1
Indiana,1905,-11.3,-12.8,0.8,3.8,10.4,15.1,16.9,16.4,12.4,4.7,-2.1,-5.0,11.7,8.9,33.4,38.8,50.7,59.1,62.4,61.5,54.3,40.5,28.3,23.0
Indiana,1906,-4.4,-9.2,-5.3,4.6,9.8,14.8,15.8,17.7,14.0,5.2,-1.3,-4.6,24.0,15.4,22.4,40.2,49.7,58.6,60.4,63.8,57.2,41.3,29.6,23.8
Indiana,1907,-4.8,-7.7,2.1,-0.2,6.5,13.1,17.1,14.9,11.7,3.3,-2.5,-4.1,23.4,18.1,35.8,31.6,43.7,55.6,62.8,58.8,53.0,37.9,27.5,24.6
Indiana,1908,-6.8,-7.5,0.4,4.3,11.2,14.2,16.8,15.2,11.7,3.8,-0.9,-4.9,19.8,18.5,32.8,39.8,52.2,57.6,62.2,59.3,53.0,38.9,30.4,23.1
Indiana,1909,-5.9,-4.4,-2.1,2.8,8.8,15.9,16.0,16.4,10.1,2.2,3.5,-10.2,21.3,24.1,28.3,37.0,47.8,60.6,60.8,61.5,50.1,35.9,38.3,13.7
Indiana,1910,-7.5,-9.4,2.1,3.7,7.3,12.4,17.3,14.3,12.7,6.3,-3.5,-8.5,18.5,15.1,35.7,38.6,45.1,54.3,63.1,57.7,54.8,43.3,25.7,16.7
Indiana,1911,-5.8,-3.9,-2.4,3.3,11.7,15.6,16.1,15.8,14.3,5.8,-3.3,-2.6,21.6,24.9,27.7,37.9,53.0,60.0,61.0,60.4,57.7,42.4,26.0,27.3
Indiana,1912,-14.0,-11.2,-5.6,4.9,11.0,12.8,17.7,15.4,12.9,4.7,-0.9,-4.8,6.8,11.9,22.0,40.9,51.8,55.1,63.9,59.7,55.2,40.4,30.4,23.4
Indiana,1913,-4.8,-9.2,-3.0,3.8,9.4,14.8,17.8,16.9,11.4,5.5,2.5,-2.3,23.4,15.4,26.6,38.8,49.0,58.6,64.0,62.5,52.6,41.9,36.5,27.8
Indiana,1914,-3.6,-12.1,-2.8,4.1,10.1,16.0,17.1,16.3,11.3,7.5,-0.9,-8.3,25.6,10.3,26.9,39.4,50.2,60.8,62.8,61.4,52.4,45.5,30.3,17.1
Indiana,1915,-9.7,-2.6,-4.0,6.0,8.7,13.5,16.3,14.0,13.2,6.0,0.6,-5.6,14.5,27.3,24.8,42.8,47.7,56.3,61.4,57.2,55.8,42.8,33.0,21.9
Indiana,1916,-5.9,-8.3,-4.0,3.4,10.8,12.9,18.9,17.2,10.6,4.2,-0.6,-8.2,21.4,17.0,24.8,38.1,51.4,55.3,66.1,62.9,51.0,39.5,30.9,17.2
Indiana,1917,-8.2,-10.3,-1.4,3.2,6.3,13.3,16.6,14.8,10.1,1.3,-1.3,-11.4,17.2,13.5,29.4,37.7,43.3,56.0,61.8,58.6,50.1,34.3,29.6,11.4
