state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Iowa,1895,-17.7,-16.2,-6.6,4.2,8.9,13.7,14.5,14.8,12.3,-0.8,-5.2,-9.3,0.1,2.9,20.2,39.6,48.0,56.6,58.1,58.6,54.1,30.6,22.7,15.2
Iowa,1896,-11.2,-9.0,-7.6,5.2,12.1,13.9,15.7,15.1,7.9,1.1,-8.1,-5.9,11.8,15.8,18.4,41.3,53.8,57.0,60.2,59.2,46.3,33.9,17.4,21.4
Iowa,1897,-14.2,-9.4,-5.8,2.7,7.0,13.6,17.2,13.2,13.2,5.6,-6.2,-13.7,6.4,15.1,21.5,36.8,44.6,56.5,62.9,55.8,55.7,42.1,20.8,7.3
Iowa,1898,-10.6,-10.6,-3.7,1.4,8.9,15.6,15.4,15.1,11.1,2.7,-6.7,-13.7,12.9,13.0,25.4,34.6,48.0,60.1,59.8,59.2,51.9,36.8,20.0,7.4
Iowa,1899,-13.4,-17.6,-9.7,1.9,8.9,15.0,15.7,16.4,9.1,5.7,-0.2,-11.2,7.9,0.4,14.5,35.5,48.1,59.0,60.2,61.5,48.3,42.3,31.7,11.9
Iowa,1900,-9.6,-16.3,-6.8,4.1,10.3,13.4,16.3,18.6,11.3,8.1,-5.0,-8.4,14.8,2.7,19.7,39.3,50.6,56.2,61.4,65.4,52.4,46.5,23.0,16.8
Iowa,1901,-10.9,-14.6,-4.6,2.7,8.6,15.0,19.8,14.9,10.2,4.8,-5.3,-11.9,12.3,5.8,23.7,36.8,47.4,59.0,67.7,58.9,50.4,40.6,22.4,10.5
Iowa,1902,-12.0,-14.4,-2.3,0.9,11.0,12.4,16.7,14.7,8.4,4.8,-0.7,-12.0,10.4,6.0,27.9,33.7,51.8,54.3,62.0,58.4,47.1,40.6,30.7,10.4
Iowa,1903,-10.9,-13.1,-2.2,2.9,10.4,11.6,16.2,14.5,9.3,3.8,-4.8,-13.7,12.4,8.4,28.1,37.2,50.7,52.8,61.2,58.1,48.8,38.8,23.4,7.3
Iowa,1904,-15.8,-16.3,-4.3,-0.2,8.3,13.0,15.0,13.4,10.9,4.7,-2.8,-11.3,3.5,2.7,24.3,31.7,47.0,55.4,59.0,56.1,51.6,40.4,26.9,11.6
Iowa,1905,-18.0,-17.4,-1.1,1.5,7.8,14.6,15.3,16.8,12.3,3.0,-3.1,-9.2,-0.4,0.7,30.1,34.7,46.0,58.2,59.5,62.2,54.1,37.4,26.4,15.4
Iowa,1906,-9.9,-11.6,-7.7,3.9,8.8,12.9,14.4,16.8,12.6,3.2,-3.5,-8.6,14.2,11.1,18.2,39.1,47.9,55.2,58.0,62.3,54.6,37.7,25.7,16.5
Iowa,1907,-12.8,-10.2,-1.6,-1.7,4.4,12.9,16.9,15.0,10.2,2.4,-3.9,-7.4,8.9,13.7,29.1,28.9,40.0,55.2,62.5,59.0,50.4,36.3,24.9,18.7
