state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Kansas,1895,-10.7,-10.9,-2.3,6.1,10.1,15.3,17.1,17.1,14.1,3.0,-3.1,-6.7,12.7,12.3,27.9,42.9,50.1,59.5,62.8,62.7,57.3,37.4,26.5,19.9
Kansas,1896,-6.1,-5.1,-4.1,7.5,13.0,15.6,18.5,17.3,11.3,4.2,-4.4,-3.7,21.0,22.8,24.7,45.5,55.4,60.1,65.3,63.2,52.4,39.6,24.1,25.3
Kansas,1897,-8.5,-5.3,-1.7,4.6,10.0,16.2,18.6,16.4,14.3,7.2,-2.7,-7.9,16.7,22.5,29.0,40.2,50.0,61.2,65.5,61.5,57.7,45.0,27.2,17.8
Kansas,1898,-6.7,-5.4,-2.4,3.8,10.1,17.2,17.9,17.2,12.4,3.4,-4.6,-9.2,19.9,22.3,27.7,38.8,50.2,62.9,64.2,62.9,54.3,38.2,23.8,15.5
Kansas,1899,-8.8,-13.7,-5.2,3.6,11.3,16.2,17.8,18.9,11.7,7.1,1.2,-6.8,16.1,7.4,22.6,38.4,52.3,61.1,64.0,66.0,53.0,44.7,34.2,19.7
Kansas,1900,-5.4,-9.6,-2.0,6.0,11.3,16.1,18.1,19.0,14.3,8.1,-2.4,-6.3,22.2,14.8,28.4,42.8,52.4,60.9,64.6,66.2,57.7,46.6,27.7,20.7
Kansas,1901,-7.9,-9.0,-2.9,4.0,9.1,16.9,20.4,17.9,12.9,7.2,-1.7,-8.0,17.8,15.8,26.7,39.2,48.4,62.4,68.7,64.2,55.3,44.9,28.9,17.6
Kansas,1902,-8.8,-9.0,-0.1,4.2,13.2,15.1,17.9,18.2,9.9,6.2,0.6,-8.3,16.1,15.8,31.9,39.5,55.8,59.1,64.3,64.7,49.9,43.2,33.0,17.0
Kansas,1903,-6.7,-9.3,-1.5,4.1,10.2,12.7,18.5,17.3,11.0,5.6,-1.8,-7.6,20.0,15.2,29.3,39.4,50.3,54.9,65.3,63.2,51.8,42.0,28.8,18.4
Kansas,1904,-9.6,-8.0,-1.1,2.3,10.1,14.7,17.6,16.6,12.9,6.5,-2.3,-7.8,14.8,17.6,30.0,36.1,50.1,58.5,63.7,61.8,55.3,43.7,27.8,17.9
Kansas,1905,-12.0,-12.7,2.7,3.7,9.9,17.1,16.7,18.0,14.3,3.9,-1.0,-7.6,10.4,9.2,36.9,38.6,49.9,62.7,62.0,64.4,57.8,39.0,30.2,18.4
Kansas,1906,-5.9,-6.1,-5.4,6.3,10.6,14.2,15.7,17.3,13.5,4.4,-1.8,-3.9,21.3,21.1,22.3,43.3,51.1,57.5,60.3,63.2,56.3,39.9,28.8,24.9
Kansas,1907,-6.6,-6.3,2.3,0.9,6.9,14.5,18.7,18.1,12.7,5.8,-2.6,-5.3,20.2,20.6,36.1,33.7,44.5,58.1,65.6,64.6,54.8,42.4,27.3,22.4
Kansas,1908,-6.0,-4.9,-0.2,4.9,9.9,15.7,17.4,17.4,12.8,5.1,-1.6,-5.3,21.2,23.2,31.6,40.9,49.9,60.2,63.4,63.3,55.1,41.2,29.2,22.4
Kansas,1909,-8.0,-6.5,-2.4,2.8,8.6,16.1,19.1,18.8,12.5,5.0,1.6,-11.1,17.6,20.3,27.7,37.1,47.4,60.9,66.3,65.8,54.5,41.0,34.9,12.0
Kansas,1910,-7.2,-8.6,2.8,4.8,8.7,15.0,18.3,17.0,13.7,5.8,-2.1,-6.7,19.1,16.6,37.1,40.7,47.6,59.0,65.0,62.6,56.6,42.4,28.2,19.9
Kansas,1911,-6.9,-5.4,0.0,3.7,11.7,17.6,18.3,16.7,15.6,5.3,-4.6,-7.3,19.5,22.2,32.0,38.6,53.1,63.7,65.0,62.1,60.1,41.6,23.7,18.8
Kansas,1912,-13.5,-6.4,-5.8,4.6,11.3,13.3,18.9,17.7,11.3,5.4,-1.5,-6.8,7.7,20.5,21.6,40.2,52.4,55.9,66.1,63.8,52.3,41.7,29.3,19.8
Kansas,1913,-9.3,-10.5,-3.9,4.7,11.4,16.3,19.4,19.2,12.3,4.4,2.6,-3.8,15.3,13.1,24.9,40.5,52.6,61.3,66.9,66.6,54.1,40.0,36.7,25.2
Kansas,1914,-3.7,-9.0,-1.9,4.4,11.1,18.4,19.3,17.7,14.1,6.9,-0.6,-10.7,25.4,15.8,28.5,39.9,52.0,65.2,66.8,63.8,57.4,44.4,30.9,12.8
Kansas,1915,-8.6,-2.6,-4.8,7.4,8.7,14.3,16.9,14.7,13.7,5.8,-0.1,-6.1,16.6,27.3,23.3,45.4,47.7,57.7,62.4,58.5,56.6,42.4,31.8,21.1
Kansas,1916,-10.5,-7.7,-1.0,3.2,9.8,14.3,18.8,18.3,11.4,5.7,-2.3,-10.5,13.1,18.1,30.2,37.8,49.7,57.8,65.9,64.9,52.5,42.2,27.9,13.1
Kansas,1917,-8.4,-9.0,-3.2,3.2,7.0,14.1,18.6,15.8,12.8,1.4,0.1,-10.7,16.8,15.8,26.2,37.8,44.6,57.4,65.4,60.4,55.0,34.6,32.1,12.8
Kansas,1918,-14.4,-7.1,0.8,2.3,11.9,17.4,18.0,19.3,9.2,8.7,-0.6,-4.8,6.1,19.3,33.4,36.1,53.5,63.4,64.4,66.8,48.6,47.6,31.0,23.3
Kansas,1919,-8.0,-5.9,-0.3,4.9,9.8,15.6,19.1,17.4,14.4,5.1,-3.6,-9.2,17.6,21.4,31.4,40.9,49.7,60.0,66.3,63.4,58.0,41.2,25.5,15.4
Kansas,1920,-7.0,-5.4,-1.8,1.4,10.8,15.6,17.6,15.1,12.8,7.7,-2.3,-5.6,19.4,22.3,28.7,34.6,51.4,60.1,63.6,59.2,55.1,45.9,27.9,21.9
Kansas,1921,-4.1,-3.9,1.5,4.4,11.2,17.1,19.1,18.2,15.2,5.8,-2.7,-6.2,24.7,25.0,34.7,40.0,52.2,62.7,66.3,64.8,59.3,42.4,27.1,20.8
Kansas,1922,-9.6,-7.7,-1.3,5.6,11.0,16.4,17.8,18.6,14.2,5.6,-0.1,-7.0,14.7,18.2,29.6,42.0,51.8,61.5,64.1,65.5,57.6,42.1,31.9,19.4
Kansas,1923,-5.1,-8.5,-4.0,4.5,9.6,16.9,19.0,17.7,13.2,5.3,-0.7,-4.7,22.9,16.7,24.8,40.1,49.2,62.4,66.2,63.8,55.8,41.6,30.7,23.6
Kansas,1924,-11.2,-5.4,-4.2,4.4,6.6,16.0,16.6,18.8,10.4,7.4,-1.6,-11.2,11.9,22.3,24.5,39.9,43.8,60.8,61.9,65.8,50.8,45.3,29.2,11.9
Kansas,1925,-10.9,-3.8,0.2,7.8,9.5,17.7,19.1,17.2,15.6,2.4,-2.5,-6.8,12.3,25.2,32.3,46.0,49.1,63.9,66.3,62.9,60.0,36.3,27.5,19.7
Kansas,1926,-6.2,-3.1,-2.4,2.1,11.4,14.8,18.3,18.0,14.1,7.2,-2.8,-6.6,20.8,26.5,27.6,35.8,52.6,58.7,65.0,64.4,57.4,44.9,27.0,20.2
Kansas,1927,-7.2,-4.2,-1.0,6.8,11.1,15.2,17.7,15.8,13.7,6.6,-0.9,-10.7,19.0,24.5,30.2,44.3,52.0,59.4,63.9,60.5,56.7,43.8,30.4,12.7
Kansas,1928,-6.7,-4.7,-0.1,2.8,10.3,13.5,18.6,17.4,10.7,6.9,-0.8,-4.6,19.9,23.6,31.8,37.1,50.5,56.3,65.4,63.4,51.3,44.4,30.5,23.7
Kansas,1929,-10.7,-10.7,0.2,5.9,10.0,15.4,19.1,18.2,12.0,6.8,-4.2,-6.4,12.8,12.8,32.4,42.6,50.0,59.8,66.3,64.7,53.6,44.2,24.4,20.5
Kansas,1930,-14.7,-0.7,-3.5,6.4,9.9,15.5,19.3,18.5,13.7,6.2,-0.8,-5.4,5.5,30.7,25.7,43.6,49.9,59.9,66.8,65.3,56.7,43.2,30.5,22.2
Kansas,1931,-5.8,-2.3,-3.3,4.1,8.5,17.8,18.9,16.8,17.1,8.6,0.8,-2.7,21.6,27.8,26.1,39.4,47.3,64.1,66.1,62.3,62.8,47.4,33.5,27.2
Kansas,1932,-7.8,-2.9,-4.9,6.3,10.8,16.2,20.1,18.7,12.2,4.2,-3.7,-9.4,18.0,26.8,23.2,43.3,51.5,61.2,68.2,65.7,53.9,39.6,25.3,15.1
Kansas,1933,-4.9,-9.6,-0.2,4.1,10.6,18.3,19.6,17.9,15.8,5.8,0.1,-3.9,23.1,14.7,31.6,39.4,51.0,65.0,67.3,64.2,60.5,42.4,32.1,25.0
Kansas,1934,-5.3,-5.7,-2.3,5.4,12.5,18.7,21.8,20.3,10.7,8.3,1.1,-5.9,22.5,21.7,27.8,41.7,54.5,65.6,71.3,68.6,51.3,47.0,34.0,21.3
Kansas,1935,-6.2,-3.6,2.5,3.9,9.4,15.1,21.1,19.0,12.6,6.1,-1.8,-5.4,20.8,25.5,36.5,39.0,48.9,59.2,69.9,66.2,54.7,43.0,28.8,22.3
Kansas,1936,-9.5,-13.3,-0.4,3.3,13.2,16.8,20.9,20.5,15.5,5.3,-3.0,-3.4,14.9,8.0,31.2,37.9,55.7,62.2,69.6,68.9,59.9,41.5,26.6,25.8
Kansas,1937,-12.6,-6.6,-2.4,4.3,11.9,16.5,19.6,20.7,13.9,5.8,-2.4,-6.5,9.4,20.2,27.7,39.8,53.4,61.7,67.3,69.2,57.0,42.5,27.6,20.3
Kansas,1938,-6.3,-4.2,2.7,5.3,10.9,16.3,19.3,20.2,13.9,8.5,-2.9,-5.7,20.6,24.5,36.8,41.5,51.6,61.4,66.7,68.4,57.0,47.3,26.8,21.7
Kansas,1939,-4.0,-9.3,-0.4,4.5,12.2,16.7,20.2,17.6,15.0,6.7,-1.7,-4.2,24.8,15.3,31.2,40.1,53.9,62.0,68.3,63.7,59.0,44.1,29.0,24.4
Kansas,1940,-15.4,-4.8,-0.9,4.5,9.7,15.7,19.6,17.4,14.1,8.3,-2.6,-3.9,4.2,23.3,30.3,40.1,49.4,60.2,67.2,63.4,57.3,47.0,27.4,24.9
Kansas,1941,-5.0,-5.1,-2.2,6.7,13.0,15.7,18.7,18.3,14.5,8.6,-0.8,-3.4,23.0,22.8,28.0,44.0,55.4,60.2,65.6,65.0,58.1,47.4,30.6,25.9
Kansas,1942,-8.4,-6.3,-1.1,7.1,9.7,16.2,18.8,17.9,11.9,6.7,-0.4,-5.7,16.8,20.6,30.0,44.7,49.5,61.2,65.9,64.2,53.4,44.0,31.2,21.8
Kansas,1943,-8.5,-4.3,-4.3,5.9,9.2,17.1,19.3,20.1,11.2,4.3,-2.9,-7.4,16.7,24.2,24.2,42.7,48.6,62.8,66.8,68.2,52.2,39.8,26.8,18.6
Kansas,1944,-5.9,-4.5,-3.1,3.2,12.1,17.3,18.1,18.4,12.8,6.6,0.9,-6.6,21.4,23.9,26.5,37.8,53.8,63.2,64.5,65.2,55.0,43.8,33.7,20.2
Kansas,1945,-6.2,-4.3,1.2,3.9,8.8,13.5,18.1,18.1,12.5,5.7,-1.5,-9.6,20.9,24.3,34.1,39.1,47.8,56.3,64.5,64.6,54.5,42.3,29.3,14.8
Kansas,1946,-6.2,-3.8,3.4,7.4,8.3,16.6,19.1,18.1,13.1,7.6,-0.7,-4.0,20.8,25.2,38.2,45.4,47.0,61.9,66.4,64.5,55.5,45.6,30.8,24.8
Kansas,1947,-7.3,-8.3,-3.1,4.1,9.1,15.1,17.8,20.5,14.4,10.4,-2.2,-5.4,18.8,17.0,26.4,39.4,48.3,59.1,64.0,68.9,58.0,50.7,28.0,22.3
Kansas,1948,-9.3,-7.0,-4.4,7.6,10.4,15.9,18.6,18.0,13.6,4.1,-1.4,-5.6,15.3,19.4,24.0,45.6,50.7,60.6,65.5,64.4,56.4,39.3,29.5,22.0
Kansas,1949,-11.3,-6.3,-0.8,4.9,12.4,17.2,19.5,16.7,10.7,6.6,-0.2,-6.5,11.7,20.6,30.5,40.8,54.4,63.0,67.1,62.1,51.2,43.8,31.6,20.3
Kansas,1950,-9.4,-5.3,-3.3,2.7,9.9,16.2,16.7,15.8,12.3,7.9,-3.7,-7.7,15.0,22.4,26.0,36.9,49.8,61.2,62.1,60.4,54.1,46.2,25.3,18.1
Kansas,1951,-8.7,-5.4,-4.1,3.3,10.8,14.1,18.6,18.4,11.2,5.8,-3.8,-8.0,16.4,22.3,24.6,37.9,51.5,57.3,65.5,65.1,52.1,42.4,25.2,17.6
Kansas,1952,-6.6,-3.5,-3.1,3.8,10.2,19.7,18.7,18.8,12.1,2.4,-2.7,-6.7,20.2,25.7,26.4,38.8,50.4,67.5,65.7,65.8,53.7,36.4,27.1,20.0
Kansas,1953,-5.0,-4.4,0.9,2.7,10.0,19.1,18.7,17.4,12.7,7.5,0.0,-5.3,23.0,24.0,33.6,36.8,50.0,66.4,65.7,63.4,54.8,45.5,32.0,22.4
Kansas,1954,-8.8,-1.2,-2.8,6.9,8.8,17.2,21.4,19.8,15.3,7.3,-0.1,-5.6,16.1,29.8,26.9,44.4,47.9,63.0,70.5,67.6,59.6,45.1,31.8,21.9
Kansas,1955,-6.8,-8.4,-3.2,7.2,11.9,14.8,20.8,18.6,14.2,5.9,-4.4,-7.6,19.8,16.9,26.3,45.0,53.4,58.6,69.4,65.5,57.6,42.7,24.1,18.3
Kansas,1956,-8.7,-6.7,-2.2,2.4,12.7,17.7,18.8,18.5,12.9,8.7,-1.9,-5.1,16.4,20.0,28.1,36.3,54.8,63.9,65.9,65.3,55.2,47.6,28.5,22.8
Kansas,1957,-10.5,-3.5,-0.8,4.9,10.5,15.3,20.4,18.6,10.9,6.7,-1.1,-3.7,13.1,25.7,30.5,40.9,50.9,59.5,68.7,65.4,51.6,44.1,30.0,25.3
Kansas,1958,-6.4,-7.2,-4.1,4.2,12.0,15.7,18.1,17.7,14.2,6.0,-0.6,-6.8,20.5,19.0,24.6,39.6,53.6,60.3,64.5,63.8,57.5,42.8,30.9,19.7
Kansas,1959,-10.2,-6.3,-1.2,3.9,12.1,16.8,17.1,19.6,12.4,4.7,-4.8,-3.4,13.6,20.7,29.8,39.1,53.8,62.2,62.7,67.2,54.3,40.4,23.4,25.8
Kansas,1960,-8.0,-8.7,-5.9,6.5,9.4,15.9,17.6,18.0,13.5,7.3,-1.4,-6.2,17.6,16.4,21.3,43.7,49.0,60.6,63.6,64.4,56.3,45.2,29.4,20.8
Kansas,1961,-9.1,-4.6,-0.1,2.6,9.5,15.4,18.1,17.4,11.0,5.7,-1.6,-8.4,15.7,23.8,31.8,36.7,49.1,59.8,64.6,63.4,51.8,42.2,29.2,16.8
Kansas,1962,-10.7,-4.8,-3.2,4.1,13.9,15.8,18.4,17.6,12.7,7.9,-0.2,-5.3,12.7,23.3,26.3,39.4,57.1,60.5,65.2,63.6,54.8,46.2,31.6,22.4
Kansas,1963,-13.4,-5.8,0.6,6.3,12.1,17.7,20.1,18.8,15.0,10.4,-0.6,-10.2,7.8,21.5,33.0,43.3,53.8,63.8,68.2,65.8,59.0,50.7,31.0,13.6
Kansas,1964,-7.0,-6.3,-3.8,5.6,12.3,15.6,20.2,17.0,13.5,4.8,0.6,-7.6,19.4,20.7,25.2,42.0,54.2,60.0,68.4,62.6,56.3,40.6,33.0,18.4
Kansas,1965,-6.9,-7.9,-6.3,6.4,12.3,16.1,19.0,16.9,11.7,6.4,0.9,-3.1,19.6,17.7,20.7,43.6,54.2,61.0,66.2,62.5,53.0,43.5,33.7,26.4
