state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Kentucky,1895,-7.0,-10.0,0.2,6.8,10.7,17.0,17.3,17.6,15.6,2.3,0.7,-2.3,19.4,14.0,32.3,44.2,51.2,62.6,63.2,63.6,60.0,36.2,33.3,27.9
Kentucky,1896,-3.3,-2.9,-1.6,9.7,14.3,16.1,18.9,17.8,12.7,5.2,3.0,-2.1,26.0,26.7,29.2,49.5,57.7,61.0,66.1,64.0,54.9,41.3,37.4,28.2
Kentucky,1897,-6.3,-1.2,3.2,6.1,9.0,15.7,18.8,17.1,12.5,8.1,1.7,-1.7,20.6,29.8,37.8,42.9,48.2,60.3,65.9,62.7,54.5,46.5,35.0,28.9
Kentucky,1898,-1.2,-2.9,4.3,4.2,12.6,17.2,18.9,18.4,15.8,7.8,-0.4,-5.2,29.9,26.8,39.7,39.5,54.6,62.9,66.1,65.2,60.5,46.1,31.3,22.6
Kentucky,1899,-4.7,-9.3,-0.1,7.3,13.7,17.4,17.7,18.5,12.3,8.4,3.3,-4.2,23.6,15.3,31.8,45.1,56.7,63.3,63.8,65.3,54.1,47.1,37.9,24.5
Kentucky,1900,-3.3,-6.3,-0.7,5.8,11.1,17.4,18.9,19.7,16.7,10.3,1.7,-2.4,26.1,20.7,30.7,42.5,52.0,63.4,66.0,67.5,62.0,50.6,35.0,27.7
Kentucky,1901,-3.6,-5.8,1.3,3.8,10.3,17.1,20.0,18.1,13.0,5.8,-2.1,-5.6,25.5,21.5,34.3,38.9,50.6,62.7,68.0,64.6,55.4,42.5,28.2,21.9
Kentucky,1902,-5.2,-7.3,2.1,4.8,13.6,15.9,18.4,16.9,12.3,7.9,5.5,-2.2,22.6,18.8,35.7,40.7,56.4,60.7,65.1,62.4,54.2,46.3,41.9,28.0
Kentucky,1903,-4.3,-3.2,5.6,5.6,12.7,13.9,18.4,17.7,11.9,6.1,-1.2,-7.0,24.2,26.2,42.0,42.1,54.8,57.1,65.1,63.8,53.4,43.0,29.9,19.4
Kentucky,1904,-6.1,-4.8,1.9,3.7,10.9,16.1,17.0,16.9,14.4,5.5,-0.6,-3.2,21.1,23.3,35.5,38.6,51.6,60.9,62.6,62.5,57.9,41.9,31.0,26.2
