state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Louisiana,1895,3.3,-0.1,8.8,12.2,16.9,21.2,22.3,22.0,20.3,9.5,6.8,3.5,37.9,31.8,47.9,54.0,62.5,70.2,72.1,71.6,68.5,49.1,44.3,38.3
Louisiana,1896,3.5,5.1,8.1,15.3,19.6,20.9,22.7,22.2,18.4,12.7,10.3,3.7,38.3,41.2,46.5,59.6,67.3,69.6,72.8,72.0,65.1,54.9,50.5,38.6
Louisiana,1897,2.8,7.3,14.2,13.4,15.8,21.4,22.4,21.8,18.2,14.3,8.3,5.2,37.1,45.1,57.6,56.2,60.5,70.5,72.4,71.3,64.7,57.7,47.0,41.4
Louisiana,1898,6.8,5.9,11.4,10.6,17.4,21.6,22.2,22.3,20.7,11.9,5.9,2.6,44.2,42.6,52.6,51.0,63.4,70.8,72.0,72.1,69.3,53.4,42.7,36.6
Louisiana,1899,3.6,0.8,9.8,12.6,19.6,20.9,22.2,22.6,16.6,14.2,7.8,4.0,38.5,33.5,49.7,54.7,67.2,69.6,71.9,72.6,61.9,57.6,46.0,39.2
Louisiana,1900,4.1,3.6,8.7,13.8,17.5,21.8,22.7,22.3,21.8,16.0,9.1,4.6,39.4,38.5,47.6,56.9,63.5,71.2,72.9,72.1,71.3,60.8,48.3,40.3
Louisiana,1901,5.0,4.1,7.4,10.4,15.6,20.9,22.7,22.3,18.5,11.7,5.3,2.6,41.0,39.4,45.4,50.8,60.1,69.6,72.9,72.1,65.3,53.1,41.5,36.7
Louisiana,1902,1.7,2.3,10.0,13.4,19.5,21.1,22.2,23.1,18.7,12.7,11.7,4.2,35.1,36.2,50.0,56.1,67.1,69.9,72.0,73.5,65.7,54.8,53.0,39.6
Louisiana,1903,3.0,5.2,11.8,12.2,16.5,18.4,21.6,22.1,17.1,11.3,5.6,1.1,37.4,41.3,53.3,54.0,61.7,65.2,70.8,71.8,62.7,52.3,42.1,34.0
Louisiana,1904,1.1,7.4,11.2,11.8,15.5,20.7,21.1,21.0,19.8,12.8,6.1,3.8,33.9,45.4,52.1,53.3,59.9,69.3,69.9,69.8,67.6,55.0,42.9,38.8
Louisiana,1905,1.3,0.3,10.9,14.4,19.9,22.2,21.7,22.9,20.2,13.9,10.3,1.9,34.3,32.5,51.6,58.0,67.8,71.9,71.0,73.2,68.3,57.0,50.6,35.4
Louisiana,1906,3.9,2.9,7.4,13.8,16.8,21.4,22.2,21.7,21.0,11.4,8.8,7.2,39.0,37.3,45.4,56.8,62.3,70.6,72.0,71.1,69.8,52.5,47.9,45.0
Louisiana,1907,9.4,5.8,14.3,11.7,16.2,20.2,22.6,22.5,19.7,13.8,6.4,5.3,49.0,42.5,57.8,53.0,61.2,68.4,72.7,72.5,67.5,56.8,43.6,41.6
Louisiana,1908,3.8,4.8,13.3,16.2,17.8,21.6,22.2,22.3,19.6,9.4,8.7,6.9,38.8,40.7,56.0,61.2,64.1,70.9,71.9,72.2,67.2,49.0,47.7,44.4
Louisiana,1909,6.6,5.1,9.8,13.1,16.5,21.3,23.4,22.8,18.8,12.3,10.1,1.4,43.8,41.2,49.6,55.6,61.7,70.4,74.2,73.0,65.8,54.2,50.2,34.6
Louisiana,1910,3.5,3.4,10.3,11.8,16.3,19.8,22.4,22.6,19.8,13.4,7.7,4.7,38.3,38.2,50.6,53.3,61.3,67.6,72.4,72.6,67.6,56.2,45.8,40.4
Louisiana,1911,8.6,10.2,11.1,15.0,16.7,21.9,22.1,22.1,22.1,14.6,5.6,6.0,47.4,50.4,51.9,59.0,62.0,71.5,71.7,71.8,71.8,58.3,42.1,42.8
Louisiana,1912,1.1,1.2,7.7,14.9,18.0,20.4,22.7,22.2,20.4,14.3,4.9,5.1,33.9,34.2,45.9,58.8,64.4,68.7,72.8,71.9,68.8,57.8,40.9,41.2
Louisiana,1913,6.9,4.3,8.5,11.7,16.4,20.0,22.4,21.7,19.1,12.6,10.7,5.4,44.5,39.8,47.3,53.0,61.5,68.0,72.4,71.1,66.4,54.6,51.2,41.7
Louisiana,1914,4.9,2.9,6.4,13.3,17.5,22.3,22.8,22.0,19.0,13.9,8.0,3.3,40.9,37.3,43.6,55.9,63.5,72.2,73.0,71.6,66.2,57.0,46.4,38.0
Louisiana,1915,2.2,5.6,4.0,12.7,18.0,21.7,21.9,21.8,19.7,13.9,8.8,3.9,36.0,42.1,39.2,54.9,64.4,71.0,71.5,71.2,67.5,57.0,47.8,39.1
Louisiana,1916,7.3,4.5,8.7,11.9,17.8,21.0,22.6,21.9,17.8,11.7,5.8,4.6,45.2,40.1,47.6,53.4,64.0,69.8,72.6,71.5,64.1,53.0,42.4,40.3
Louisiana,1917,6.3,5.6,9.7,12.0,14.3,19.7,22.2,21.4,17.7,8.5,3.6,2.2,43.4,42.0,49.4,53.6,57.8,67.4,72.0,70.5,63.9,47.3,38.4,35.9
Louisiana,1918,-1.6,8.1,12.1,12.8,17.8,22.0,20.9,21.7,15.8,16.3,7.1,6.2,29.2,46.5,53.7,55.1,64.0,71.6,69.7,71.0,60.5,61.4,44.7,43.2
Louisiana,1919,2.7,5.8,8.9,12.2,16.3,20.7,22.1,22.5,19.6,19.1,10.1,4.8,36.9,42.4,48.1,53.9,61.4,69.2,71.7,72.5,67.2,66.4,50.1,40.6
Louisiana,1920,5.8,6.2,8.4,13.1,19.0,19.8,22.2,21.2,20.6,12.9,4.9,4.1,42.4,43.1,47.1,55.5,66.2,67.7,71.9,70.2,69.0,55.3,40.9,39.4
Louisiana,1921,7.2,6.9,14.1,12.2,16.0,21.2,22.1,22.2,21.5,11.3,10.1,7.0,45.0,44.4,57.3,54.0,60.8,70.1,71.8,72.0,70.7,52.3,50.2,44.6
Louisiana,1922,4.9,8.7,8.8,15.4,18.3,21.2,21.8,21.4,19.4,12.1,10.0,8.9,40.9,47.7,47.8,59.7,65.0,70.1,71.3,70.5,67.0,53.8,50.0,48.1
Louisiana,1923,7.2,5.8,8.0,14.1,16.5,20.8,21.4,21.7,19.2,12.3,6.2,9.6,44.9,42.4,46.4,57.3,61.7,69.5,70.5,71.1,66.6,54.2,43.1,49.2
Louisiana,1924,0.9,4.8,6.7,13.4,15.4,22.0,21.1,22.0,17.7,11.9,8.4,5.1,33.6,40.6,44.0,56.1,59.7,71.6,70.0,71.6,63.8,53.5,47.1,41.1
Louisiana,1925,3.6,7.3,9.7,14.6,15.0,21.6,22.5,21.1,21.3,14.6,7.7,2.4,38.4,45.2,49.4,58.2,59.0,70.8,72.5,70.0,70.4,58.2,45.8,36.4
Louisiana,1926,3.4,6.4,7.2,11.4,15.9,20.2,21.4,22.4,21.1,15.7,5.4,7.0,38.1,43.5,44.9,52.5,60.7,68.3,70.6,72.3,69.9,60.3,41.7,44.6
Louisiana,1927,6.7,10.5,9.6,15.9,19.2,21.6,22.0,21.1,19.2,13.4,11.6,3.8,44.0,50.9,49.2,60.6,66.6,70.9,71.6,70.0,66.6,56.2,52.8,38.8
Louisiana,1928,3.4,5.2,10.1,10.7,15.8,21.0,22.2,22.4,18.1,14.9,6.9,3.2,38.2,41.4,50.1,51.3,60.5,69.8,72.0,72.3,64.5,58.8,44.4,37.8
Louisiana,1929,4.9,3.2,10.9,15.6,17.5,20.3,21.9,21.1,18.8,12.9,6.9,3.6,40.8,37.8,51.6,60.0,63.5,68.6,71.5,70.0,65.8,55.2,44.4,38.5
Louisiana,1930,2.8,8.3,7.6,13.3,18.1,18.9,21.9,21.1,19.8,12.7,8.0,2.9,37.0,46.9,45.6,56.0,64.6,66.1,71.4,69.9,67.7,54.9,46.4,37.2
Louisiana,1931,3.0,6.3,5.3,10.7,14.3,19.7,22.5,20.3,20.2,15.5,11.2,8.6,37.4,43.4,41.6,51.2,57.7,67.4,72.5,68.5,68.3,59.9,52.1,47.5
Louisiana,1932,7.6,10.8,6.8,13.0,16.6,21.3,23.0,22.2,19.1,11.3,4.4,5.1,45.6,51.4,44.2,55.4,61.9,70.4,73.4,71.9,66.4,52.3,39.9,41.2
Louisiana,1933,7.6,6.2,9.7,13.1,19.7,18.9,22.6,21.9,21.1,14.1,8.3,9.2,45.7,43.2,49.4,55.5,67.4,66.1,72.7,71.5,69.9,57.3,47.0,48.6
Louisiana,1934,6.0,4.2,7.3,13.5,16.8,21.5,22.2,22.6,18.0,15.1,8.8,4.6,42.8,39.6,45.1,56.3,62.2,70.7,72.0,72.6,64.4,59.1,47.9,40.2
