state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Maine,1895,-17.3,-17.8,-12.2,-2.9,4.7,10.2,10.7,10.4,5.6,-2.1,-4.9,-11.7,0.9,-0.1,10.1,26.8,40.5,50.4,51.2,50.7,42.1,28.2,23.2,11.0
Maine,1896,-17.6,-16.2,-12.3,-3.0,2.7,7.9,11.9,10.4,5.9,0.4,-4.9,-14.5,0.3,2.9,9.8,26.6,36.8,46.2,53.4,50.7,42.6,32.8,23.2,5.9
Maine,1897,-16.6,-15.4,-10.4,-2.3,4.2,7.1,12.5,10.2,5.0,-0.3,-5.4,-12.2,2.1,4.3,13.3,27.9,39.5,44.8,54.5,50.4,41.0,31.5,22.3,10.0
Maine,1898,-18.9,-12.7,-7.6,-3.1,4.2,9.3,12.1,12.1,6.8,1.3,-3.8,-13.9,-2.0,9.1,18.4,26.5,39.5,48.8,53.8,53.8,44.3,34.3,25.1,7.0
Maine,1899,-17.8,-16.8,-10.9,-3.1,2.7,8.6,12.0,10.3,5.6,1.7,-5.4,-9.8,-0.1,1.7,12.3,26.5,36.9,47.5,53.6,50.6,42.1,35.0,22.2,14.4
Maine,1900,-16.9,-15.3,-12.3,-2.0,1.2,9.1,12.1,11.4,7.0,3.3,-4.3,-14.4,1.5,4.4,9.8,28.4,34.2,48.3,53.7,52.5,44.6,38.0,24.3,6.0
Maine,1901,-17.0,-17.3,-10.3,-0.3,4.4,9.4,12.4,11.6,7.0,0.7,-7.7,-12.3,1.4,0.8,13.5,31.4,40.0,48.9,54.3,52.8,44.6,33.3,18.2,9.9
Maine,1902,-17.0,-14.4,-5.2,-1.3,2.6,6.6,9.9,9.6,7.2,0.8,-3.9,-15.5,1.4,6.1,22.7,29.7,36.7,43.9,49.9,49.3,45.0,33.4,25.0,4.1
Maine,1903,-16.9,-15.1,-5.6,-2.3,3.0,7.5,10.3,7.9,6.6,1.1,-6.4,-15.3,1.5,4.9,22.0,27.8,37.4,45.5,50.5,46.3,43.9,34.0,20.5,4.4
Maine,1904,-20.4,-19.9,-10.3,-2.8,5.4,8.0,12.3,9.6,4.8,0.4,-7.7,-18.8,-4.8,-3.8,13.5,27.0,41.8,46.4,54.1,49.2,40.6,32.7,18.1,-1.9
Maine,1905,-20.4,-19.0,-11.2,-2.5,2.8,7.8,12.2,8.8,6.3,-0.7,-5.8,-12.6,-4.8,-2.2,11.9,27.5,37.1,46.1,54.0,47.9,43.4,30.7,21.5,9.4
Maine,1906,-12.9,-16.0,-13.6,-3.8,2.9,8.3,11.9,11.0,6.0,0.7,-3.9,-16.6,8.8,3.2,7.6,25.2,37.3,47.0,53.5,51.8,42.8,33.3,24.9,2.1
Maine,1907,-20.5,-21.1,-12.1,-3.8,1.4,7.6,12.3,10.3,6.8,-1.1,-5.1,-10.1,-4.9,-6.0,10.3,25.1,34.5,45.7,54.1,50.6,44.2,30.0,22.8,13.8
Maine,1908,-15.4,-17.9,-11.0,-4.7,4.0,8.9,12.3,10.0,6.9,1.2,-4.9,-15.9,4.2,-0.3,12.2,23.6,39.2,48.1,54.2,50.0,44.5,34.2,23.1,3.4
Maine,1909,-16.8,-16.6,-10.3,-3.3,3.7,8.2,10.7,9.1,6.4,2.5,-3.2,-10.7,1.7,2.2,13.5,26.0,38.7,46.8,51.3,48.4,43.6,36.5,26.3,12.7
