state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Massachusetts,1895,-10.6,-13.8,-5.4,0.6,7.4,13.2,13.2,13.6,10.1,0.9,-0.5,-5.9,13.0,7.2,22.3,33.0,45.3,55.7,55.8,56.5,50.2,33.7,31.1,21.4
Massachusetts,1896,-11.0,-8.9,-7.1,1.3,8.3,11.1,15.6,14.2,9.5,3.2,0.4,-8.8,12.2,16.0,19.2,34.4,47.0,52.0,60.1,57.6,49.1,37.8,32.7,16.2
Massachusetts,1897,-9.5,-8.6,-4.6,1.1,7.3,9.9,16.1,13.1,8.7,3.1,-2.0,-5.7,14.9,16.5,23.8,34.0,45.2,49.8,60.9,55.6,47.6,37.6,28.4,21.7
Massachusetts,1898,-9.7,-7.9,-1.7,0.1,7.0,12.2,15.1,15.2,10.6,5.2,-1.7,-7.6,14.5,17.7,29.0,32.1,44.6,54.0,59.2,59.4,51.1,41.4,29.0,18.3
Massachusetts,1899,-10.1,-10.4,-5.2,0.2,6.6,12.7,14.7,13.2,8.9,5.2,-2.0,-5.4,13.8,13.2,22.6,32.4,43.8,54.8,58.5,55.7,48.1,41.4,28.4,22.3
Massachusetts,1900,-9.7,-9.6,-7.4,0.9,4.8,11.8,14.9,14.3,10.7,7.0,-0.2,-7.3,14.6,14.8,18.7,33.6,40.6,53.2,58.9,57.8,51.2,44.6,31.6,18.8
Massachusetts,1901,-9.7,-12.4,-4.6,1.9,6.6,11.7,16.1,14.6,10.2,3.3,-4.2,-7.9,14.5,9.7,23.8,35.5,43.8,53.1,60.9,58.2,50.4,37.9,24.4,17.8
Massachusetts,1902,-10.7,-9.3,-0.9,1.7,6.2,10.1,13.4,11.8,9.9,4.1,-0.2,-9.9,12.8,15.2,30.4,35.0,43.2,50.2,56.1,53.3,49.9,39.4,31.7,14.2
Massachusetts,1903,-9.2,-8.1,-0.4,1.1,6.6,9.5,14.1,10.8,9.3,4.6,-3.8,-10.3,15.5,17.5,31.3,34.0,43.9,49.1,57.4,51.5,48.8,40.3,25.1,13.5
Massachusetts,1904,-14.4,-13.9,-5.9,-0.2,8.3,10.5,14.6,12.4,9.1,1.9,-4.6,-11.7,6.0,7.0,21.4,31.6,46.9,50.9,58.3,54.4,48.3,35.4,23.7,11.0
Massachusetts,1905,-11.4,-13.7,-5.8,0.5,6.6,10.6,15.3,12.6,9.3,3.3,-3.4,-6.1,11.4,7.3,21.6,32.9,43.8,51.1,59.5,54.6,48.8,38.0,25.8,21.0
