state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Michigan,1895,-15.4,-16.9,-11.4,-0.1,5.3,10.8,10.8,11.7,9.6,-1.3,-5.6,-8.9,4.2,1.6,11.4,31.9,41.6,51.5,51.5,53.1,49.2,29.6,21.9,15.9
Michigan,1896,-11.0,-11.9,-10.4,1.9,9.0,10.8,12.9,12.3,6.6,-0.3,-4.2,-8.1,12.2,10.6,13.2,35.5,48.2,51.4,55.2,54.1,43.9,31.5,24.4,17.4
Michigan,1897,-12.2,-10.7,-8.4,-1.1,3.9,8.8,14.8,10.4,8.9,3.7,-4.3,-10.3,10.1,12.8,16.8,30.0,39.0,47.8,58.6,50.7,48.0,38.7,24.2,13.5
Michigan,1898,-10.4,-11.8,-5.5,-1.7,5.2,10.7,12.6,12.1,9.7,3.3,-4.4,-10.7,13.2,10.8,22.1,29.0,41.4,51.2,54.6,53.8,49.4,37.9,24.0,12.8
Michigan,1899,-13.8,-17.9,-11.6,0.2,5.9,10.9,12.7,12.3,6.5,3.7,-0.9,-8.8,7.1,-0.2,11.2,32.4,42.6,51.7,54.9,54.1,43.7,38.6,30.3,16.1
Michigan,1900,-9.8,-16.1,-11.7,0.3,5.8,9.8,12.4,14.8,10.0,6.3,-3.8,-8.2,14.3,3.0,11.0,32.6,42.4,49.6,54.4,58.7,50.0,43.3,25.1,17.2
Michigan,1901,-12.2,-16.3,-8.6,-0.3,5.2,11.2,15.2,12.3,8.4,2.4,-4.6,-10.8,10.1,2.6,16.6,31.5,41.3,52.1,59.4,54.2,47.2,36.3,23.8,12.6
Michigan,1902,-11.8,-13.6,-4.2,-0.6,5.4,8.7,13.8,10.3,7.9,2.0,0.1,-9.5,10.7,7.6,24.5,31.0,41.8,47.7,56.8,50.5,46.2,35.6,32.1,14.9
Michigan,1903,-12.1,-12.7,-3.3,-0.5,6.0,8.4,12.9,10.6,8.1,2.7,-5.6,-12.8,10.2,9.1,26.1,31.1,42.8,47.1,55.2,51.0,46.6,36.8,21.9,8.9
Michigan,1904,-16.8,-20.6,-8.2,-3.0,5.1,10.3,11.9,9.8,7.9,1.8,-3.2,-11.7,1.8,-5.0,17.2,26.6,41.1,50.5,53.4,49.6,46.2,35.3,26.2,10.9
Michigan,1905,-14.6,-16.9,-7.7,-1.4,4.4,10.0,12.8,12.5,9.2,2.2,-4.2,-7.3,5.7,1.6,18.1,29.5,40.0,50.0,55.1,54.5,48.5,35.9,24.4,18.8
Michigan,1906,-7.7,-13.6,-10.6,0.2,4.7,11.0,12.2,14.0,10.4,2.2,-2.7,-9.6,18.1,7.6,12.9,32.3,40.5,51.8,54.0,57.2,50.8,35.9,27.2,14.8
Michigan,1907,-12.6,-15.0,-5.7,-4.3,1.2,9.7,12.4,10.5,9.1,0.2,-3.8,-8.1,9.3,5.0,21.7,24.2,34.2,49.4,54.4,50.9,48.4,32.4,25.2,17.5
Michigan,1908,-11.2,-13.4,-7.3,-0.8,6.3,10.5,13.4,11.3,9.9,3.2,-3.1,-9.5,11.9,7.8,18.9,30.5,43.3,50.9,56.2,52.4,49.9,37.8,26.5,14.9
Michigan,1909,-10.8,-10.4,-7.6,-2.5,4.1,10.6,12.1,13.1,7.4,0.7,-0.9,-10.2,12.6,13.2,18.3,27.5,39.3,51.1,53.8,55.6,45.3,33.2,30.3,13.7
Michigan,1910,-11.9,-14.6,-2.9,0.9,2.9,9.9,13.1,11.6,7.4,3.5,-3.7,-11.4,10.5,5.8,26.8,33.7,37.2,49.8,55.5,52.8,45.4,38.3,25.3,11.4
Michigan,1911,-11.8,-9.7,-7.3,-1.1,7.7,12.0,13.4,11.7,8.1,2.3,-5.3,-5.8,10.8,14.5,18.9,30.0,45.9,53.6,56.2,53.1,46.6,36.2,22.4,21.5
Michigan,1912,-20.0,-16.3,-12.9,-0.9,5.7,8.8,13.0,11.0,9.7,3.0,-2.7,-7.4,-4.0,2.7,8.7,30.4,42.2,47.9,55.4,51.8,49.4,37.4,27.2,18.6
Michigan,1913,-10.4,-15.2,-9.4,-0.2,4.7,10.6,12.7,12.9,7.9,3.4,-1.1,-5.4,13.2,4.6,15.0,31.6,40.5,51.0,54.9,55.3,46.2,38.1,30.0,22.3
Michigan,1914,-9.2,-18.1,-8.5,-1.7,6.0,10.1,13.3,12.1,8.1,5.2,-3.8,-11.2,15.4,-0.5,16.7,28.9,42.8,50.2,56.0,53.7,46.6,41.3,25.1,11.8
Michigan,1915,-13.1,-8.7,-8.3,2.4,3.6,7.9,11.8,10.1,9.1,3.2,-2.1,-9.3,8.4,16.4,17.1,36.3,38.4,46.3,53.2,50.1,48.4,37.7,28.3,15.3
Michigan,1916,-10.4,-14.3,-11.5,-0.3,5.2,8.7,15.6,13.2,7.9,1.8,-3.4,-11.7,13.2,6.3,11.3,31.4,41.3,47.6,60.0,55.7,46.3,35.2,25.8,10.9
Michigan,1917,-14.4,-18.2,-7.4,-1.8,2.2,8.3,13.5,10.8,6.6,-0.6,-4.3,-13.4,6.1,-0.8,18.6,28.7,35.9,47.0,56.3,51.4,43.9,31.0,24.2,7.9
Michigan,1918,-18.8,-15.2,-6.3,-2.2,6.5,9.2,12.0,13.0,5.0,3.5,-0.9,-5.4,-1.8,4.7,20.7,28.1,43.7,48.6,53.6,55.4,41.0,38.3,30.4,22.2
Michigan,1919,-8.4,-9.6,-6.3,-0.2,4.6,14.2,13.9,12.0,9.5,3.6,-4.2,-13.4,16.8,14.7,20.7,31.6,40.2,57.6,57.0,53.6,49.1,38.4,24.5,7.8
Michigan,1920,-17.4,-14.8,-7.2,-2.7,3.6,10.9,11.4,11.3,9.3,6.2,-2.9,-6.0,0.6,5.3,19.0,27.2,38.5,51.6,52.6,52.4,48.7,43.1,26.8,21.2
Michigan,1921,-8.6,-9.2,-4.2,2.4,6.9,12.8,16.7,12.4,11.4,3.5,-3.8,-8.1,16.5,15.4,24.5,36.4,44.5,55.1,62.1,54.4,52.5,38.3,25.1,17.5
Michigan,1922,-13.8,-12.2,-6.4,-0.2,8.1,10.7,12.4,11.9,9.5,3.0,-0.6,-10.1,7.1,10.0,20.5,31.6,46.5,51.2,54.4,53.5,49.1,37.4,31.0,13.8
Michigan,1923,-11.6,-16.2,-11.3,-2.9,2.9,11.8,12.7,10.3,8.6,1.2,-2.5,-4.1,11.1,2.9,11.6,26.8,37.2,53.2,54.9,50.5,47.5,34.1,27.5,24.7
Michigan,1924,-15.2,-13.0,-7.3,-1.2,2.2,8.8,11.2,11.2,6.1,3.3,-3.3,-12.4,4.6,8.6,18.9,29.8,35.9,47.9,52.2,52.1,42.9,38.0,26.0,9.6
