state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Minnesota,1895,-24.0,-21.4,-11.9,1.4,5.6,10.6,11.8,10.9,7.8,-2.8,-9.1,-15.3,-11.2,-6.6,10.6,34.5,42.1,51.0,53.3,51.7,46.0,27.0,15.6,4.5
Minnesota,1896,-18.9,-16.1,-14.2,-0.3,8.7,11.4,12.7,11.0,5.0,-1.6,-14.1,-13.5,-2.1,3.0,6.4,31.5,47.7,52.5,54.8,51.8,41.0,29.2,6.6,7.7
Minnesota,1897,-21.8,-17.2,-13.8,-0.8,4.1,9.4,15.2,10.4,9.8,2.5,-10.4,-18.4,-7.3,1.1,7.2,30.6,39.4,48.9,59.4,50.8,49.7,36.5,13.2,-1.2
Minnesota,1898,-15.9,-17.3,-8.9,-2.1,5.1,11.2,12.9,11.2,7.3,-0.4,-10.0,-19.3,3.4,0.8,15.9,28.3,41.1,52.2,55.2,52.1,45.1,31.3,14.0,-2.7
Minnesota,1899,-21.2,-23.3,-18.3,-1.8,5.2,11.2,13.2,13.1,5.4,1.8,-2.6,-14.9,-6.2,-10.0,-0.9,28.8,41.3,52.2,55.8,55.5,41.7,35.2,27.3,5.2
Minnesota,1900,-15.4,-23.0,-12.2,1.3,5.8,10.5,12.3,15.7,7.8,5.7,-9.7,-13.8,4.3,-9.4,10.1,34.4,42.4,50.9,54.2,60.2,46.0,42.2,14.6,7.1
Minnesota,1901,-19.2,-20.2,-9.7,0.3,6.2,11.2,16.1,12.5,6.4,1.4,-9.1,-17.1,-2.5,-4.4,14.5,32.6,43.2,52.2,61.0,54.5,43.5,34.5,15.6,1.2
Minnesota,1902,-16.9,-16.9,-6.4,-2.3,7.3,8.8,13.6,11.1,5.2,0.5,-4.7,-17.6,1.6,1.6,20.4,27.8,45.1,47.9,56.4,52.0,41.3,32.9,23.5,0.3
Minnesota,1903,-19.3,-20.3,-7.9,-1.1,6.3,8.8,12.2,10.3,5.5,1.1,-9.8,-20.5,-2.7,-4.5,17.7,30.1,43.3,47.8,54.0,50.6,41.9,34.0,14.3,-4.9
Minnesota,1904,-22.8,-24.9,-11.1,-2.8,4.9,10.4,11.7,10.5,6.7,2.3,-4.7,-15.7,-9.0,-12.9,12.1,26.9,40.9,50.8,53.0,50.9,44.1,36.1,23.6,3.7
Minnesota,1905,-23.4,-20.8,-6.3,-2.2,3.8,10.3,12.7,13.1,9.2,-0.2,-6.2,-13.6,-10.2,-5.5,20.7,28.0,38.8,50.5,54.9,55.6,48.6,31.7,20.8,7.5
Minnesota,1906,-16.2,-19.2,-13.2,1.1,4.8,10.9,12.6,12.9,9.9,0.7,-5.9,-16.4,2.8,-2.5,8.2,34.0,40.6,51.6,54.7,55.3,49.9,33.2,21.3,2.5
Minnesota,1907,-24.1,-17.7,-9.9,-5.3,0.0,10.4,12.7,11.4,6.3,-0.6,-6.5,-13.0,-11.3,0.2,14.2,22.4,32.0,50.7,54.9,52.5,43.3,31.0,20.3,8.6
Minnesota,1908,-16.8,-14.8,-10.7,-0.6,4.9,10.8,13.4,10.8,9.5,1.9,-5.1,-15.2,1.8,5.4,12.8,30.9,40.8,51.4,56.2,51.5,49.1,35.4,22.8,4.7
Minnesota,1909,-19.7,-17.9,-9.7,-4.6,3.9,11.2,13.5,14.3,7.1,0.6,-5.7,-17.7,-3.5,-0.2,14.6,23.8,39.1,52.2,56.3,57.8,44.8,33.1,21.7,0.2
Minnesota,1910,-18.1,-21.6,-3.2,0.2,2.7,11.4,12.9,10.7,6.9,2.3,-8.9,-16.9,-0.5,-6.9,26.3,32.4,36.9,52.6,55.2,51.2,44.4,36.1,15.9,1.6
Minnesota,1911,-23.2,-16.2,-7.8,-1.4,6.6,13.2,12.2,10.6,6.6,0.3,-13.1,-12.4,-9.8,2.8,18.0,29.4,43.8,55.7,53.9,51.0,43.9,32.5,8.4,9.6
Minnesota,1912,-28.8,-18.8,-14.4,-0.9,5.8,9.0,13.4,10.9,6.9,0.6,-5.6,-13.8,-19.8,-1.9,6.0,30.4,42.4,48.2,56.2,51.6,44.4,33.0,22.0,7.2
Minnesota,1913,-21.8,-20.8,-14.1,0.2,4.0,11.7,12.3,13.2,7.2,-1.2,-3.5,-9.8,-7.3,-5.5,6.6,32.4,39.2,53.1,54.1,55.7,45.0,29.9,25.7,14.4
Minnesota,1914,-15.3,-24.4,-9.8,-2.2,6.5,11.2,14.8,11.3,7.8,3.7,-6.4,-19.4,4.4,-12.0,14.3,28.1,43.7,52.2,58.6,52.3,46.1,38.7,20.5,-3.0
Minnesota,1915,-20.1,-11.9,-9.8,3.5,3.9,8.2,11.3,9.7,7.5,1.7,-5.9,-13.3,-4.2,10.5,14.3,38.3,39.0,46.7,52.4,49.4,45.5,35.0,21.3,8.1
Minnesota,1916,-23.7,-21.3,-12.6,-1.7,4.7,9.2,17.2,12.8,6.4,-0.5,-7.4,-20.9,-10.6,-6.4,9.4,28.9,40.4,48.5,63.0,55.0,43.5,31.1,18.7,-5.6
Minnesota,1917,-24.2,-24.7,-10.7,-2.3,2.3,8.2,14.1,10.2,6.9,-3.7,-3.9,-21.9,-11.5,-12.4,12.7,27.8,36.2,46.8,57.3,50.4,44.4,25.4,24.9,-7.5
Minnesota,1918,-24.3,-18.8,-5.9,-2.8,5.4,10.8,12.4,12.5,3.1,1.8,-4.1,-10.8,-11.8,-1.8,21.4,26.9,41.7,51.4,54.4,54.5,37.6,35.3,24.6,12.5
Minnesota,1919,-14.1,-16.7,-10.2,-0.2,5.6,13.7,14.7,11.8,8.6,-2.3,-11.2,-19.9,6.6,1.9,13.6,31.6,42.0,56.7,58.4,53.3,47.4,27.8,11.9,-3.8
Minnesota,1920,-22.6,-17.4,-9.8,-5.0,5.0,11.2,12.4,11.0,9.2,3.9,-6.6,-12.2,-8.6,0.6,14.4,23.0,41.0,52.2,54.4,51.8,48.5,39.0,20.1,10.1
Minnesota,1921,-14.9,-13.4,-9.1,0.4,6.2,13.9,15.9,11.8,8.8,1.9,-10.3,-14.5,5.2,7.9,15.6,32.8,43.1,57.0,60.6,53.3,47.8,35.4,13.5,5.9
Minnesota,1922,-19.8,-21.3,-8.2,-0.6,8.4,11.8,12.2,13.0,8.7,1.8,-2.2,-17.6,-3.6,-6.3,17.3,30.9,47.2,53.3,54.0,55.4,47.6,35.3,28.0,0.4
Minnesota,1923,-18.2,-22.2,-15.7,-2.6,5.0,12.7,15.2,10.0,8.3,0.2,-4.3,-10.6,-0.7,-8.0,3.7,27.4,41.0,54.8,59.4,50.0,46.9,32.3,24.3,13.0
Minnesota,1924,-24.0,-14.7,-8.9,-1.6,1.3,8.8,11.4,11.0,5.8,3.8,-7.8,-21.8,-11.2,5.6,15.9,29.2,34.3,47.9,52.6,51.8,42.4,38.8,17.9,-7.3
Minnesota,1925,-19.9,-15.2,-8.3,1.5,2.8,10.9,12.3,12.6,9.1,-3.7,-8.0,-16.1,-3.9,4.6,17.0,34.7,37.1,51.6,54.2,54.6,48.3,25.3,17.6,3.1
Minnesota,1926,-17.8,-13.4,-11.8,-3.8,6.2,8.6,13.1,12.1,6.3,-0.1,-10.1,-18.4,0.0,7.8,10.7,25.2,43.2,47.4,55.5,53.7,43.3,31.9,13.8,-1.2
Minnesota,1927,-19.2,-14.9,-6.3,-0.3,4.4,9.8,11.9,9.2,8.9,1.5,-9.1,-22.2,-2.6,5.1,20.6,31.5,39.9,49.7,53.4,48.6,48.0,34.7,15.6,-7.9
Minnesota,1928,-17.4,-14.7,-9.9,-4.5,5.9,8.4,13.4,12.0,5.8,1.2,-4.9,-11.4,0.7,5.6,14.2,23.9,42.6,47.1,56.2,53.6,42.4,34.2,23.1,11.5
Minnesota,1929,-26.7,-22.0,-7.2,-0.8,2.9,9.1,13.2,11.5,6.3,1.1,-9.6,-16.2,-16.0,-7.6,19.0,30.6,37.2,48.3,55.8,52.7,43.3,34.0,14.8,2.8
Minnesota,1930,-24.3,-11.6,-9.6,-0.6,5.6,11.2,14.1,12.6,6.6,0.8,-6.5,-12.9,-11.7,11.2,14.8,31.0,42.0,52.1,57.4,54.7,43.8,33.4,20.3,8.8
Minnesota,1931,-13.1,-9.7,-8.4,-0.8,4.1,13.3,14.3,12.1,10.2,3.7,-4.1,-9.2,8.5,14.5,16.9,30.5,39.4,56.0,57.8,53.7,50.4,38.6,24.7,15.4
Minnesota,1932,-15.8,-17.1,-13.8,-0.9,6.0,12.8,13.7,12.6,5.9,-0.3,-9.6,-17.7,3.5,1.3,7.1,30.4,42.8,55.0,56.6,54.6,42.7,31.4,14.8,0.1
Minnesota,1933,-15.8,-20.4,-9.4,-1.7,6.1,13.9,14.6,11.2,9.6,-1.3,-9.3,-19.0,3.5,-4.8,15.1,29.0,42.9,57.1,58.2,52.2,49.2,29.6,15.2,-2.2
Minnesota,1934,-15.7,-17.6,-11.8,-1.2,8.2,11.9,13.6,10.7,5.6,3.2,-3.8,-17.6,3.8,0.3,10.7,29.8,46.8,53.5,56.5,51.3,42.1,37.7,25.2,0.3
Minnesota,1935,-22.1,-11.3,-8.0,-1.8,3.8,9.4,16.8,13.1,6.4,-0.1,-10.8,-15.4,-7.7,11.6,17.6,28.7,38.8,49.0,62.3,55.6,43.6,31.8,12.5,4.2
Minnesota,1936,-25.3,-28.0,-9.1,-4.6,7.7,9.8,16.1,13.6,8.9,-1.9,-9.4,-14.6,-13.5,-18.4,15.6,23.7,45.8,49.7,60.9,56.4,48.0,28.6,15.1,5.7
Minnesota,1937,-26.2,-19.8,-12.0,-1.1,6.5,10.4,14.6,15.4,7.4,-0.3,-8.2,-17.7,-15.2,-3.6,10.4,30.1,43.7,50.8,58.3,59.7,45.4,31.4,17.3,0.1
Minnesota,1938,-19.7,-15.7,-5.9,-1.2,5.4,11.1,14.3,14.0,8.0,3.6,-8.8,-14.3,-3.4,3.7,21.4,29.8,41.7,52.0,57.7,57.2,46.4,38.4,16.1,6.3
Minnesota,1939,-16.2,-23.3,-11.7,-2.9,7.2,11.7,14.3,12.7,7.9,0.2,-5.7,-9.7,2.8,-9.9,10.9,26.7,44.9,53.0,57.7,54.9,46.2,32.4,21.7,14.6
