state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Mississippi,1895,0.3,-2.6,6.4,11.2,15.1,20.0,21.4,21.1,19.3,6.9,5.1,1.3,32.6,27.3,43.6,52.1,59.1,68.0,70.6,69.9,66.7,44.5,41.1,34.4
Mississippi,1896,1.4,3.0,5.8,13.9,18.7,19.6,22.0,21.3,16.3,10.1,7.4,1.9,34.6,37.4,42.5,57.1,65.7,67.3,71.6,70.4,61.4,50.2,45.3,35.4
Mississippi,1897,-0.2,4.9,10.8,11.0,13.9,20.3,21.6,20.7,17.3,12.2,5.6,2.8,31.7,40.9,51.4,51.8,57.0,68.5,70.8,69.2,63.2,54.0,42.1,37.1
Mississippi,1898,4.4,2.7,9.0,8.9,16.5,20.6,21.1,21.2,19.0,9.7,3.8,-0.2,39.9,36.9,48.2,48.0,61.7,69.1,70.0,70.1,66.2,49.5,38.9,31.7
Mississippi,1899,1.3,-2.7,6.7,10.9,18.3,19.9,21.1,21.8,14.9,12.3,6.2,1.1,34.3,27.1,44.1,51.7,65.0,67.9,69.9,71.3,58.9,54.1,43.2,34.0
Mississippi,1900,1.2,0.7,5.7,11.4,15.4,20.3,21.4,21.2,19.8,14.3,6.1,2.3,34.1,33.2,42.3,52.6,59.8,68.6,70.5,70.1,67.6,57.7,42.9,36.1
Mississippi,1901,2.1,1.1,5.6,8.3,14.1,19.9,21.6,20.8,16.6,9.7,2.8,-0.4,35.7,33.9,42.0,46.9,57.4,67.8,70.9,69.5,61.8,49.5,37.0,31.2
Mississippi,1902,-0.4,-0.5,7.6,10.8,18.0,20.1,21.2,21.6,16.8,10.7,9.2,2.2,31.3,31.1,45.7,51.5,64.4,68.2,70.1,70.9,62.2,51.3,48.5,36.0
Mississippi,1903,1.2,2.8,9.9,9.9,15.5,16.9,20.9,21.2,15.1,9.7,3.3,-1.4,34.2,37.0,49.8,49.9,59.9,62.4,69.6,70.2,59.2,49.5,37.9,29.4
Mississippi,1904,-1.1,4.0,8.8,9.6,13.9,18.9,19.9,20.3,18.2,10.0,3.7,1.7,30.0,39.2,47.8,49.2,57.0,66.1,67.9,68.6,64.8,50.0,38.7,35.0
Mississippi,1905,-1.7,-1.9,8.8,11.8,18.1,20.4,20.6,21.3,18.1,11.8,6.9,0.2,28.9,28.6,47.9,53.2,64.6,68.7,69.0,70.4,64.6,53.3,44.5,32.4
Mississippi,1906,1.6,0.1,4.7,11.5,14.7,19.7,20.6,20.6,19.9,9.7,5.8,4.7,34.8,32.2,40.5,52.7,58.4,67.5,69.1,69.1,67.9,49.5,42.4,40.4
