state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Missouri,1895,-10.3,-11.0,-1.0,7.4,11.5,16.6,18.1,17.8,15.3,2.7,-0.9,-4.1,13.4,12.2,30.2,45.3,52.7,61.8,64.5,64.1,59.6,36.9,30.4,24.7
Missouri,1896,-5.1,-3.9,-2.3,10.0,14.7,16.6,19.1,18.2,11.9,5.1,-0.7,-2.3,22.9,25.0,27.9,50.0,58.4,61.8,66.4,64.7,53.5,41.1,30.7,27.8
Missouri,1897,-7.4,-3.3,1.1,6.2,9.7,16.9,19.6,16.3,14.6,8.7,-0.9,-6.7,18.7,26.0,33.9,43.2,49.5,62.4,67.3,61.4,58.2,47.6,30.4,20.0
Missouri,1898,-3.7,-4.3,0.7,4.9,12.4,18.3,18.7,18.1,15.6,6.1,-2.0,-7.6,25.3,24.2,33.2,40.9,54.4,64.9,65.6,64.6,60.0,43.0,28.4,18.3
Missouri,1899,-6.8,-12.8,-3.4,5.8,13.3,17.3,17.8,19.2,11.7,8.9,3.2,-6.8,19.7,9.0,25.8,42.5,55.9,63.1,64.1,66.6,53.1,48.1,37.8,19.7
Missouri,1900,-4.6,-9.4,-2.0,6.7,12.2,16.7,18.7,19.7,15.6,9.8,-0.1,-3.8,23.7,15.1,28.4,44.0,54.0,62.0,65.7,67.5,60.1,49.6,31.8,25.2
Missouri,1901,-4.8,-7.8,-0.2,4.9,10.3,17.6,21.2,17.8,12.8,7.6,-1.2,-7.5,23.4,18.0,31.7,40.9,50.5,63.6,70.1,64.1,55.0,45.7,29.9,18.5
Missouri,1902,-7.0,-10.3,1.4,4.9,14.5,15.9,18.9,17.7,10.6,7.8,4.6,-5.3,19.4,13.4,34.6,40.9,58.1,60.6,66.1,63.9,51.0,46.0,40.3,22.5
Missouri,1903,-5.8,-6.9,1.8,6.1,12.8,13.3,19.0,17.4,11.8,6.8,-1.3,-7.3,21.6,19.6,35.3,43.0,55.1,56.0,66.2,63.3,53.2,44.3,29.7,18.8
Missouri,1904,-8.8,-6.7,0.3,2.8,11.1,15.8,17.3,16.5,14.3,6.5,-0.2,-5.4,16.1,19.9,32.6,37.1,52.0,60.4,63.2,61.7,57.7,43.7,31.6,22.3
