state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Montana,1895,-18.3,-16.0,-8.4,-1.2,2.1,5.2,9.1,7.7,2.9,-2.2,-8.7,-12.3,-1.0,3.2,16.8,29.9,35.7,41.4,48.4,45.8,37.2,28.0,16.3,9.8
Montana,1896,-14.9,-9.3,-10.7,-3.4,2.2,7.4,10.9,8.3,2.8,-1.9,-15.3,-6.1,5.2,15.3,12.8,25.9,35.9,45.3,51.6,46.9,37.0,28.6,4.4,21.0
Montana,1897,-14.6,-14.0,-14.8,-0.6,5.3,7.6,9.3,9.6,5.6,-1.0,-10.5,-11.7,5.7,6.8,5.4,30.9,41.6,45.6,48.7,49.2,42.0,30.2,13.1,11.0
Montana,1898,-12.1,-9.6,-12.1,-1.3,3.4,7.7,9.9,10.5,4.2,-2.4,-8.6,-12.6,10.2,14.7,10.3,29.7,38.1,45.8,49.8,50.9,39.5,27.6,16.5,9.3
Montana,1899,-13.2,-19.6,-14.2,-3.2,1.5,6.6,10.0,8.2,4.8,-1.4,-3.1,-11.2,8.2,-3.2,6.4,26.2,34.7,43.9,50.0,46.8,40.7,29.4,26.4,11.9
Montana,1900,-8.7,-14.3,-6.1,0.8,4.9,9.7,9.5,8.9,4.7,0.2,-9.3,-7.2,16.3,6.2,21.0,33.5,40.8,49.5,49.1,48.0,40.5,32.4,15.2,19.1
Montana,1901,-12.9,-14.3,-6.4,-2.0,6.0,5.4,11.4,10.4,3.5,0.6,-5.0,-9.6,8.7,6.2,20.5,28.4,42.8,41.8,52.5,50.8,38.3,33.1,23.0,14.8
Montana,1902,-12.7,-11.3,-7.2,-2.8,4.3,5.8,8.7,8.4,2.4,-0.7,-7.3,-13.9,9.1,11.7,19.1,27.0,39.8,42.4,47.7,47.1,36.4,30.7,18.9,7.0
Montana,1903,-10.7,-16.2,-10.4,-2.6,1.6,8.1,9.0,9.1,3.8,-0.1,-8.5,-8.4,12.8,2.8,13.3,27.4,34.9,46.6,48.2,48.4,38.8,31.8,16.7,16.8
Montana,1904,-11.7,-17.2,-11.3,-1.6,3.1,6.3,9.8,8.6,4.0,-0.1,-4.1,-9.7,11.0,1.0,11.6,29.2,37.6,43.3,49.6,47.5,39.2,31.8,24.6,14.5
Montana,1905,-14.6,-16.7,-3.7,-2.3,2.1,6.7,10.4,10.4,6.0,-2.3,-6.1,-10.0,5.8,2.0,25.4,27.8,35.7,44.0,50.8,50.7,42.8,27.8,21.1,14.0
Montana,1906,-11.0,-9.8,-11.4,-0.1,3.3,6.8,10.5,9.7,5.7,0.3,-7.6,-11.2,12.2,14.4,11.5,31.9,37.9,44.2,50.9,49.4,42.3,32.6,18.4,11.8
Montana,1907,-21.6,-11.2,-7.2,-3.7,1.2,6.7,9.4,7.9,4.1,-0.1,-5.6,-9.7,-6.9,11.9,19.1,25.3,34.1,44.1,49.0,46.2,39.4,31.9,22.0,14.6
Montana,1908,-11.0,-11.4,-8.1,-1.0,3.2,6.3,10.6,8.5,5.6,-0.7,-5.6,-10.5,12.2,11.4,17.4,30.2,37.7,43.4,51.0,47.3,42.0,30.7,21.9,13.1
Montana,1909,-17.6,-11.2,-7.2,-5.1,1.8,8.3,10.7,9.6,6.0,-1.0,-6.1,-15.8,0.4,11.8,19.0,22.8,35.3,46.9,51.3,49.3,42.8,30.2,21.1,3.6
Montana,1910,-12.7,-17.1,-1.9,1.2,3.0,7.7,11.1,7.2,4.6,1.0,-5.8,-10.1,9.2,1.2,28.6,34.1,37.4,45.8,52.0,45.0,40.3,33.8,21.6,13.9
Montana,1911,-16.6,-16.6,-4.6,-2.7,2.7,9.1,8.4,7.8,4.3,-1.7,-10.9,-11.6,2.2,2.2,23.7,27.2,36.8,48.4,47.1,46.0,39.7,28.9,12.4,11.1
Montana,1912,-15.6,-9.9,-14.5,-0.7,3.2,7.7,9.1,8.7,2.0,-1.6,-4.2,-8.8,3.9,14.1,5.9,30.7,37.7,45.8,48.4,47.7,35.6,29.2,24.5,16.2
Montana,1913,-16.9,-15.7,-11.1,-1.4,2.9,8.9,9.2,9.8,4.1,-2.2,-4.7,-11.0,1.6,3.7,12.1,29.5,37.3,48.0,48.6,49.6,39.4,28.1,23.6,12.2
Montana,1914,-10.2,-14.8,-6.3,-1.1,3.1,7.2,11.2,8.3,4.4,0.4,-4.3,-15.7,13.6,5.4,20.6,30.1,37.5,45.0,52.1,46.9,40.0,32.8,24.2,3.8
Montana,1915,-14.0,-9.8,-7.7,2.1,3.4,5.4,8.4,10.3,3.9,0.6,-6.1,-10.3,6.8,14.4,18.2,35.8,38.1,41.8,47.2,50.5,39.0,33.1,21.1,13.5
Montana,1916,-25.7,-13.2,-5.7,-1.9,1.1,6.0,11.1,8.4,3.7,-2.4,-8.2,-17.3,-14.2,8.2,21.8,28.6,33.9,42.8,51.9,47.2,38.6,27.6,17.3,0.9
Montana,1917,-15.8,-16.2,-12.1,-2.9,1.8,5.8,11.6,8.4,5.1,-2.0,-3.3,-13.8,3.6,2.9,10.2,26.8,35.3,42.4,52.9,47.1,41.1,28.4,26.1,7.2
Montana,1918,-15.2,-13.4,-4.6,-2.7,1.9,9.2,10.4,9.2,4.4,1.4,-7.6,-8.4,4.6,7.8,23.8,27.2,35.5,48.6,50.7,48.6,40.0,34.6,18.3,16.8
Montana,1919,-7.8,-13.8,-10.6,-0.6,3.7,8.9,11.5,10.4,5.6,-5.5,-10.7,-14.9,17.9,7.1,13.0,30.9,38.6,48.1,52.7,50.7,42.0,22.1,12.7,5.1
Montana,1920,-13.2,-10.8,-8.4,-4.0,2.8,6.7,11.4,10.1,5.2,-0.2,-7.4,-10.1,8.3,12.6,16.8,24.8,37.1,44.1,52.6,50.1,41.3,31.7,18.7,13.8
Montana,1921,-9.9,-8.8,-7.1,-2.3,3.7,9.7,10.8,9.6,3.3,0.2,-8.1,-11.9,14.2,16.2,19.2,27.8,38.7,49.5,51.5,49.3,37.9,32.4,17.4,10.6
Montana,1922,-16.1,-20.3,-8.6,-1.9,3.5,9.0,9.8,11.1,5.9,-0.2,-7.0,-15.3,3.1,-4.5,16.6,28.5,38.3,48.2,49.6,52.0,42.6,31.6,19.4,4.5
Montana,1923,-10.4,-16.1,-8.6,-2.7,3.0,8.2,12.8,9.3,5.2,-1.3,-4.4,-10.7,13.3,3.0,16.6,27.2,37.4,46.8,55.0,48.7,41.4,29.6,24.0,12.8
Montana,1924,-16.6,-7.0,-7.7,-2.0,1.9,6.1,9.6,7.8,3.8,0.3,-6.9,-17.3,2.2,19.4,18.1,28.4,35.5,42.9,49.3,46.1,38.8,32.6,19.6,0.8
Montana,1925,-12.1,-7.9,-6.3,0.7,3.5,7.8,10.8,8.7,5.4,-4.8,-6.1,-7.4,10.2,17.7,20.7,33.2,38.3,46.0,51.5,47.7,41.8,23.4,21.1,18.7
Montana,1926,-9.8,-5.9,-6.1,-1.6,4.6,7.1,11.1,9.3,1.7,0.6,-6.6,-12.6,14.3,21.3,21.0,29.2,40.2,44.8,52.0,48.7,35.1,33.0,20.2,9.4
Montana,1927,-13.7,-11.8,-6.3,-2.3,2.1,7.8,9.9,8.4,4.6,0.9,-8.1,-19.6,7.3,10.7,20.6,27.9,35.8,46.0,49.9,47.2,40.3,33.6,17.5,-3.3
Montana,1928,-11.7,-11.5,-5.4,-3.3,4.7,6.1,10.8,7.8,3.2,-1.5,-6.7,-11.2,10.9,11.3,22.2,26.0,40.4,42.9,51.5,46.0,37.7,29.3,20.0,11.8
Montana,1929,-20.8,-18.3,-5.4,-3.4,1.1,6.7,10.4,10.6,2.7,-0.2,-7.9,-11.8,-5.4,-1.0,22.2,25.9,34.0,44.0,50.7,51.0,36.9,31.6,17.8,10.7
Montana,1930,-22.2,-6.1,-7.9,1.4,2.7,6.7,11.7,11.7,5.1,-2.1,-7.5,-8.6,-8.0,21.0,17.8,34.6,36.9,44.1,53.0,53.0,41.2,28.2,18.5,16.5
Montana,1931,-8.3,-6.9,-6.9,-2.1,2.8,9.4,11.0,10.1,5.9,-0.9,-9.0,-10.4,17.0,19.6,19.6,28.3,37.1,49.0,51.8,50.1,42.7,30.4,15.8,13.2
