state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Hampshire,1895,-15.2,-17.2,-9.7,-1.7,5.8,11.6,11.6,10.8,6.9,-1.7,-3.9,-10.4,4.7,1.1,14.6,28.9,42.5,52.8,52.9,51.4,44.4,28.9,25.0,13.3
New Hampshire,1896,-14.8,-13.5,-10.8,-1.2,5.9,9.2,13.6,11.7,7.1,1.0,-3.0,-12.6,5.4,7.7,12.6,29.9,42.6,48.5,56.5,53.1,44.7,33.8,26.6,9.3
New Hampshire,1897,-13.8,-13.2,-8.3,-1.0,5.5,7.9,14.8,10.7,6.1,-0.4,-5.1,-10.2,7.2,8.3,17.1,30.2,41.9,46.2,58.6,51.3,42.9,31.3,22.8,13.6
New Hampshire,1898,-15.4,-11.2,-5.3,-2.6,5.0,10.3,12.9,12.8,8.1,2.6,-4.3,-12.2,4.3,11.9,22.4,27.4,41.0,50.5,55.2,55.1,46.5,36.6,24.2,10.0
New Hampshire,1899,-15.2,-14.2,-9.4,-2.9,4.0,9.9,12.3,10.8,6.2,2.5,-4.9,-8.7,4.6,6.4,15.1,26.8,39.2,49.9,54.1,51.4,43.2,36.5,23.1,16.4
New Hampshire,1900,-15.2,-14.1,-11.6,-1.7,1.9,9.8,12.6,12.0,7.9,4.5,-2.9,-12.3,4.7,6.7,11.1,29.0,35.4,49.6,54.7,53.6,46.2,40.1,26.7,9.8
New Hampshire,1901,-14.6,-16.4,-8.2,0.4,5.4,10.4,14.0,12.6,7.6,0.7,-7.0,-11.3,5.8,2.5,17.3,32.8,41.7,50.8,57.2,54.7,45.7,33.2,19.4,11.7
New Hampshire,1902,-15.3,-13.1,-3.6,-0.4,3.9,7.9,11.6,9.6,8.0,1.2,-3.1,-13.6,4.5,8.4,25.5,31.2,39.1,46.3,52.8,49.3,46.4,34.2,26.5,7.6
New Hampshire,1903,-13.9,-12.1,-3.2,-1.9,4.1,7.8,12.1,8.2,6.9,1.9,-6.4,-13.8,7.0,10.2,26.3,28.6,39.3,46.1,53.8,46.8,44.4,35.4,20.4,7.2
New Hampshire,1904,-18.4,-17.4,-8.9,-2.2,6.7,8.9,12.3,10.0,6.1,-0.4,-8.1,-16.3,-1.2,0.6,16.0,28.0,44.0,48.1,54.1,50.0,43.0,31.3,17.5,2.6
New Hampshire,1905,-16.2,-17.7,-9.7,-2.2,4.2,8.2,13.0,9.8,7.1,0.4,-6.1,-10.3,2.8,0.1,14.6,28.0,39.5,46.8,55.4,49.7,44.7,32.7,21.1,13.4
New Hampshire,1906,-10.4,-14.5,-11.4,-2.4,3.8,9.1,12.2,12.4,7.0,1.4,-4.3,-14.8,13.3,5.9,11.5,27.7,38.8,48.4,53.9,54.4,44.6,34.5,24.3,5.4
New Hampshire,1907,-16.1,-18.7,-8.6,-3.4,2.2,8.4,12.3,9.4,8.7,-1.4,-4.7,-8.7,3.0,-1.6,16.6,25.8,35.9,47.2,54.2,49.0,47.6,29.4,23.6,16.3
New Hampshire,1908,-13.2,-16.1,-8.1,-3.1,6.2,8.9,13.2,10.2,7.3,1.0,-4.1,-12.3,8.2,3.1,17.4,26.5,43.2,48.1,55.8,50.4,45.1,33.8,24.7,9.9
New Hampshire,1909,-13.1,-12.6,-8.5,-2.0,4.1,9.3,10.6,9.5,6.7,0.8,-3.0,-10.9,8.4,9.3,16.7,28.4,39.4,48.8,51.1,49.1,44.1,33.5,26.6,12.3
New Hampshire,1910,-12.6,-15.1,-5.7,1.1,4.7,8.8,12.3,10.0,6.7,1.6,-3.7,-14.8,9.4,4.8,21.8,33.9,40.4,47.8,54.2,50.0,44.0,34.8,25.3,5.3
New Hampshire,1911,-13.3,-15.6,-11.2,-4.1,6.8,8.8,13.2,10.9,6.2,0.7,-5.3,-6.7,8.1,3.9,11.9,24.7,44.2,47.8,55.8,51.7,43.1,33.2,22.5,20.0
New Hampshire,1912,-18.9,-15.1,-10.6,-2.2,5.2,7.3,11.8,9.8,7.1,1.8,-3.7,-8.1,-2.1,4.9,13.0,28.1,41.3,45.2,53.3,49.6,44.7,35.3,25.3,17.4
New Hampshire,1913,-8.8,-14.6,-6.0,-0.3,3.3,7.6,11.5,9.9,5.6,5.4,-2.8,-8.7,16.2,5.8,21.2,31.4,37.9,45.7,52.7,49.8,42.1,41.7,27.0,16.3
New Hampshire,1914,-15.6,-18.7,-7.1,-3.1,4.4,7.9,11.2,11.3,5.9,2.6,-6.3,-13.1,4.0,-1.6,19.2,26.4,39.9,46.2,52.2,52.4,42.6,36.7,20.6,8.4
New Hampshire,1915,-12.1,-10.4,-9.1,0.5,2.7,7.8,12.2,11.3,8.9,2.4,-3.2,-9.3,10.3,13.2,15.6,32.9,36.9,46.0,53.9,52.4,48.0,36.4,26.2,15.3
New Hampshire,1916,-12.6,-14.8,-12.7,-1.4,4.7,8.6,14.3,11.7,6.8,0.6,-5.8,-10.8,9.4,5.4,9.1,29.4,40.4,47.5,57.7,53.0,44.2,33.0,21.6,12.5
New Hampshire,1917,-14.5,-16.8,-8.4,-1.9,1.5,9.9,13.4,12.8,4.4,0.4,-7.4,-18.5,5.9,1.8,16.8,28.6,34.7,49.9,56.2,55.0,40.0,32.7,18.7,-1.3
New Hampshire,1918,-19.8,-17.7,-9.6,-2.2,6.8,7.4,12.8,11.1,5.9,2.2,-3.3,-9.3,-3.6,0.1,14.7,28.0,44.2,45.3,55.1,52.0,42.6,35.9,26.0,15.2
New Hampshire,1919,-11.5,-12.2,-5.8,-1.5,4.9,10.6,13.1,10.1,7.3,1.9,-4.1,-14.6,11.3,10.1,21.6,29.3,40.9,51.1,55.5,50.2,45.2,35.4,24.7,5.7
New Hampshire,1920,-20.0,-14.8,-8.6,-2.2,2.9,9.5,11.7,13.0,8.2,4.0,-5.2,-8.5,-4.0,5.3,16.6,28.0,37.2,49.1,53.1,55.4,46.8,39.2,22.7,16.7
New Hampshire,1921,-13.3,-12.7,-3.9,1.3,4.3,8.8,15.2,9.8,7.8,0.9,-4.4,-13.1,8.1,9.2,25.0,34.3,39.8,47.8,59.3,49.7,46.1,33.6,24.0,8.4
New Hampshire,1922,-17.6,-14.2,-7.3,-1.5,4.8,11.6,12.4,11.6,7.4,1.6,-3.4,-13.2,0.4,6.5,18.8,29.3,40.7,52.8,54.3,52.8,45.3,34.9,25.9,8.2
New Hampshire,1923,-16.6,-18.7,-11.9,-2.4,2.9,9.4,10.4,9.1,8.2,1.1,-4.4,-6.2,2.2,-1.7,10.5,27.6,37.3,49.0,50.8,48.4,46.8,34.0,24.0,20.9
New Hampshire,1924,-13.9,-17.4,-6.7,-2.0,3.4,7.5,11.6,10.8,5.7,0.3,-4.7,-13.3,6.9,0.6,20.0,28.4,38.2,45.5,52.8,51.4,42.2,32.5,23.6,8.1
New Hampshire,1925,-18.2,-9.8,-5.7,-1.2,2.8,10.9,11.7,10.2,7.3,-1.9,-5.1,-10.2,-0.7,14.3,21.8,29.8,37.1,51.7,53.0,50.4,45.2,28.6,22.8,13.6
New Hampshire,1926,-13.8,-15.3,-11.9,-4.3,2.6,7.2,11.2,11.3,6.4,0.3,-4.5,-14.6,7.2,4.4,10.6,24.2,36.6,45.0,52.2,52.4,43.6,32.5,23.9,5.8
New Hampshire,1927,-13.6,-11.6,-6.6,-2.4,3.4,6.9,12.8,9.8,6.6,2.9,-1.6,-9.3,7.6,11.2,20.2,27.7,38.2,44.4,55.0,49.6,43.9,37.2,29.2,15.3
New Hampshire,1928,-12.1,-13.8,-8.6,-2.7,3.8,9.1,13.3,13.9,5.9,1.6,-4.1,-7.8,10.3,7.1,16.6,27.2,38.9,48.3,56.0,57.0,42.6,34.8,24.6,18.0
New Hampshire,1929,-14.8,-14.1,-6.2,-1.1,4.3,9.9,11.0,9.4,7.6,0.6,-3.8,-11.1,5.4,6.7,20.9,30.0,39.8,49.9,51.8,49.0,45.7,33.0,25.2,12.0
New Hampshire,1930,-13.2,-13.4,-7.2,-3.3,5.4,12.2,11.8,10.2,8.3,0.7,-3.5,-10.0,8.2,7.9,19.0,26.1,41.8,53.9,53.2,50.4,47.0,33.3,25.7,14.0
New Hampshire,1931,-14.8,-13.0,-5.6,-1.1,5.0,9.8,14.4,11.3,9.2,2.4,-1.3,-9.4,5.4,8.6,22.0,30.0,41.0,49.7,58.0,52.4,48.6,36.4,29.7,15.1
New Hampshire,1932,-7.7,-12.9,-8.8,-1.8,4.0,8.8,11.1,11.5,7.6,3.5,-5.8,-8.9,18.2,8.8,16.1,28.8,39.2,47.8,51.9,52.7,45.6,38.3,21.6,16.0
New Hampshire,1933,-8.4,-10.7,-8.0,-0.8,4.8,10.0,12.1,11.3,8.4,1.0,-8.1,-14.6,16.8,12.8,17.6,30.6,40.7,50.0,53.8,52.3,47.1,33.8,17.5,5.7
New Hampshire,1934,-14.0,-21.8,-10.0,-0.8,4.8,10.3,12.4,9.0,10.4,0.2,-2.0,-12.6,6.8,-7.3,14.0,30.5,40.7,50.5,54.4,48.2,50.7,32.4,28.4,9.4
New Hampshire,1935,-17.7,-14.9,-7.9,-1.2,2.4,10.3,13.6,11.7,6.1,0.1,-1.3,-12.1,0.2,5.1,17.8,29.8,36.3,50.6,56.5,53.1,42.9,32.2,29.7,10.3
New Hampshire,1936,-14.3,-17.7,-3.8,-1.1,5.7,10.1,11.3,10.6,7.4,0.8,-7.3,-9.7,6.2,0.1,25.2,30.1,42.2,50.1,52.4,51.1,45.4,33.5,18.8,14.5
New Hampshire,1937,-9.2,-10.1,-9.9,-2.0,4.8,10.3,13.0,14.3,6.8,0.8,-3.9,-11.6,15.4,13.8,14.1,28.4,40.6,50.6,55.4,57.8,44.2,33.5,25.0,11.2
New Hampshire,1938,-15.5,-11.3,-7.2,-0.4,3.8,10.2,13.9,12.9,5.8,2.2,-3.7,-9.2,4.1,11.6,19.0,31.3,38.8,50.3,57.0,55.3,42.5,36.0,25.3,15.5
