state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Jersey,1895,-7.7,-11.3,-3.7,2.9,8.9,15.4,14.9,16.3,13.3,2.1,1.0,-3.4,18.1,11.7,25.4,37.2,48.0,59.8,58.8,61.4,56.0,35.8,33.8,25.9
New Jersey,1896,-7.4,-6.3,-5.2,4.6,11.4,13.6,17.8,16.2,11.8,5.1,2.6,-6.6,18.6,20.7,22.6,40.2,52.5,56.5,64.0,61.2,53.2,41.2,36.6,20.2
New Jersey,1897,-7.4,-5.3,-1.2,2.5,9.1,12.1,18.1,15.4,11.4,6.4,0.7,-3.6,18.7,22.5,29.9,36.5,48.3,53.8,64.5,59.7,52.5,43.5,33.2,25.5
New Jersey,1898,-4.9,-5.5,1.2,2.1,9.2,14.2,17.9,17.9,13.3,7.1,-0.3,-4.9,23.2,22.1,34.1,35.7,48.5,57.6,64.3,64.2,55.9,44.8,31.4,23.1
New Jersey,1899,-7.4,-9.2,-1.9,2.2,8.7,15.0,17.1,16.4,11.2,7.2,0.3,-4.3,18.6,15.5,28.5,36.0,47.7,59.0,62.7,61.5,52.1,45.0,32.5,24.2
New Jersey,1900,-6.4,-7.2,-4.5,3.2,8.2,14.7,17.4,18.0,14.4,9.4,2.5,-5.3,20.4,19.0,23.9,37.8,46.7,58.5,63.4,64.4,58.0,49.0,36.5,22.5
New Jersey,1901,-5.8,-9.3,-1.9,3.3,8.8,13.9,19.6,17.7,12.7,4.8,-2.1,-5.7,21.5,15.2,28.5,38.0,47.8,57.0,67.3,63.9,54.9,40.6,28.3,21.7
New Jersey,1902,-7.7,-7.8,0.3,3.3,8.7,12.8,16.8,14.6,12.3,7.1,3.4,-5.8,18.1,18.0,32.5,38.0,47.7,55.1,62.2,58.2,54.2,44.7,38.1,21.5
New Jersey,1903,-6.5,-5.3,2.3,3.7,9.5,12.6,16.6,14.9,11.8,7.1,-2.4,-7.5,20.3,22.5,36.2,38.7,49.1,54.7,61.8,58.8,53.2,44.8,27.7,18.5
New Jersey,1904,-10.6,-10.4,-2.7,1.6,9.9,13.9,16.6,15.4,11.7,3.7,-1.4,-8.3,13.0,13.2,27.1,34.9,49.8,57.1,61.9,59.7,53.0,38.6,29.5,17.1
New Jersey,1905,-8.3,-10.9,-2.1,2.9,9.4,13.7,17.7,15.9,12.3,5.8,-1.6,-3.6,17.1,12.4,28.2,37.3,48.9,56.6,63.8,60.7,54.2,42.5,29.1,25.6
New Jersey,1906,-3.0,-7.2,-3.8,3.4,9.1,15.4,17.3,18.8,14.1,7.2,0.5,-4.6,26.6,19.0,25.2,38.1,48.3,59.7,63.1,65.9,57.4,44.9,32.9,23.7
New Jersey,1907,-5.8,-10.9,-1.5,0.9,6.4,11.7,16.7,14.9,13.7,3.0,0.8,-2.9,21.6,12.4,29.3,33.7,43.6,53.0,62.0,58.8,56.6,37.4,33.4,26.8
New Jersey,1908,-6.0,-8.2,-0.5,3.5,10.5,13.6,17.7,15.4,11.9,7.1,-0.1,-4.3,21.2,17.2,31.1,38.3,50.9,56.5,63.9,59.7,53.4,44.8,31.8,24.3
New Jersey,1909,-5.0,-2.7,-2.4,3.4,8.9,14.8,14.7,14.5,11.4,3.3,1.6,-6.6,23.0,27.1,27.6,38.2,48.1,58.6,58.4,58.1,52.5,38.0,34.9,20.2
New Jersey,1910,-6.8,-6.6,-0.3,4.8,8.6,13.2,16.9,15.1,13.1,6.7,-0.9,-8.6,19.7,20.2,31.5,40.7,47.5,55.7,62.4,59.2,55.6,44.0,30.3,16.5
New Jersey,1911,-4.8,-5.8,-3.6,1.7,10.3,14.2,17.7,16.1,13.1,6.1,-1.0,-1.9,23.4,21.5,25.5,35.1,50.6,57.5,63.8,60.9,55.6,43.0,30.2,28.6
New Jersey,1912,-11.1,-8.4,-3.0,3.8,9.7,12.9,16.3,14.6,13.2,6.6,1.1,-3.3,12.0,16.9,26.6,38.8,49.4,55.3,61.4,58.2,55.8,43.9,33.9,26.1
New Jersey,1913,-1.8,-6.8,0.7,4.9,8.5,13.2,16.2,15.3,11.9,8.8,1.6,-2.8,28.8,19.7,33.2,40.9,47.3,55.7,61.2,59.6,53.4,47.9,34.9,27.0
New Jersey,1914,-5.6,-9.7,-4.1,2.4,9.3,13.2,16.2,16.6,9.6,7.8,-0.7,-5.3,22.0,14.6,24.6,36.4,48.8,55.7,61.2,61.9,49.2,46.0,30.7,22.5
New Jersey,1915,-4.7,-3.6,-4.0,4.8,7.8,12.9,16.4,15.8,13.4,6.7,-0.2,-5.1,23.5,25.5,24.8,40.6,46.1,55.2,61.5,60.4,56.1,44.1,31.6,22.9
New Jersey,1916,-4.2,-7.8,-5.7,3.0,10.2,12.4,18.1,16.3,11.0,5.2,-0.3,-5.1,24.4,18.0,21.7,37.4,50.3,54.3,64.5,61.3,51.8,41.3,31.5,22.8
New Jersey,1917,-6.1,-8.3,-2.1,2.8,6.0,14.2,17.8,16.8,9.7,3.2,-2.6,-9.2,21.1,17.0,28.2,37.1,42.8,57.6,64.1,62.2,49.5,37.8,27.4,15.5
New Jersey,1918,-11.9,-8.4,-1.8,3.3,11.2,12.6,15.4,16.8,9.9,6.7,0.7,-2.3,10.5,16.9,28.8,38.0,52.2,54.6,59.8,62.3,49.9,44.1,33.2,27.9
New Jersey,1919,-4.6,-4.5,0.0,3.0,9.6,14.2,17.3,15.2,12.2,9.1,0.6,-7.4,23.7,23.9,32.0,37.4,49.3,57.5,63.2,59.3,54.0,48.4,33.0,18.6
New Jersey,1920,-9.8,-7.4,-2.6,2.5,7.1,13.7,15.5,17.3,12.8,7.2,0.9,-2.4,14.4,18.7,27.4,36.5,44.8,56.6,59.9,63.2,55.0,45.0,33.7,27.7
New Jersey,1921,-5.3,-4.6,2.4,6.4,8.7,13.7,18.8,14.4,14.6,4.7,1.5,-5.3,22.5,23.8,36.4,43.6,47.6,56.6,65.8,58.0,58.2,40.5,34.7,22.4
