state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Mexico,1895,-6.2,-7.8,-1.6,2.6,7.4,10.9,13.4,13.1,9.4,3.5,-3.2,-7.7,20.8,18.0,29.2,36.6,45.3,51.7,56.2,55.6,49.0,38.3,26.2,18.1
New Mexico,1896,-5.8,-5.6,-1.3,1.9,7.7,13.3,15.0,14.1,11.0,5.1,-2.1,-5.4,21.5,22.0,29.6,35.4,45.8,56.0,59.0,57.3,51.8,41.1,28.2,22.3
New Mexico,1897,-6.7,-4.1,-2.6,2.4,8.8,12.0,14.2,13.9,11.6,4.7,-1.7,-7.2,19.9,24.6,27.3,36.4,47.8,53.6,57.6,57.0,52.9,40.5,29.0,19.0
New Mexico,1898,-7.9,-3.4,-2.2,3.6,6.9,12.5,15.4,14.3,9.1,2.6,-3.6,-8.8,17.8,25.9,28.0,38.4,44.5,54.5,59.8,57.7,48.4,36.6,25.5,16.2
New Mexico,1899,-8.4,-7.3,-1.3,2.6,5.8,11.7,15.3,13.9,10.3,4.0,-1.8,-6.1,16.8,18.8,29.6,36.7,42.5,53.1,59.5,57.1,50.6,39.2,28.8,21.1
New Mexico,1900,-4.8,-5.3,-0.7,1.0,7.9,12.3,14.8,13.3,10.8,4.8,-1.4,-6.9,23.4,22.5,30.7,33.8,46.2,54.2,58.7,56.0,51.5,40.7,29.5,19.6
New Mexico,1901,-6.1,-4.0,-2.9,0.9,7.8,11.4,15.1,15.1,10.0,4.7,-0.7,-6.6,21.1,24.8,26.8,33.7,46.0,52.5,59.2,59.2,50.0,40.5,30.8,20.1
New Mexico,1902,-6.2,-4.6,-3.3,3.3,7.4,12.7,13.1,14.0,9.1,3.7,-1.6,-5.6,20.9,23.7,26.1,38.0,45.3,54.8,55.6,57.2,48.4,38.7,29.2,22.0
New Mexico,1903,-5.8,-7.7,-2.8,2.5,5.8,10.9,14.3,14.3,9.6,2.0,-2.4,-8.3,21.5,18.2,27.0,36.5,42.5,51.7,57.8,57.8,49.3,35.6,27.6,17.1
New Mexico,1904,-9.3,-2.9,0.2,2.4,7.2,11.5,13.9,13.9,10.6,4.6,-3.2,-6.2,15.2,26.7,32.3,36.4,44.9,52.7,57.0,57.1,51.1,40.2,26.2,20.9
New Mexico,1905,-5.9,-4.6,1.7,2.5,6.8,12.5,12.9,13.6,10.5,3.3,0.2,-8.1,21.4,23.8,35.0,36.5,44.3,54.5,55.2,56.4,50.9,38.0,32.4,17.4
New Mexico,1906,-7.1,-3.7,-1.3,2.7,6.4,11.1,14.0,13.2,9.6,2.2,-1.9,-2.5,19.2,25.4,29.7,36.9,43.5,52.0,57.2,55.8,49.2,36.0,28.6,27.5
New Mexico,1907,-2.7,-2.4,0.4,2.2,4.8,9.5,14.2,14.5,9.8,5.2,-2.1,-5.4,27.1,27.7,32.8,35.9,40.7,49.1,57.5,58.1,49.7,41.4,28.2,22.2
New Mexico,1908,-6.3,-4.1,0.3,3.1,5.2,10.4,14.1,13.8,8.6,1.1,-4.1,-5.6,20.7,24.7,32.6,37.5,41.4,50.7,57.3,56.9,47.5,34.0,24.6,22.0
New Mexico,1909,-3.7,-4.9,-3.1,1.2,5.0,11.8,15.4,14.8,9.1,3.1,-1.2,-9.5,25.4,23.1,26.4,34.2,41.0,53.3,59.8,58.6,48.3,37.6,29.9,14.9
New Mexico,1910,-5.3,-6.6,0.6,2.5,7.4,12.4,14.9,14.7,11.1,3.3,-0.8,-5.3,22.4,20.1,33.0,36.5,45.4,54.4,58.8,58.5,51.9,38.0,30.5,22.5
New Mexico,1911,-2.6,-3.3,1.3,3.5,7.1,12.2,14.7,13.8,12.2,3.6,-3.8,-9.6,27.3,26.1,34.4,38.3,44.8,54.0,58.4,56.8,53.9,38.5,25.1,14.8
New Mexico,1912,-8.0,-6.6,-1.9,0.6,6.4,10.9,14.1,13.7,7.6,3.1,-4.4,-9.5,17.6,20.1,28.6,33.1,43.5,51.6,57.4,56.7,45.7,37.6,24.0,14.9
New Mexico,1913,-9.4,-6.1,-3.3,1.2,6.9,11.1,13.9,13.9,8.0,2.9,0.6,-7.6,15.0,21.0,26.1,34.1,44.4,52.0,57.0,57.0,46.4,37.3,33.1,18.4
New Mexico,1914,-3.9,-5.4,-2.8,2.7,7.6,12.8,14.6,13.5,10.4,3.9,-1.3,-6.3,24.9,22.3,26.9,36.9,45.7,55.1,58.3,56.3,50.8,39.1,29.7,20.7
New Mexico,1915,-8.3,-4.4,-3.4,3.4,5.3,10.8,14.3,12.6,9.5,2.5,-3.2,-6.1,17.0,24.0,25.9,38.1,41.6,51.4,57.8,54.7,49.1,36.5,26.2,21.1
New Mexico,1916,-4.2,-3.3,0.4,2.1,6.1,11.3,14.6,13.9,9.3,4.2,-4.3,-7.7,24.5,26.1,32.8,35.8,43.0,52.3,58.3,57.1,48.7,39.5,24.3,18.2
New Mexico,1917,-6.6,-5.1,-4.4,0.6,4.2,10.6,15.3,13.6,10.6,2.7,-1.9,-5.8,20.1,22.8,24.0,33.1,39.6,51.1,59.5,56.4,51.0,36.8,28.6,21.6
New Mexico,1918,-9.0,-3.7,0.3,1.5,6.6,13.6,14.9,13.9,9.2,4.7,-3.4,-8.1,15.8,25.4,32.6,34.7,43.8,56.4,58.9,57.0,48.6,40.4,25.9,17.4
New Mexico,1919,-10.2,-6.4,-2.2,3.3,7.6,10.6,14.8,14.1,11.3,4.6,-2.7,-5.2,13.7,20.4,28.0,38.0,45.6,51.1,58.7,57.4,52.3,40.2,27.1,22.6
New Mexico,1920,-5.4,-1.9,-2.6,-0.2,7.1,11.2,13.9,12.8,9.8,3.1,-2.6,-7.8,22.2,28.5,27.4,31.7,44.8,52.2,57.0,55.0,49.6,37.5,27.4,17.9
New Mexico,1921,-5.1,-4.7,0.1,0.5,7.1,11.3,14.8,14.2,10.9,4.4,-2.6,-3.4,22.9,23.6,32.1,32.9,44.8,52.4,58.6,57.5,51.6,39.9,27.3,25.9
New Mexico,1922,-8.4,-5.1,-3.3,1.6,7.3,12.4,14.9,14.7,11.1,3.6,-2.7,-3.8,16.9,22.8,26.0,34.9,45.1,54.3,58.8,58.5,51.9,38.5,27.1,25.1
New Mexico,1923,-4.3,-5.1,-3.2,2.9,7.1,11.7,14.9,14.0,9.1,3.2,-1.8,-5.8,24.2,22.9,26.2,37.2,44.8,53.0,58.9,57.2,48.4,37.7,28.8,21.5
New Mexico,1924,-8.7,-4.7,-4.0,1.4,6.6,12.3,14.5,13.7,8.6,3.5,-1.9,-8.7,16.4,23.6,24.8,34.5,43.9,54.1,58.1,56.6,47.5,38.3,28.5,16.4
New Mexico,1925,-9.6,-3.8,-0.9,3.6,8.5,12.8,15.2,13.3,10.2,4.1,-3.4,-7.4,14.7,25.2,30.4,38.4,47.3,55.0,59.4,56.0,50.3,39.4,25.9,18.6
New Mexico,1926,-8.7,-3.5,-1.8,2.9,7.1,11.7,13.7,12.9,11.4,5.2,-1.9,-6.3,16.3,25.7,28.8,37.3,44.8,53.0,56.6,55.3,52.6,41.4,28.6,20.7
New Mexico,1927,-4.6,-1.7,-2.2,2.7,7.4,11.3,14.9,13.6,10.4,3.1,-0.1,-7.7,23.8,28.9,28.1,36.9,45.4,52.4,58.8,56.4,50.8,37.6,31.8,18.1
New Mexico,1928,-6.7,-5.0,-0.6,1.0,7.7,11.2,14.6,13.2,8.6,5.0,-2.2,-6.9,20.0,23.0,30.9,33.8,45.8,52.2,58.2,55.7,47.5,41.0,28.0,19.5
New Mexico,1929,-7.4,-7.7,-2.2,1.9,6.8,11.3,14.8,14.0,10.1,4.1,-5.2,-6.9,18.6,18.2,28.0,35.5,44.2,52.4,58.7,57.2,50.2,39.4,22.6,19.6
New Mexico,1930,-9.2,-3.4,-3.4,3.8,5.3,12.2,14.7,13.7,9.1,3.9,-3.3,-8.7,15.5,25.9,25.8,38.9,41.6,53.9,58.4,56.6,48.3,39.1,26.0,16.4
New Mexico,1931,-7.6,-2.4,-3.5,2.6,6.2,12.2,14.7,13.2,12.2,5.1,-2.7,-7.3,18.3,27.6,25.7,36.7,43.1,54.0,58.4,55.8,53.9,41.2,27.1,18.8
New Mexico,1932,-8.8,-2.2,-3.3,2.0,6.7,10.7,14.7,14.2,8.9,2.9,-3.4,-8.8,16.1,28.1,26.1,35.6,44.1,51.2,58.5,57.5,48.1,37.3,25.9,16.2
New Mexico,1933,-7.7,-9.0,-1.7,-0.5,5.0,12.2,14.9,13.9,11.8,5.1,-2.2,-4.8,18.2,15.8,29.0,31.1,41.0,54.0,58.9,57.0,53.3,41.2,28.1,23.3
New Mexico,1934,-7.5,-3.2,-1.4,3.8,9.1,11.7,15.4,15.0,9.4,4.6,-1.5,-5.3,18.5,26.3,29.4,38.9,48.4,53.0,59.8,59.0,48.9,40.3,29.3,22.4
New Mexico,1935,-4.5,-4.7,-0.9,3.2,6.1,11.7,14.8,14.6,9.3,4.3,-2.8,-6.0,23.9,23.6,30.4,37.7,43.0,53.1,58.7,58.2,48.8,39.8,27.0,21.2
New Mexico,1936,-7.0,-4.4,-1.4,2.4,8.2,12.6,14.4,14.2,10.2,3.4,-3.5,-5.9,19.4,24.0,29.4,36.4,46.7,54.6,58.0,57.5,50.4,38.2,25.7,21.4
New Mexico,1937,-10.7,-5.3,-2.9,1.8,7.9,11.6,14.4,14.6,11.0,4.6,-2.7,-5.2,12.7,22.4,26.8,35.2,46.2,52.9,58.0,58.3,51.8,40.3,27.2,22.6
New Mexico,1938,-6.1,-3.5,-0.7,1.9,6.3,12.3,13.7,13.6,10.1,4.3,-5.5,-5.7,21.0,25.7,30.7,35.4,43.4,54.2,56.7,56.5,50.2,39.8,22.1,21.8
New Mexico,1939,-6.4,-9.3,-1.7,2.4,7.0,11.8,14.3,13.1,11.1,2.6,-2.9,-5.5,20.4,15.3,28.9,36.3,44.6,53.2,57.8,55.6,51.9,36.6,26.8,22.1
New Mexico,1940,-7.4,-5.0,-1.4,1.8,7.4,11.7,14.6,13.3,10.8,4.3,-3.2,-3.7,18.6,23.0,29.4,35.3,45.4,53.0,58.2,55.9,51.4,39.8,26.3,25.3
New Mexico,1941,-5.0,-2.4,-1.8,1.8,8.1,10.3,13.3,13.2,9.8,5.0,-2.3,-4.9,23.0,27.6,28.7,35.2,46.6,50.6,55.9,55.8,49.7,41.0,27.9,23.1
New Mexico,1942,-6.8,-7.1,-4.0,2.7,5.5,10.9,13.8,13.4,9.0,3.9,-1.7,-4.5,19.7,19.2,24.8,36.9,41.9,51.7,56.8,56.2,48.2,39.1,29.0,23.9
New Mexico,1943,-5.7,-4.2,-2.4,3.6,6.8,11.9,14.3,15.0,9.6,2.6,-4.3,-7.2,21.7,24.4,27.7,38.4,44.2,53.5,57.7,59.0,49.3,36.6,24.3,19.1
New Mexico,1944,-8.7,-4.7,-3.7,0.3,6.1,10.9,14.1,13.8,9.4,4.9,-2.2,-6.7,16.4,23.5,25.4,32.6,43.0,51.6,57.4,56.9,48.9,40.9,28.0,19.9
New Mexico,1945,-6.4,-3.9,-2.7,-0.1,6.6,9.3,14.0,14.6,9.4,4.2,-3.4,-8.0,20.5,24.9,27.2,31.8,43.8,48.8,57.2,58.2,48.9,39.5,25.8,17.6
New Mexico,1946,-8.0,-6.7,-1.8,4.3,5.8,12.0,14.4,14.5,11.2,3.7,-3.1,-4.7,17.6,20.0,28.8,39.8,42.5,53.6,57.9,58.1,52.2,38.7,26.4,23.6
New Mexico,1947,-8.4,-5.3,-2.7,1.1,7.6,10.8,14.6,14.3,10.3,4.9,-4.4,-7.6,16.9,22.4,27.2,34.0,45.6,51.5,58.2,57.7,50.6,40.8,24.1,18.4
New Mexico,1948,-8.4,-5.4,-4.5,3.3,7.3,12.0,14.2,13.7,9.9,3.7,-5.6,-4.7,16.8,22.2,23.9,38.0,45.1,53.6,57.6,56.7,49.8,38.6,21.9,23.5
New Mexico,1949,-8.6,-5.9,-2.0,2.0,6.8,11.3,14.6,12.7,10.6,2.7,-2.1,-7.7,16.6,21.3,28.4,35.6,44.2,52.4,58.2,54.9,51.0,36.8,28.2,18.2
New Mexico,1950,-6.1,-4.0,-2.8,2.2,5.6,11.6,14.1,11.9,8.9,5.7,-3.3,-5.9,21.1,24.8,26.9,36.0,42.0,52.8,57.4,53.5,48.1,42.2,26.0,21.3
New Mexico,1951,-7.7,-5.7,-2.8,1.3,6.8,10.2,15.6,14.4,9.1,3.9,-3.7,-5.8,18.2,21.7,27.0,34.3,44.3,50.3,60.1,57.9,48.4,39.1,25.3,21.5
New Mexico,1952,-4.2,-5.5,-3.9,2.4,7.0,13.1,14.0,14.7,9.3,2.3,-4.6,-7.5,24.4,22.1,24.9,36.3,44.6,55.5,57.2,58.4,48.8,36.2,23.7,18.5
New Mexico,1953,-4.3,-6.7,-0.7,1.7,4.9,12.8,15.2,13.2,8.5,3.3,-2.4,-9.0,24.2,20.0,30.7,35.0,40.8,55.1,59.4,55.8,47.3,37.9,27.6,15.8
New Mexico,1954,-5.9,-3.6,-2.3,4.1,7.4,11.8,15.4,13.8,11.3,5.4,-2.3,-6.7,21.3,25.5,27.8,39.4,45.4,53.2,59.8,56.9,52.4,41.7,27.8,19.9
New Mexico,1955,-7.3,-8.5,-2.4,1.3,6.6,10.4,14.0,14.3,9.7,3.9,-2.9,-4.8,18.9,16.7,27.6,34.4,43.8,50.8,57.2,57.8,49.4,39.1,26.7,23.4
