state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New York,1895,-13.1,-15.2,-9.5,0.4,7.1,12.8,12.0,12.7,9.6,-0.2,-2.3,-7.3,8.5,4.6,14.9,32.7,44.8,55.0,53.6,54.8,49.3,31.6,27.9,18.8
New York,1896,-12.5,-11.3,-10.8,1.8,8.9,10.7,14.7,13.3,8.1,2.0,-0.5,-9.4,9.5,11.6,12.6,35.3,48.1,51.3,58.5,55.9,46.6,35.6,31.1,15.1
New York,1897,-11.9,-10.4,-5.9,0.4,6.3,9.6,16.3,11.9,7.9,2.6,-2.6,-7.7,10.6,13.3,21.4,32.7,43.3,49.2,61.3,53.5,46.2,36.7,27.4,18.1
New York,1898,-10.9,-9.0,-2.2,-0.6,7.4,12.4,14.9,14.7,10.4,4.6,-3.0,-8.9,12.3,15.8,28.1,30.9,45.3,54.4,58.9,58.4,50.8,40.2,26.6,15.9
New York,1899,-12.7,-12.9,-7.0,0.8,6.8,12.2,13.9,12.9,8.3,4.7,-1.7,-7.3,9.2,8.7,19.4,33.5,44.3,54.0,57.1,55.2,47.0,40.5,28.9,18.8
New York,1900,-10.7,-11.7,-10.6,0.6,5.3,11.8,14.3,14.9,10.6,6.5,-1.2,-8.9,12.7,10.9,13.0,33.1,41.6,53.3,57.7,58.8,51.1,43.7,29.8,16.0
New York,1901,-11.4,-14.9,-6.8,1.6,7.1,12.3,16.3,14.4,9.4,2.9,-4.7,-9.0,11.5,5.1,19.8,34.8,44.7,54.1,61.4,58.0,49.0,37.2,23.6,15.8
New York,1902,-12.8,-12.4,-2.7,1.3,5.6,9.9,14.3,11.8,9.4,3.3,0.0,-10.5,9.0,9.7,27.1,34.4,42.0,49.8,57.7,53.3,49.0,38.0,32.0,13.1
New York,1903,-10.9,-9.3,-0.4,0.3,6.2,9.6,13.6,10.8,8.9,4.1,-4.8,-12.0,12.3,15.3,31.2,32.5,43.1,49.2,56.5,51.5,48.1,39.4,23.4,10.4
New York,1904,-16.0,-16.3,-7.0,-1.1,7.8,11.6,13.4,11.8,8.3,1.4,-4.8,-12.8,3.2,2.7,19.4,30.0,46.0,52.9,56.2,53.3,46.9,34.6,23.3,8.9
New York,1905,-13.7,-15.9,-7.4,-0.5,6.2,11.4,15.0,12.3,9.2,3.0,-4.1,-7.1,7.4,3.4,18.6,31.1,43.2,52.5,59.0,54.2,48.6,37.4,24.7,19.2
New York,1906,-7.4,-12.6,-8.8,0.0,6.2,12.1,13.9,14.4,10.0,3.4,-3.0,-10.4,18.7,9.4,16.1,32.0,43.1,53.8,57.0,58.0,50.0,38.2,26.6,13.2
New York,1907,-11.7,-15.9,-5.4,-2.0,3.1,10.1,13.6,11.2,10.7,0.6,-2.7,-6.4,10.9,3.3,22.3,28.4,37.6,50.2,56.4,52.1,51.3,33.0,27.1,20.4
New York,1908,-12.0,-14.3,-6.0,-0.6,8.1,11.3,14.7,12.1,9.2,3.6,-2.0,-8.8,10.4,6.2,21.2,30.9,46.6,52.3,58.5,53.7,48.6,38.5,28.4,16.2
New York,1909,-9.9,-9.0,-7.1,-0.7,6.3,11.6,12.5,11.6,8.2,1.8,-0.9,-9.1,14.1,15.8,19.2,30.8,43.3,52.9,54.5,52.9,46.7,35.2,30.3,15.6
New York,1910,-10.7,-13.2,-3.4,2.3,5.5,10.3,13.9,12.2,9.1,3.8,-2.8,-13.0,12.8,8.2,25.8,36.1,41.9,50.6,57.1,53.9,48.4,38.8,26.9,8.6
New York,1911,-10.6,-11.4,-8.6,-1.8,8.9,11.2,14.6,13.4,8.4,2.9,-4.1,-4.3,13.0,11.4,16.6,28.7,48.0,52.2,58.2,56.2,47.1,37.2,24.6,24.2
New York,1912,-16.7,-13.9,-9.5,-0.5,6.9,9.1,13.5,11.4,9.9,3.8,-1.3,-5.7,2.0,7.0,14.9,31.1,44.4,48.3,56.3,52.6,49.8,38.9,29.7,21.7
New York,1913,-6.3,-13.0,-4.6,1.4,5.4,9.7,13.0,12.1,7.6,5.7,-0.3,-6.2,20.7,8.6,23.8,34.6,41.8,49.4,55.4,53.8,45.6,42.3,31.4,20.8
New York,1914,-12.0,-16.9,-7.1,-1.2,6.7,10.4,13.2,12.9,7.7,4.8,-3.8,-10.1,10.4,1.5,19.2,29.8,44.1,50.7,55.8,55.3,45.8,40.7,25.1,13.9
New York,1915,-10.3,-8.8,-8.4,2.5,4.0,9.4,13.3,12.6,10.6,4.2,-1.7,-8.3,13.4,16.1,16.8,36.5,39.2,48.9,56.0,54.6,51.0,39.5,29.0,17.1
New York,1916,-9.1,-13.8,-11.4,0.4,6.4,9.9,15.9,13.4,8.9,2.2,-3.2,-8.8,15.6,7.2,11.5,32.8,43.6,49.8,60.7,56.2,48.0,35.9,26.2,16.1
New York,1917,-12.2,-15.0,-6.1,-0.3,3.0,10.9,14.8,13.7,6.7,1.2,-5.4,-15.2,10.1,5.0,21.0,31.4,37.4,51.6,58.7,56.6,44.0,34.2,22.2,4.6
New York,1918,-17.6,-14.3,-6.7,-0.5,8.4,9.1,13.2,13.1,6.8,3.7,-1.3,-6.3,0.3,6.2,19.9,31.1,47.2,48.3,55.8,55.6,44.2,38.7,29.6,20.6
New York,1919,-8.9,-8.9,-5.2,-0.7,6.4,13.1,13.7,12.0,9.3,4.6,-2.7,-12.4,16.0,16.0,22.6,30.7,43.6,55.6,56.7,53.6,48.8,40.2,27.2,9.6
New York,1920,-17.8,-13.4,-6.6,-0.8,4.7,10.8,12.5,13.8,9.5,5.5,-2.5,-6.5,-0.1,7.9,20.1,30.5,40.4,51.4,54.5,56.8,49.1,41.9,27.5,20.3
New York,1921,-10.2,-9.3,-2.2,3.1,6.6,10.9,16.9,11.8,10.8,2.8,-2.3,-10.0,13.6,15.2,28.1,37.5,43.9,51.6,62.4,53.2,51.5,37.0,27.8,14.0
New York,1922,-14.4,-10.2,-5.3,0.2,7.0,12.4,13.6,12.2,9.4,2.9,-1.6,-9.0,6.1,13.6,22.4,32.3,44.6,54.3,56.4,53.9,48.9,37.3,29.1,15.8
New York,1923,-13.2,-15.1,-9.6,-1.2,3.3,11.3,12.0,10.6,9.6,2.1,-2.2,-3.6,8.3,4.9,14.8,29.8,38.0,52.4,53.6,51.0,49.2,35.7,28.0,25.6
New York,1924,-11.3,-14.5,-5.9,-1.1,4.0,9.6,12.4,12.1,7.3,1.8,-2.9,-10.6,11.6,5.9,21.3,30.0,39.2,49.3,54.4,53.7,45.1,35.2,26.7,13.0
New York,1925,-14.7,-7.9,-4.2,0.0,3.2,12.4,12.6,11.9,9.6,-0.2,-3.2,-8.1,5.5,17.8,24.4,32.0,37.7,54.3,54.7,53.4,49.2,31.7,26.2,17.5
New York,1926,-11.0,-13.2,-9.9,-3.2,3.4,8.4,12.4,13.8,8.7,2.4,-2.8,-12.0,12.2,8.2,14.1,26.3,38.2,47.1,54.4,56.9,47.6,36.4,26.9,10.4
New York,1927,-12.6,-8.1,-4.4,-1.1,5.3,8.5,13.2,10.4,8.8,4.5,-0.6,-7.7,9.4,17.5,24.0,30.0,41.5,47.3,55.8,50.8,47.8,40.1,31.0,18.1
New York,1928,-10.0,-11.6,-7.2,-1.8,4.8,10.2,14.3,14.8,7.6,3.6,-1.6,-5.6,14.0,11.2,19.0,28.8,40.7,50.3,57.8,58.7,45.7,38.5,29.1,21.9
New York,1929,-11.9,-11.9,-3.8,1.2,4.8,10.6,12.4,10.4,9.6,1.9,-2.2,-8.7,10.5,10.6,25.2,34.1,40.7,51.0,54.4,50.8,49.3,35.4,28.0,16.3
New York,1930,-10.9,-9.9,-6.6,-1.3,6.8,12.4,12.9,11.6,9.9,2.0,-1.3,-7.7,12.3,14.1,20.1,29.6,44.3,54.3,55.3,52.8,49.9,35.6,29.6,18.1
New York,1931,-11.7,-11.2,-4.6,0.2,6.3,10.9,15.8,13.2,11.2,4.3,1.4,-6.4,11.0,11.9,23.8,32.4,43.4,51.7,60.4,55.8,52.2,39.7,34.6,20.5
New York,1932,-4.2,-9.2,-8.1,-1.6,5.9,10.9,12.7,12.8,8.7,5.0,-4.4,-7.1,24.5,15.4,17.5,29.2,42.7,51.6,54.8,55.0,47.6,41.0,24.0,19.3
