state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
North Carolina,1895,-2.4,-6.3,2.2,7.1,11.4,17.1,18.5,18.9,17.0,5.3,4.0,-0.6,27.6,20.6,36.0,44.7,52.6,62.8,65.3,66.1,62.6,41.6,39.2,30.9
North Carolina,1896,-2.3,-0.4,1.6,9.9,16.2,17.6,20.3,19.0,14.8,7.5,5.8,-2.1,27.8,31.2,34.8,49.9,61.2,63.6,68.5,66.2,58.7,45.5,42.5,28.2
North Carolina,1897,-3.1,1.2,5.1,7.2,11.4,17.7,19.4,18.1,14.4,10.2,3.4,0.7,26.4,34.2,41.1,45.0,52.5,63.8,66.9,64.5,57.9,50.3,38.1,33.3
North Carolina,1898,0.8,-2.5,6.3,5.6,13.2,17.4,19.9,19.8,16.5,9.8,2.4,-0.6,33.5,27.5,43.3,42.0,55.8,63.4,67.8,67.7,61.7,49.7,36.4,31.0
North Carolina,1899,-1.6,-3.2,3.5,6.7,13.5,17.9,18.6,19.6,14.2,9.8,3.7,-1.7,29.1,26.2,38.3,44.0,56.3,64.3,65.5,67.2,57.6,49.7,38.6,28.9
North Carolina,1900,-2.1,-2.2,1.6,7.8,12.1,18.0,20.0,19.8,16.7,12.1,4.6,-1.3,28.3,28.1,34.8,46.1,53.7,64.4,68.0,67.7,62.0,53.8,40.2,29.6
North Carolina,1901,-1.7,-3.2,3.2,4.9,12.9,17.3,20.6,19.5,15.2,7.4,-0.7,-2.3,29.0,26.3,37.7,40.8,55.2,63.1,69.0,67.1,59.4,45.3,30.8,27.9
North Carolina,1902,-3.2,-3.7,3.3,6.6,14.0,16.9,19.3,17.8,14.2,9.2,6.0,-0.7,26.2,25.3,37.9,43.8,57.2,62.5,66.7,64.1,57.5,48.5,42.8,30.8
North Carolina,1903,-1.4,0.2,7.6,7.4,13.1,15.6,19.0,19.1,14.2,7.7,1.2,-4.2,29.4,32.3,45.6,45.4,55.6,60.0,66.2,66.3,57.6,45.8,34.2,24.4
North Carolina,1904,-4.3,-3.1,3.4,5.9,11.8,16.5,18.3,18.3,14.6,6.3,1.3,-2.1,24.2,26.5,38.1,42.6,53.3,61.7,64.9,64.9,58.3,43.4,34.3,28.2
North Carolina,1905,-4.3,-4.5,4.3,7.6,14.8,17.3,19.4,17.8,15.8,8.4,2.4,-0.8,24.3,23.9,39.8,45.6,58.6,63.2,67.0,64.0,60.4,47.2,36.4,30.5
North Carolina,1906,0.8,-1.9,1.6,7.7,11.7,17.7,19.2,20.4,17.8,9.1,1.9,-0.3,33.4,28.5,34.8,45.8,53.1,63.9,66.5,68.8,64.0,48.3,35.5,31.4
North Carolina,1907,1.4,-2.4,5.4,4.3,11.6,14.8,19.2,18.1,16.0,6.1,2.4,-0.7,34.6,27.6,41.8,39.7,52.8,58.7,66.6,64.5,60.8,43.0,36.3,30.7
North Carolina,1908,-2.8,-2.2,5.9,9.5,12.9,16.2,19.2,18.1,13.4,7.9,3.2,0.8,26.9,28.0,42.7,49.1,55.3,61.1,66.6,64.5,56.2,46.3,37.8,33.5
North Carolina,1909,0.5,1.6,2.3,8.2,11.6,18.3,17.4,17.4,13.9,5.3,4.0,-3.7,32.9,34.8,36.2,46.7,52.8,64.9,63.4,63.4,57.1,41.6,39.2,25.4
North Carolina,1910,-2.2,-1.9,5.3,7.6,11.2,15.8,19.6,18.4,16.2,10.1,-0.2,-4.1,28.0,28.6,41.5,45.7,52.1,60.4,67.2,65.2,61.2,50.2,31.6,24.7
North Carolina,1911,0.5,1.0,1.7,6.2,12.8,17.6,18.6,19.1,17.9,11.1,1.6,0.9,32.9,33.8,35.1,43.2,55.1,63.6,65.4,66.4,64.3,51.9,34.9,33.7
North Carolina,1912,-4.8,-3.5,2.8,9.2,13.4,16.1,19.1,18.0,17.7,8.9,0.9,0.2,23.3,25.7,37.1,48.5,56.2,61.0,66.4,64.4,63.9,48.1,33.6,32.4
North Carolina,1913,3.0,-0.3,5.4,7.2,12.4,16.4,19.8,18.3,14.2,8.8,1.6,0.2,37.4,31.5,41.7,44.9,54.3,61.6,67.6,64.9,57.5,47.8,34.9,32.3
North Carolina,1914,-0.5,-2.9,0.0,7.7,11.9,18.4,18.4,19.0,13.4,10.5,1.2,-0.4,31.1,26.8,32.0,45.9,53.4,65.2,65.1,66.2,56.2,50.9,34.1,31.2
North Carolina,1915,-1.2,0.3,-1.4,7.2,13.7,16.0,18.9,18.7,16.1,10.5,3.1,-2.6,29.9,32.5,29.4,44.9,56.7,60.8,66.0,65.6,61.0,50.9,37.5,27.4
North Carolina,1916,1.4,-1.2,1.6,6.3,13.8,15.9,19.6,18.9,13.5,8.9,2.4,-1.8,34.6,29.8,34.8,43.4,56.8,60.6,67.3,66.0,56.3,48.0,36.4,28.7
North Carolina,1917,0.4,-1.7,3.1,7.7,9.7,16.2,19.3,17.7,14.1,5.2,0.4,-5.8,32.7,28.9,37.6,45.9,49.4,61.2,66.7,63.8,57.3,41.3,32.7,21.5
North Carolina,1918,-6.2,0.8,5.3,6.9,14.4,16.3,16.6,18.8,12.1,10.6,2.6,2.1,20.9,33.4,41.5,44.5,57.9,61.3,61.9,65.9,53.8,51.1,36.6,35.8
North Carolina,1919,-1.5,-1.0,3.9,6.5,13.4,16.8,19.0,17.9,13.6,14.8,3.6,-1.8,29.3,30.2,39.0,43.7,56.1,62.2,66.2,64.2,56.5,58.6,38.5,28.7
