state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
North Dakota,1895,-25.1,-19.6,-11.6,1.3,4.6,8.3,11.7,9.2,4.6,-4.0,-12.1,-15.8,-13.2,-3.3,11.2,34.4,40.2,47.0,53.0,48.5,40.3,24.8,10.3,3.5
North Dakota,1896,-20.1,-16.1,-15.4,-1.2,6.9,11.4,12.2,9.4,3.9,-3.8,-18.3,-13.4,-4.1,3.0,4.2,29.9,44.5,52.6,54.0,49.0,39.1,25.1,-0.9,7.8
North Dakota,1897,-20.8,-19.7,-17.5,-0.8,4.8,9.8,13.2,9.7,8.6,-0.1,-12.6,-17.1,-5.5,-3.5,0.5,30.5,40.6,49.6,55.8,49.5,47.4,31.9,9.3,1.2
North Dakota,1898,-16.3,-17.1,-12.6,-1.9,3.8,10.3,12.3,10.9,5.4,-1.9,-11.3,-16.8,2.7,1.2,9.4,28.6,38.8,50.6,54.1,51.6,41.8,28.6,11.6,1.8
North Dakota,1899,-20.4,-24.0,-20.2,-3.4,4.2,10.1,12.6,11.0,4.4,-0.9,-3.9,-16.3,-4.7,-11.2,-4.4,25.8,39.5,50.1,54.7,51.8,40.0,30.3,25.0,2.6
North Dakota,1900,-15.2,-22.9,-12.4,1.6,6.2,11.4,12.1,13.9,6.4,2.0,-12.1,-13.1,4.7,-9.2,9.6,34.9,43.2,52.5,53.8,57.0,43.5,35.6,10.3,8.4
North Dakota,1901,-18.8,-19.6,-9.1,0.2,7.1,10.1,15.2,11.4,5.2,0.6,-9.6,-15.8,-1.9,-3.3,15.7,32.3,44.8,50.2,59.3,52.5,41.3,33.0,14.7,3.6
North Dakota,1902,-16.7,-17.0,-7.8,-2.0,6.6,8.1,12.1,10.3,3.0,-1.8,-8.2,-20.3,1.9,1.4,18.0,28.4,43.9,46.6,53.7,50.5,37.4,28.7,17.3,-4.6
North Dakota,1903,-18.2,-23.3,-11.6,-1.7,4.1,9.4,11.4,10.6,3.9,0.2,-10.3,-17.1,-0.8,-10.0,11.1,29.0,39.4,49.0,52.6,51.0,39.0,32.4,13.4,1.3
North Dakota,1904,-21.2,-25.2,-13.9,-2.3,4.8,9.8,10.4,9.1,5.1,0.7,-5.9,-15.8,-6.1,-13.3,7.0,27.9,40.7,49.7,50.7,48.4,41.1,33.2,21.3,3.6
