state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Ohio,1895,-10.6,-12.6,-4.3,4.1,8.7,14.6,14.4,15.4,13.3,0.3,-1.3,-4.1,12.9,9.3,24.2,39.4,47.6,58.3,58.0,59.7,56.0,32.6,29.7,24.7
Ohio,1896,-6.0,-5.8,-5.4,7.1,13.1,14.2,17.2,15.6,10.4,2.8,1.5,-4.2,21.2,21.5,22.3,44.8,55.6,57.6,62.9,60.0,50.7,37.0,34.7,24.5
Ohio,1897,-8.7,-4.1,-0.4,3.4,7.1,12.8,17.9,13.8,9.8,5.8,-0.1,-3.9,16.3,24.7,31.2,38.1,44.7,55.1,64.2,56.8,49.6,42.5,31.9,25.0
Ohio,1898,-4.4,-6.2,1.1,2.0,10.0,14.9,17.6,16.8,13.2,6.3,-2.0,-6.6,24.1,20.8,33.9,35.6,50.0,58.8,63.7,62.2,55.7,43.3,28.4,20.2
Ohio,1899,-7.9,-11.0,-2.9,5.2,10.9,15.0,16.4,15.6,10.7,6.5,0.8,-6.0,17.8,12.2,26.7,41.3,51.7,59.0,61.6,60.1,51.2,43.7,33.5,21.2
Ohio,1900,-5.5,-9.3,-4.9,3.2,9.6,14.7,16.7,17.7,13.9,8.1,-0.2,-4.7,22.1,15.2,23.2,37.8,49.2,58.4,62.0,63.9,57.0,46.6,31.6,23.5
Ohio,1901,-6.8,-11.4,-1.9,2.1,8.6,15.0,18.9,16.4,11.4,4.1,-2.4,-7.4,19.8,11.4,28.6,35.7,47.4,59.0,66.1,61.6,52.5,39.4,27.6,18.6
Ohio,1902,-8.0,-10.8,-0.7,2.6,9.9,13.1,16.9,13.4,10.8,5.9,3.7,-5.6,17.6,12.5,30.7,36.7,49.8,55.6,62.5,56.2,51.4,42.7,38.6,21.9
Ohio,1903,-7.8,-6.5,2.4,3.4,10.3,12.1,16.0,14.6,10.4,5.2,-3.2,-9.9,17.9,20.3,36.4,38.2,50.6,53.7,60.8,58.2,50.7,41.3,26.2,14.1
Ohio,1904,-12.2,-10.9,-1.6,0.9,9.3,14.1,15.3,13.1,11.6,3.9,-1.9,-7.3,10.0,12.4,29.2,33.7,48.8,57.4,59.6,55.5,52.8,39.0,28.5,18.8
Ohio,1905,-10.6,-11.6,-0.4,2.6,9.6,14.4,16.9,15.7,11.4,4.8,-1.9,-4.1,13.0,11.2,31.2,36.6,49.2,58.0,62.4,60.2,52.6,40.6,28.5,24.7
Ohio,1906,-3.4,-9.5,-4.9,3.7,9.2,14.6,15.8,17.5,13.6,5.3,-1.0,-4.3,25.8,14.9,23.1,38.7,48.5,58.2,60.5,63.5,56.4,41.5,30.2,24.3
