state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Oregon,1895,-6.7,-4.6,-4.0,-0.2,2.8,5.4,8.7,8.1,4.8,1.3,-4.1,-4.8,20.0,23.8,24.8,31.7,37.1,41.7,47.6,46.5,40.6,34.3,24.7,23.3
Oregon,1896,-2.9,-2.4,-2.3,-1.0,1.9,6.3,10.7,9.4,4.8,1.9,-3.3,-1.1,26.7,27.6,27.9,30.2,35.5,43.3,51.2,49.0,40.7,35.5,26.0,30.0
Oregon,1897,-4.2,-3.1,-3.8,0.9,5.6,6.8,8.4,10.3,6.2,1.8,-1.3,-2.9,24.4,26.5,25.2,33.7,42.0,44.3,47.1,50.6,43.1,35.3,29.6,26.7
Oregon,1898,-6.9,-1.3,-4.1,0.4,2.4,6.1,8.4,10.6,6.1,1.2,-3.1,-7.1,19.5,29.6,24.7,32.8,36.4,43.0,47.1,51.1,42.9,34.1,26.5,19.3
Oregon,1899,-2.6,-5.0,-2.0,-0.3,1.7,4.8,8.6,6.8,5.8,0.7,0.2,-5.0,27.3,23.0,28.4,31.4,35.0,40.7,47.5,44.2,42.5,33.3,32.4,23.0
Oregon,1900,-2.1,-3.7,0.7,0.3,3.8,7.5,8.7,7.9,5.7,2.0,-1.4,-1.3,28.2,25.3,33.2,32.6,38.9,45.5,47.6,46.2,42.2,35.6,29.4,29.6
Oregon,1901,-5.1,-3.8,-2.3,-1.2,4.0,4.7,8.1,10.3,5.3,4.3,-0.9,-3.7,22.8,25.1,27.9,29.9,39.2,40.4,46.5,50.5,41.5,39.8,30.3,25.4
Oregon,1902,-6.3,-1.2,-2.3,-0.3,3.4,5.2,7.3,7.9,3.7,1.7,-1.7,-4.1,20.7,29.9,27.9,31.4,38.2,41.4,45.1,46.3,38.7,35.1,29.0,24.7
Oregon,1903,-4.4,-8.3,-2.4,-1.3,2.7,7.6,7.4,8.2,4.8,2.2,-0.4,-3.9,24.1,17.1,27.6,29.7,36.8,45.6,45.3,46.7,40.7,35.9,31.2,25.0
Oregon,1904,-4.3,-3.7,-1.3,1.2,3.0,5.2,9.3,8.8,6.2,2.8,-0.4,-4.0,24.3,25.4,29.6,34.1,37.4,41.3,48.7,47.9,43.1,37.1,31.3,24.8
Oregon,1905,-3.8,-5.6,-0.2,0.4,2.5,6.0,9.8,8.6,6.1,0.4,-5.2,-5.7,25.1,22.0,31.7,32.8,36.5,42.8,49.7,47.5,43.0,32.8,22.6,21.8
Oregon,1906,-4.9,-3.2,-4.0,0.4,3.1,5.0,11.6,8.9,6.2,2.5,-1.4,-1.8,23.2,26.2,24.8,32.8,37.6,41.0,52.8,48.0,43.2,36.5,29.5,28.8
Oregon,1907,-7.6,-0.9,-1.4,0.1,3.2,5.9,8.9,7.6,5.4,3.8,-1.9,-2.4,18.3,30.3,29.4,32.2,37.7,42.6,48.0,45.6,41.7,38.9,28.5,27.6
Oregon,1908,-3.4,-3.7,-2.3,-0.3,1.1,5.1,10.5,8.4,5.4,1.8,-1.6,-5.6,25.8,25.4,27.8,31.5,33.9,41.2,50.9,47.2,41.7,35.2,29.2,21.9
Oregon,1909,-5.7,-1.6,-1.9,-1.6,1.1,6.0,7.9,7.7,7.0,2.3,-0.5,-8.1,21.8,29.1,28.5,29.2,33.9,42.8,46.3,45.8,44.6,36.2,31.1,17.5
Oregon,1910,-8.1,-5.2,0.1,1.4,3.5,5.2,9.5,6.3,4.8,2.6,-1.1,-2.3,17.5,22.6,32.1,34.5,38.3,41.4,49.1,43.3,40.7,36.6,30.0,27.9
Oregon,1911,-5.4,-6.9,-3.0,-1.9,1.6,5.9,9.6,7.3,4.8,0.4,-2.7,-5.3,22.2,19.6,26.6,28.5,34.8,42.6,49.3,45.2,40.6,32.7,27.2,22.4
Oregon,1912,-4.6,-1.7,-3.2,-0.3,3.1,6.1,9.1,8.3,4.3,-0.1,-1.2,-5.1,23.7,29.0,26.3,31.4,37.6,43.0,48.3,47.0,39.7,31.8,29.9,22.8
Oregon,1913,-7.3,-7.0,-3.3,-0.3,3.2,6.9,9.4,10.0,5.1,0.9,0.2,-5.8,18.9,19.4,26.0,31.5,37.7,44.4,49.0,50.0,41.1,33.7,32.3,21.6
Oregon,1914,-1.9,-3.4,-0.8,1.2,3.8,5.9,9.7,8.8,5.3,3.4,-2.3,-8.6,28.5,25.9,30.6,34.2,38.8,42.6,49.5,47.9,41.5,38.2,27.8,16.6
Oregon,1915,-5.8,-1.8,-0.4,1.7,3.4,5.1,9.3,10.5,5.2,1.4,-1.6,-3.7,21.5,28.7,31.3,35.0,38.2,41.2,48.8,50.9,41.3,34.6,29.1,25.4
Oregon,1916,-9.8,-2.6,-1.2,0.2,1.3,5.1,8.2,8.4,5.4,-1.1,-5.3,-6.4,14.3,27.3,29.9,32.3,34.4,41.2,46.8,47.2,41.8,30.0,22.5,20.4
Oregon,1917,-8.8,-5.8,-5.7,-0.2,2.5,4.4,10.2,9.2,7.1,0.9,-0.6,0.8,16.2,21.6,21.7,31.6,36.5,40.0,50.3,48.6,44.7,33.6,31.0,33.4
Oregon,1918,-1.9,-4.3,-1.4,-1.3,1.2,7.8,9.0,7.8,8.0,3.7,-2.2,-5.3,28.6,24.3,29.4,29.7,34.1,46.0,48.2,46.1,46.4,38.7,28.0,22.4
Oregon,1919,-5.6,-3.1,-2.1,0.3,2.3,4.3,9.3,9.1,5.7,-0.4,-2.5,-8.0,21.9,26.5,28.2,32.6,36.2,39.8,48.8,48.3,42.2,31.3,27.5,17.6
Oregon,1920,-5.3,-5.6,-1.9,-1.1,0.6,5.5,9.3,9.1,6.8,2.7,-2.1,-2.6,22.4,22.0,28.5,30.1,33.1,41.9,48.7,48.3,44.2,36.8,28.3,27.4
Oregon,1921,-4.4,-2.8,-0.6,-0.5,3.4,7.7,7.8,8.5,3.7,2.3,-1.0,-5.2,24.0,26.9,30.9,31.1,38.2,45.8,46.0,47.3,38.6,36.2,30.2,22.6
Oregon,1922,-10.4,-6.2,-3.8,-1.8,2.2,6.8,9.6,9.7,5.9,2.9,-3.6,-5.2,13.3,20.9,25.1,28.8,36.0,44.2,49.2,49.4,42.7,37.2,25.5,22.7
Oregon,1923,-3.3,-7.2,-3.4,0.2,3.6,5.9,10.0,9.6,6.8,2.3,-1.8,-5.4,26.1,19.0,25.8,32.3,38.4,42.7,50.0,49.3,44.2,36.2,28.8,22.3
Oregon,1924,-7.3,-1.0,-3.4,-1.1,3.4,5.5,8.6,8.1,5.4,2.7,-1.6,-9.2,18.9,30.2,25.9,30.1,38.1,41.9,47.4,46.6,41.8,36.8,29.1,15.4
Oregon,1925,-2.4,-0.9,-2.0,1.5,4.7,6.6,10.4,8.1,6.4,0.7,-1.4,-2.3,27.7,30.4,28.4,34.7,40.4,43.9,50.7,46.5,43.5,33.2,29.5,27.8
