state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Pennsylvania,1895,-11.0,-13.6,-5.5,2.5,7.9,13.6,12.7,13.8,11.4,-0.1,-1.0,-5.1,12.2,7.6,22.1,36.5,46.3,56.4,54.8,56.8,52.5,31.9,30.2,22.8
Pennsylvania,1896,-7.8,-7.4,-7.6,4.5,11.1,12.1,15.7,14.2,9.6,3.0,1.3,-6.2,17.9,18.6,18.3,40.1,52.0,53.8,60.2,57.5,49.2,37.4,34.4,20.8
Pennsylvania,1897,-8.8,-6.3,-2.3,1.8,7.1,10.9,16.5,12.4,8.8,4.3,-0.3,-4.3,16.2,20.6,27.8,35.3,44.8,51.6,61.7,54.4,47.8,39.8,31.4,24.3
Pennsylvania,1898,-5.9,-7.6,0.3,0.8,9.1,13.3,16.3,15.9,11.2,5.7,-1.6,-6.7,21.4,18.4,32.6,33.5,48.3,55.9,61.4,60.6,52.1,42.3,29.1,20.0
Pennsylvania,1899,-9.7,-11.2,-3.2,2.2,8.8,13.7,15.1,14.1,9.5,5.1,-0.6,-5.8,14.6,11.8,26.2,35.9,47.8,56.6,59.1,57.4,49.1,41.1,31.0,21.5
Pennsylvania,1900,-7.0,-9.2,-6.3,2.0,7.5,13.6,15.7,16.2,12.4,7.8,0.9,-5.6,19.4,15.4,20.7,35.6,45.5,56.4,60.3,61.2,54.4,46.0,33.6,21.9
Pennsylvania,1901,-7.0,-11.9,-3.1,2.1,8.3,12.9,17.9,15.7,10.4,3.1,-2.9,-7.4,19.4,10.6,26.4,35.7,47.0,55.2,64.3,60.3,50.7,37.5,26.7,18.7
Pennsylvania,1902,-9.2,-10.6,-1.6,2.2,7.8,11.6,15.8,12.6,9.7,5.3,1.9,-7.4,15.5,12.9,29.1,36.0,46.0,52.9,60.5,54.6,49.4,41.6,35.4,18.6
Pennsylvania,1903,-8.4,-7.3,1.7,2.0,8.1,11.2,14.8,13.4,9.8,5.4,-4.0,-9.2,16.9,18.9,35.1,35.6,46.6,52.2,58.6,56.1,49.7,41.8,24.8,15.4
Pennsylvania,1904,-13.2,-12.6,-3.6,0.5,8.6,13.2,14.7,12.5,10.2,2.6,-2.7,-9.0,8.2,9.4,25.5,32.9,47.5,55.7,58.4,54.5,50.3,36.6,27.1,15.8
Pennsylvania,1905,-10.3,-12.8,-3.2,1.3,8.4,13.1,16.2,14.0,10.2,4.0,-2.7,-4.8,13.4,8.9,26.3,34.4,47.1,55.5,61.1,57.2,50.3,39.2,27.1,23.4
Pennsylvania,1906,-4.3,-9.7,-5.8,1.8,7.6,13.6,15.1,16.6,11.9,5.1,-1.0,-6.1,24.2,14.5,21.6,35.3,45.7,56.5,59.1,61.8,53.4,41.2,30.2,21.1
Pennsylvania,1907,-7.3,-12.3,-1.5,-0.3,5.1,10.4,14.7,12.2,11.9,1.4,-1.3,-4.7,18.8,9.9,29.3,31.4,41.2,50.7,58.5,54.0,53.4,34.5,29.7,23.5
Pennsylvania,1908,-8.2,-10.6,-1.7,2.1,9.6,12.2,15.6,13.0,9.6,4.3,-1.8,-5.6,17.3,13.0,28.9,35.8,49.2,54.0,60.0,55.4,49.2,39.7,28.8,21.9
Pennsylvania,1909,-6.6,-4.4,-4.1,1.7,7.7,13.6,12.9,12.6,8.9,1.7,0.8,-8.1,20.2,24.1,24.6,35.0,45.8,56.4,55.2,54.7,48.1,35.1,33.5,17.4
Pennsylvania,1910,-8.4,-9.6,-1.2,3.3,6.4,11.5,14.9,13.3,11.6,5.1,-2.1,-10.0,16.8,14.8,29.9,38.0,43.5,52.7,58.9,55.9,52.8,41.2,28.3,14.0
Pennsylvania,1911,-6.2,-6.2,-5.2,0.7,9.6,13.1,15.2,14.9,11.2,4.5,-2.6,-2.9,20.8,20.8,22.7,33.3,49.3,55.6,59.3,58.8,52.2,40.1,27.3,26.8
