state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
South Carolina,1895,0.6,-3.4,4.7,9.4,14.0,19.2,20.7,21.3,19.3,8.5,5.5,0.7,33.1,25.8,40.4,49.0,57.2,66.6,69.3,70.4,66.7,47.3,41.9,33.2
South Carolina,1896,0.1,1.8,4.2,12.0,18.1,19.7,22.1,21.3,17.1,9.9,8.1,-0.1,32.1,35.3,39.5,53.6,64.6,67.5,71.7,70.3,62.8,49.8,46.6,31.9
South Carolina,1897,-0.7,3.7,7.4,9.7,13.7,20.2,21.2,20.2,16.8,12.3,5.5,2.1,30.7,38.6,45.4,49.4,56.6,68.4,70.1,68.4,62.3,54.1,41.9,35.7
South Carolina,1898,3.1,-0.6,8.9,7.3,15.6,19.8,21.4,21.5,18.4,10.4,4.1,1.6,37.5,31.0,48.1,45.1,60.0,67.6,70.6,70.7,65.1,50.8,39.3,34.8
South Carolina,1899,0.6,-0.1,5.9,8.8,16.2,20.0,20.8,21.6,16.6,11.8,5.9,0.6,33.0,31.8,42.6,47.9,61.2,68.0,69.4,70.8,61.8,53.2,42.6,33.0
South Carolina,1900,0.1,0.2,4.1,10.1,14.3,19.6,21.6,21.6,18.6,14.1,6.2,1.0,32.1,32.3,39.4,50.2,57.8,67.2,70.8,70.8,65.5,57.3,43.1,33.8
South Carolina,1901,0.4,-0.5,4.4,6.6,15.1,19.2,21.9,20.9,17.1,9.2,1.3,-0.7,32.7,31.1,39.9,43.8,59.1,66.6,71.4,69.6,62.8,48.6,34.4,30.7
South Carolina,1902,-1.2,-1.4,5.3,8.3,16.3,19.1,21.1,19.9,16.4,11.1,7.9,1.6,29.8,29.4,41.5,47.0,61.3,66.4,70.0,67.9,61.6,51.9,46.3,34.8
South Carolina,1903,0.6,2.7,10.3,8.7,15.4,17.6,20.8,21.2,16.6,9.1,3.8,-2.7,33.0,36.9,50.5,47.7,59.8,63.6,69.4,70.1,61.8,48.4,38.9,27.2
South Carolina,1904,-2.0,0.0,6.1,7.9,13.7,18.0,19.8,19.6,16.8,9.4,3.2,0.3,28.4,32.0,42.9,46.2,56.6,64.4,67.6,67.3,62.2,48.9,37.8,32.6
South Carolina,1905,-2.3,-2.1,7.0,9.9,17.0,19.3,20.9,19.2,18.2,11.0,4.8,0.8,27.8,28.3,44.6,49.9,62.6,66.8,69.7,66.6,64.7,51.8,40.7,33.5
South Carolina,1906,2.2,0.7,4.1,9.9,14.1,19.4,20.6,21.8,19.7,10.6,4.0,1.9,35.9,33.2,39.3,49.9,57.3,67.0,69.0,71.2,67.5,51.0,39.2,35.5
South Carolina,1907,4.8,0.8,8.9,6.4,14.3,17.4,21.1,20.1,18.5,8.7,4.3,1.0,40.6,33.4,48.0,43.5,57.8,63.3,69.9,68.2,65.3,47.6,39.7,33.8
South Carolina,1908,-0.1,-0.1,9.1,12.2,15.1,18.4,20.7,19.9,15.9,9.4,6.0,3.3,31.9,31.8,48.4,54.0,59.2,65.1,69.2,67.9,60.7,48.9,42.8,38.0
South Carolina,1909,2.9,3.3,5.2,10.7,13.9,19.9,19.8,19.8,16.3,8.2,6.3,-1.3,37.3,38.0,41.4,51.2,57.1,67.9,67.7,67.7,61.3,46.8,43.4,29.7
South Carolina,1910,0.1,-0.1,7.4,9.2,13.8,17.6,20.4,20.1,17.9,12.0,2.1,-1.8,32.1,31.9,45.3,48.5,56.9,63.7,68.8,68.1,64.2,53.6,35.8,28.7
South Carolina,1911,2.4,3.8,4.5,8.9,14.3,19.4,19.8,20.3,19.9,13.5,3.6,2.8,36.4,38.9,40.1,48.1,57.7,67.0,67.7,68.5,67.8,56.3,38.5,37.0
South Carolina,1912,-1.9,-1.3,4.9,11.2,15.8,18.0,20.6,19.8,19.8,11.0,2.6,2.8,28.6,29.7,40.8,52.1,60.5,64.4,69.1,67.7,67.6,51.8,36.7,37.0
