state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
South Dakota,1895,-20.2,-17.1,-9.3,2.8,5.6,9.4,12.3,11.4,6.9,-2.4,-8.9,-12.3,-4.4,1.2,15.3,37.1,42.0,49.0,54.2,52.6,44.4,27.7,16.0,9.9
South Dakota,1896,-15.0,-11.5,-12.2,0.6,7.7,11.7,13.4,12.3,5.6,-2.0,-14.3,-8.7,5.0,11.3,10.0,33.0,45.9,53.0,56.1,54.1,42.0,28.4,6.3,16.3
South Dakota,1897,-16.6,-15.3,-11.6,0.2,5.6,11.1,14.8,11.5,10.9,2.0,-9.9,-13.9,2.2,4.5,11.2,32.4,42.0,52.0,58.7,52.7,51.6,35.6,14.2,7.0
South Dakota,1898,-12.4,-12.0,-9.1,-0.9,5.5,11.6,13.8,12.9,6.9,-0.9,-10.3,-14.6,9.7,10.4,15.7,30.4,41.9,52.8,56.8,55.2,44.5,30.4,13.4,5.7
South Dakota,1899,-15.8,-21.5,-15.9,-1.3,5.6,11.1,14.0,13.4,6.4,0.7,-3.6,-14.0,3.5,-6.7,3.3,29.6,42.1,52.0,57.2,56.2,43.5,33.3,25.6,6.8
South Dakota,1900,-11.0,-17.6,-9.0,2.6,7.7,12.4,14.2,16.2,8.1,3.2,-8.4,-9.4,12.2,0.4,15.8,36.7,45.8,54.4,57.6,61.1,46.5,37.7,16.8,15.1
South Dakota,1901,-13.3,-16.2,-6.9,1.4,7.3,11.7,17.3,13.8,7.2,2.4,-6.5,-13.0,8.0,2.9,19.5,34.6,45.1,53.1,63.2,56.8,44.9,36.3,20.3,8.6
South Dakota,1902,-13.3,-13.6,-5.3,-1.3,7.5,9.4,13.7,12.5,4.8,0.3,-6.1,-15.9,8.0,7.6,22.4,29.6,45.5,49.0,56.6,54.5,40.7,32.6,21.1,3.4
South Dakota,1903,-14.2,-18.4,-7.6,0.1,6.0,10.3,13.7,13.0,5.9,1.6,-7.6,-13.6,6.5,-1.1,18.4,32.1,42.8,50.5,56.7,55.4,42.6,34.9,18.3,7.6
South Dakota,1904,-16.3,-19.1,-8.1,-1.8,5.9,10.6,12.4,11.9,6.9,2.6,-4.9,-12.6,2.6,-2.3,17.5,28.8,42.7,51.0,54.4,53.5,44.4,36.7,23.2,9.4
South Dakota,1905,-18.5,-18.3,-3.2,-1.0,4.3,10.6,13.2,13.9,8.4,-1.2,-5.1,-11.3,-1.3,-0.9,26.2,30.2,39.8,51.0,55.7,57.0,47.1,29.9,22.8,11.6
South Dakota,1906,-12.8,-13.1,-11.5,1.9,6.1,10.4,12.8,13.6,9.4,1.1,-6.2,-12.2,9.0,8.5,11.3,35.5,43.0,50.8,55.1,56.4,48.9,33.9,20.8,10.1
South Dakota,1907,-20.3,-11.7,-4.9,-3.8,1.7,10.8,13.7,12.2,6.0,-0.3,-6.8,-10.8,-4.6,11.0,23.2,25.1,35.0,51.4,56.7,53.9,42.8,31.4,19.7,12.6
South Dakota,1908,-12.2,-12.0,-7.0,0.2,4.7,10.7,14.1,11.3,9.8,0.9,-5.4,-12.1,10.1,10.4,19.4,32.3,40.4,51.2,57.4,52.3,49.7,33.7,22.3,10.2
South Dakota,1909,-16.7,-13.1,-6.7,-3.6,4.8,12.7,14.8,15.7,8.1,0.6,-6.1,-17.6,1.9,8.4,20.0,25.5,40.6,54.8,58.6,60.2,46.6,33.1,21.1,0.3
South Dakota,1910,-15.2,-18.4,-0.3,1.6,3.6,12.3,14.3,11.3,7.9,2.5,-7.4,-12.2,4.6,-1.1,31.5,34.8,38.5,54.1,57.8,52.4,46.2,36.5,18.6,10.0
South Dakota,1911,-16.7,-14.1,-4.7,-0.8,6.6,14.1,12.9,11.9,8.6,0.6,-11.4,-12.1,2.0,6.7,23.6,30.6,43.8,57.3,55.2,53.4,47.5,33.0,11.5,10.2
South Dakota,1912,-21.3,-12.4,-12.2,0.8,6.4,10.5,14.3,12.5,5.8,0.4,-5.2,-11.2,-6.4,9.6,10.1,33.5,43.6,50.9,57.8,54.5,42.5,32.7,22.6,11.9
South Dakota,1913,-17.4,-16.7,-11.2,1.2,5.6,13.2,13.9,14.9,8.3,-1.1,-3.6,-10.2,0.7,1.9,11.9,34.1,42.1,55.8,57.1,58.8,47.0,30.1,25.6,13.7
South Dakota,1914,-11.0,-18.6,-6.7,0.2,6.7,12.4,15.9,12.6,8.7,3.0,-4.7,-17.3,12.2,-1.4,20.0,32.3,44.0,54.3,60.6,54.6,47.6,37.4,23.5,0.9
South Dakota,1915,-16.4,-10.3,-11.1,4.1,4.6,9.2,12.2,11.1,7.3,1.9,-4.8,-11.2,2.5,13.5,12.0,39.3,40.3,48.6,53.9,52.0,45.2,35.5,23.3,11.8
South Dakota,1916,-22.8,-14.3,-6.7,-0.7,4.7,9.4,17.7,13.2,6.4,-0.8,-7.2,-18.9,-9.1,6.2,20.0,30.7,40.5,48.9,63.8,55.8,43.6,30.5,19.0,-2.1
South Dakota,1917,-17.6,-18.9,-9.0,-1.3,3.4,9.2,15.0,11.2,7.5,-3.0,-2.8,-18.2,0.4,-2.1,15.8,29.7,38.2,48.6,59.0,52.1,45.5,26.6,26.9,-0.7
South Dakota,1918,-19.7,-14.6,-3.4,-1.4,6.1,12.8,13.6,13.7,4.9,2.3,-6.0,-9.8,-3.4,5.7,25.8,29.4,42.9,55.1,56.5,56.6,40.9,36.2,21.2,14.4
South Dakota,1919,-9.7,-14.2,-8.0,0.5,5.9,13.7,16.0,12.8,9.7,-2.8,-9.8,-14.8,14.6,6.5,17.6,32.9,42.6,56.6,60.8,55.0,49.4,27.0,14.4,5.4
