state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Tennessee,1895,-3.9,-7.2,2.0,7.8,11.6,17.4,18.4,18.1,16.4,3.1,2.6,-1.0,25.0,19.1,35.6,46.0,52.8,63.3,65.2,64.6,61.5,37.5,36.6,30.2
Tennessee,1896,-1.8,-0.8,1.2,10.8,15.3,16.9,19.7,18.7,13.7,6.6,4.1,-1.8,28.8,30.6,34.1,51.5,59.6,62.4,67.4,65.7,56.7,43.8,39.3,28.8
Tennessee,1897,-4.3,1.1,5.8,7.6,10.2,16.8,19.2,17.7,13.6,8.5,2.4,-0.2,24.2,33.9,42.4,45.6,50.4,62.2,66.5,63.8,56.4,47.3,36.4,31.6
Tennessee,1898,0.9,-1.7,6.0,5.1,13.2,17.9,19.3,18.6,16.2,8.0,1.1,-3.3,33.7,28.9,42.8,41.2,55.7,64.2,66.8,65.5,61.1,46.4,33.9,26.0
Tennessee,1899,-2.6,-6.7,2.3,7.9,15.0,17.9,18.2,19.2,12.7,9.1,4.4,-2.6,27.3,19.9,36.1,46.2,59.0,64.2,64.8,66.5,54.8,48.4,40.0,27.3
Tennessee,1900,-2.3,-3.3,1.8,7.7,11.7,18.1,19.4,19.4,17.1,11.6,2.9,-1.3,27.8,26.1,35.2,45.9,53.1,64.6,67.0,67.0,62.8,52.9,37.2,29.7
Tennessee,1901,-1.9,-3.7,2.6,5.2,11.1,17.6,19.7,18.4,13.7,6.6,-1.1,-4.4,28.5,25.4,36.6,41.4,52.0,63.7,67.5,65.2,56.6,43.8,30.1,24.0
Tennessee,1902,-3.9,-5.0,3.3,6.6,14.9,16.9,18.9,18.0,13.2,8.3,5.8,-1.3,25.0,23.0,37.9,43.8,58.9,62.4,66.0,64.4,55.8,46.9,42.4,29.7
Tennessee,1903,-2.6,-1.5,7.1,6.9,12.9,14.0,18.9,18.4,12.2,6.7,0.4,-5.3,27.4,29.3,44.8,44.4,55.3,57.2,66.0,65.2,54.0,44.1,32.8,22.4
Tennessee,1904,-4.4,-1.6,3.9,5.2,11.2,16.2,17.2,17.7,14.9,5.9,0.5,-1.4,24.1,29.1,39.1,41.4,52.2,61.1,63.0,63.8,58.9,42.7,32.9,29.4
Tennessee,1905,-6.3,-6.2,4.9,7.8,14.8,17.7,18.4,18.2,14.8,8.4,2.1,-1.8,20.6,20.8,40.9,46.0,58.7,63.8,65.1,64.8,58.6,47.1,35.8,28.8
Tennessee,1906,-1.0,-3.9,0.9,7.7,11.7,16.8,17.7,19.0,17.7,7.4,1.2,0.6,30.2,25.0,33.7,45.8,53.0,62.2,63.8,66.2,63.8,45.4,34.2,33.1
Tennessee,1907,2.4,-1.8,7.8,4.3,10.4,15.0,18.9,17.9,14.2,6.0,1.2,-0.6,36.4,28.8,46.1,39.7,50.8,59.0,66.1,64.2,57.5,42.8,34.1,30.9
Tennessee,1908,-2.9,-2.0,6.4,9.1,13.3,16.7,18.3,17.9,13.7,5.1,3.2,0.3,26.7,28.4,43.6,48.4,56.0,62.0,64.9,64.2,56.6,41.1,37.7,32.6
Tennessee,1909,-0.3,0.6,2.6,7.5,11.7,17.8,18.2,18.3,14.0,5.3,5.1,-5.2,31.5,33.1,36.7,45.5,53.0,64.0,64.7,65.0,57.2,41.5,41.1,22.7
Tennessee,1910,-3.3,-4.0,5.0,6.9,10.7,15.1,19.3,17.4,16.0,8.7,-0.8,-4.4,26.1,24.8,41.0,44.5,51.2,59.2,66.7,63.3,60.8,47.7,30.6,24.1
Tennessee,1911,0.0,1.7,3.0,7.6,12.5,17.3,17.6,18.4,17.8,10.4,0.3,1.0,32.0,35.0,37.4,45.6,54.5,63.2,63.7,65.1,64.0,50.8,32.5,33.8
