state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Texas,1895,-0.4,-2.9,6.2,10.0,14.3,19.2,20.7,20.3,18.0,8.8,3.1,0.1,31.2,26.7,43.1,50.0,57.8,66.5,69.2,68.5,64.4,47.9,37.6,32.1
Texas,1896,0.9,1.9,4.7,13.1,18.4,20.3,21.4,20.7,17.1,11.3,5.7,1.8,33.7,35.5,40.4,55.5,65.1,68.5,70.6,69.3,62.8,52.4,42.3,35.2
Texas,1897,-1.0,3.4,7.8,10.2,14.9,19.6,20.8,19.9,16.1,12.4,4.7,-0.6,30.2,38.1,46.1,50.3,58.9,67.2,69.5,67.8,60.9,54.3,40.5,31.0
Texas,1898,1.7,3.5,7.0,10.3,16.3,20.3,20.8,19.9,17.1,9.4,3.1,-1.2,35.0,38.3,44.6,50.6,61.3,68.5,69.5,67.8,62.7,48.9,37.5,29.8
Texas,1899,-0.7,-3.4,6.2,10.5,17.4,20.1,21.1,21.4,16.9,12.4,6.1,1.2,30.8,25.9,43.1,50.9,63.4,68.2,70.0,70.6,62.5,54.4,42.9,34.1
Texas,1900,2.8,1.5,7.3,11.4,16.1,20.4,21.7,21.3,20.4,13.4,6.4,1.1,37.1,34.7,45.1,52.5,60.9,68.7,71.0,70.3,68.8,56.2,43.5,33.9
Texas,1901,2.0,1.2,4.8,9.7,15.4,20.6,22.2,21.7,18.1,13.1,6.4,0.0,35.6,34.2,40.6,49.4,59.7,69.0,71.9,71.1,64.5,55.6,43.6,32.0
Texas,1902,-0.1,1.4,6.6,12.9,17.8,20.9,21.5,22.0,16.8,11.8,8.9,1.9,31.8,34.5,43.9,55.2,64.1,69.6,70.7,71.6,62.3,53.3,48.0,35.4
Texas,1903,1.2,1.1,6.4,10.9,15.1,17.1,21.2,21.1,16.7,10.3,4.2,0.4,34.1,34.0,43.6,51.7,59.1,62.8,70.1,69.9,62.0,50.6,39.5,32.7
Texas,1904,-1.4,3.6,8.7,11.2,15.2,19.3,20.5,20.3,18.9,12.0,4.7,0.9,29.5,38.4,47.7,52.1,59.3,66.8,68.9,68.6,66.0,53.6,40.5,33.6
Texas,1905,-0.7,-2.7,9.3,10.8,17.2,20.4,20.3,21.3,18.7,11.9,7.9,-0.8,30.7,27.2,48.8,51.5,62.9,68.8,68.6,70.4,65.6,53.5,46.3,30.6
Texas,1906,0.1,1.6,4.1,12.0,15.8,19.6,20.4,20.2,18.2,8.5,5.0,4.8,32.2,34.8,39.3,53.6,60.4,67.3,68.7,68.4,64.7,47.3,41.0,40.7
Texas,1907,5.1,2.6,10.7,9.6,13.4,18.9,20.9,21.2,17.4,13.3,4.8,2.4,41.2,36.6,51.2,49.2,56.1,66.1,69.6,70.2,63.4,56.0,40.6,36.4
Texas,1908,1.7,2.9,9.4,12.2,15.5,20.5,20.2,20.3,16.5,9.3,4.8,2.9,35.0,37.2,48.9,53.9,59.9,68.9,68.4,68.5,61.7,48.8,40.6,37.2
Texas,1909,2.8,2.8,6.2,10.3,14.9,19.8,22.3,21.2,16.6,10.7,8.8,-1.8,37.1,37.1,43.1,50.5,58.8,67.7,72.1,70.1,61.8,51.2,47.9,28.7
Texas,1910,1.1,-0.6,8.6,10.3,14.8,19.2,21.4,21.6,18.7,10.6,6.1,1.8,34.0,31.0,47.4,50.6,58.6,66.6,70.5,70.9,65.7,51.1,43.0,35.2
Texas,1911,4.3,5.2,8.6,11.9,15.2,20.6,21.3,21.3,20.3,11.9,2.9,0.8,39.7,41.4,47.5,53.5,59.4,69.1,70.3,70.4,68.6,53.4,37.2,33.5
Texas,1912,-2.1,-0.1,4.0,11.0,15.8,17.9,21.6,21.4,17.4,12.5,4.2,0.8,28.2,31.8,39.2,51.8,60.5,64.2,70.8,70.5,63.3,54.5,39.6,33.4
Texas,1913,0.6,0.9,4.0,9.4,15.2,18.9,21.0,20.7,15.9,10.7,9.8,2.2,33.0,33.6,39.2,49.0,59.4,66.0,69.8,69.3,60.6,51.3,49.6,35.9
Texas,1914,2.7,0.6,4.4,10.4,16.2,20.4,21.3,20.8,17.6,11.7,7.0,0.1,36.9,33.0,39.9,50.8,61.1,68.8,70.4,69.4,63.6,53.0,44.6,32.1
Texas,1915,-0.2,3.6,1.9,11.8,15.1,19.8,21.0,19.5,18.5,11.0,5.7,1.9,31.6,38.4,35.5,53.3,59.1,67.7,69.8,67.1,65.3,51.8,42.3,35.5
Texas,1916,2.6,2.2,7.5,9.9,15.7,20.1,21.2,20.7,16.8,11.3,3.6,0.4,36.6,36.0,45.5,49.8,60.2,68.2,70.1,69.3,62.2,52.4,38.4,32.7
Texas,1917,1.7,1.8,5.7,9.9,12.9,18.9,21.7,20.8,17.1,7.8,4.9,-1.0,35.1,35.3,42.2,49.8,55.2,66.0,71.0,69.4,62.7,46.1,40.9,30.2
Texas,1918,-4.4,2.6,8.0,10.2,16.4,20.9,21.4,21.1,14.8,12.8,5.4,2.1,24.1,36.6,46.4,50.4,61.6,69.7,70.5,69.9,58.6,55.0,41.7,35.7
Texas,1919,-0.4,2.1,6.3,11.2,14.7,18.0,20.7,20.8,17.9,14.8,5.6,0.4,31.2,35.8,43.4,52.1,58.4,64.4,69.2,69.4,64.2,58.7,42.1,32.7
Texas,1920,0.1,4.0,5.1,9.0,16.3,18.7,20.8,19.9,18.2,12.1,4.4,0.8,32.1,39.2,41.1,48.2,61.4,65.7,69.4,67.9,64.8,53.7,39.9,33.4
Texas,1921,3.4,2.6,9.7,9.4,15.4,19.6,21.3,21.1,20.1,10.8,6.3,3.0,38.1,36.7,49.4,49.0,59.8,67.2,70.4,70.0,68.2,51.5,43.4,37.4
