state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Utah,1895,-9.8,-10.1,-4.9,0.2,5.0,8.1,12.6,12.6,7.3,1.8,-5.5,-11.2,14.3,13.9,23.2,32.4,41.0,46.5,54.7,54.7,45.2,35.3,22.1,11.9
Utah,1896,-6.6,-7.8,-3.7,-0.9,4.0,11.0,14.2,13.0,8.1,2.3,-5.2,-6.6,20.1,18.0,25.4,30.4,39.2,51.8,57.5,55.4,46.6,36.2,22.7,20.2
Utah,1897,-9.1,-8.3,-6.6,0.6,7.1,8.6,11.8,12.7,8.9,2.5,-3.2,-12.0,15.7,17.0,20.2,33.0,44.7,47.4,53.2,54.9,48.0,36.5,26.2,10.4
Utah,1898,-14.7,-8.8,-6.0,1.4,4.1,9.1,13.4,13.7,6.2,-1.2,-6.4,-12.3,5.5,16.2,21.2,34.5,39.3,48.3,56.1,56.7,43.1,29.8,20.5,9.8
Utah,1899,-8.3,-8.8,-3.2,0.1,2.9,8.7,13.9,10.3,7.8,0.8,-2.1,-10.6,17.0,16.2,26.2,32.2,37.3,47.7,57.0,50.6,46.0,33.5,28.3,13.0
Utah,1900,-5.8,-6.6,-2.2,0.1,5.8,10.7,12.8,10.8,5.7,1.8,-2.7,-7.4,21.6,20.1,28.0,32.2,42.4,51.3,55.1,51.4,42.2,35.2,27.2,18.7
Utah,1901,-8.8,-6.2,-5.0,-0.7,6.5,8.1,14.4,14.1,5.7,2.9,-2.8,-7.9,16.2,20.9,23.0,30.8,43.7,46.6,57.9,57.3,42.2,37.3,26.9,17.8
Utah,1902,-9.2,-5.3,-4.6,0.6,4.8,9.8,10.8,11.7,6.7,1.9,-3.7,-8.7,15.5,22.5,23.7,33.1,40.6,49.7,51.5,53.1,44.0,35.5,25.4,16.4
Utah,1903,-9.1,-15.8,-3.7,-0.4,3.7,10.6,12.2,12.3,6.2,1.0,-5.0,-11.1,15.6,3.5,25.3,31.3,38.7,51.1,53.9,54.2,43.2,33.8,23.0,12.0
Utah,1904,-12.3,-5.8,-2.7,0.6,5.3,9.1,12.2,12.6,7.6,0.9,-6.1,-9.4,9.8,21.5,27.2,33.1,41.5,48.3,54.0,54.7,45.6,33.7,21.1,15.0
Utah,1905,-8.2,-7.0,-1.4,1.1,3.7,8.7,12.4,12.7,7.7,-1.1,-4.1,-12.1,17.3,19.4,29.5,34.0,38.6,47.6,54.3,54.8,45.8,30.1,24.7,10.2
Utah,1906,-9.8,-5.4,-3.4,1.2,4.7,7.7,13.5,12.6,7.5,0.7,-4.2,-4.6,14.4,22.3,25.9,34.2,40.5,45.8,56.3,54.7,45.5,33.2,24.4,23.8
Utah,1907,-7.4,-2.1,-0.7,1.8,3.7,7.1,12.7,11.6,6.5,3.9,-4.7,-6.9,18.7,28.2,30.7,35.3,38.6,44.7,54.8,52.8,43.7,39.1,23.5,19.5
Utah,1908,-9.0,-7.1,-3.7,0.6,2.7,7.1,13.3,11.9,7.0,-0.3,-5.8,-10.4,15.8,19.3,25.4,33.1,36.8,44.8,56.0,53.4,44.6,31.4,21.6,13.2
Utah,1909,-5.8,-7.2,-4.2,-1.0,2.8,9.9,13.5,13.8,7.8,1.7,-3.4,-13.8,21.5,19.1,24.5,30.2,37.0,49.8,56.3,56.8,46.0,35.0,25.8,7.1
Utah,1910,-11.2,-9.3,-0.7,1.4,5.2,10.4,14.2,12.3,9.3,1.8,-1.8,-6.1,11.9,15.2,30.8,34.6,41.3,50.7,57.6,54.2,48.7,35.3,28.7,21.0
Utah,1911,-5.4,-7.9,-1.4,-0.6,3.8,9.9,12.8,11.8,8.2,0.1,-6.4,-11.8,22.2,17.8,29.4,31.0,38.9,49.8,55.0,53.2,46.7,32.2,20.5,10.8
Utah,1912,-9.3,-6.1,-2.7,-1.2,3.8,9.5,12.4,11.4,4.2,0.9,-3.8,-10.8,15.2,21.0,27.2,29.9,38.9,49.1,54.3,52.5,39.5,33.7,25.2,12.6
Utah,1913,-12.6,-8.7,-5.4,-0.1,4.9,9.1,12.8,12.8,7.5,-0.1,-1.7,-10.6,9.3,16.4,22.2,31.9,40.8,48.4,55.0,55.1,45.5,31.8,28.9,12.9
Utah,1914,-7.5,-7.7,-2.6,2.2,6.0,9.3,13.6,12.3,7.6,2.8,-5.4,-11.4,18.5,18.2,27.4,35.9,42.8,48.8,56.5,54.2,45.7,37.0,22.3,11.5
Utah,1915,-12.2,-6.0,-2.7,2.9,4.1,7.6,12.8,11.8,7.3,1.0,-3.8,-7.8,10.1,21.2,27.2,37.3,39.3,45.6,55.0,53.3,45.2,33.8,25.1,18.0
Utah,1916,-10.1,-6.3,-2.3,1.0,2.4,8.1,12.9,11.3,6.1,1.4,-6.7,-10.4,13.8,20.6,27.8,33.8,36.4,46.5,55.3,52.4,43.0,34.5,19.9,13.3
Utah,1917,-15.5,-8.9,-8.0,-1.3,3.7,8.1,14.8,11.7,7.8,0.9,-3.2,-4.8,4.1,15.9,17.6,29.6,38.7,46.5,58.6,53.0,46.0,33.6,26.3,23.4
Utah,1918,-8.7,-8.3,-1.9,-0.9,3.8,12.7,13.7,11.4,8.3,4.3,-5.4,-9.3,16.4,17.0,28.6,30.4,38.8,54.8,56.7,52.6,47.0,39.8,22.2,15.2
Utah,1919,-12.2,-7.7,-3.9,1.1,6.2,9.8,14.6,12.9,8.9,-1.0,-5.4,-12.1,10.1,18.2,24.9,33.9,43.2,49.7,58.3,55.3,48.1,30.2,22.2,10.3
Utah,1920,-9.3,-5.1,-4.3,-1.8,5.2,9.2,13.7,11.9,6.9,1.4,-3.7,-9.2,15.3,22.9,24.3,28.7,41.4,48.6,56.6,53.5,44.5,34.5,25.4,15.4
Utah,1921,-7.2,-6.0,-1.4,-1.1,5.3,10.4,13.9,12.7,6.5,3.4,-3.2,-5.2,19.0,21.2,29.4,30.1,41.5,50.8,57.0,54.9,43.7,38.2,26.2,22.6
