state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Vermont,1895,-15.5,-17.9,-11.1,-2.0,5.9,11.6,10.9,10.4,7.1,-1.8,-4.6,-10.7,4.1,-0.3,12.0,28.4,42.6,52.8,51.6,50.7,44.8,28.8,23.7,12.7
Vermont,1896,-15.5,-14.6,-12.2,-1.2,6.1,8.7,13.3,11.3,6.8,0.7,-3.2,-13.2,4.1,5.8,10.0,29.8,43.0,47.6,55.9,52.4,44.2,33.2,26.3,8.3
Vermont,1897,-15.1,-14.2,-8.8,-1.3,4.9,7.9,15.1,10.5,5.7,0.0,-5.4,-11.1,4.8,6.4,16.1,29.6,40.9,46.2,59.1,50.9,42.2,32.0,22.2,12.1
Vermont,1898,-16.6,-11.4,-5.5,-2.7,5.3,10.1,12.5,12.7,8.3,2.7,-5.2,-12.2,2.1,11.4,22.1,27.2,41.6,50.2,54.5,54.9,46.9,36.8,22.6,10.1
Vermont,1899,-15.9,-15.0,-10.0,-2.4,4.1,10.0,12.1,10.6,6.3,2.8,-4.8,-9.2,3.3,5.0,14.0,27.7,39.3,50.0,53.7,51.1,43.4,37.1,23.3,15.4
Vermont,1900,-15.3,-15.1,-13.1,-1.6,2.3,9.5,12.3,11.9,7.9,4.1,-3.8,-13.4,4.4,4.9,8.5,29.1,36.2,49.1,54.1,53.5,46.3,39.4,25.2,7.9
Vermont,1901,-15.5,-17.6,-9.5,0.4,5.3,10.2,13.6,12.3,7.3,0.9,-7.3,-11.6,4.1,0.3,14.9,32.8,41.6,50.4,56.5,54.2,45.2,33.6,18.9,11.2
Vermont,1902,-16.3,-14.7,-4.8,-0.3,3.4,7.8,11.6,9.5,7.9,0.8,-3.1,-14.4,2.7,5.6,23.3,31.4,38.2,46.0,52.8,49.1,46.3,33.5,26.5,6.0
Vermont,1903,-14.4,-12.8,-3.3,-2.1,3.8,7.7,11.6,8.1,6.4,1.6,-7.1,-14.9,6.0,9.0,26.1,28.2,38.9,45.9,52.9,46.5,43.6,34.8,19.2,5.2
Vermont,1904,-19.5,-18.6,-9.7,-2.4,6.4,8.9,11.6,9.3,5.4,-0.6,-9.0,-17.6,-3.1,-1.5,14.6,27.6,43.5,48.0,52.8,48.7,41.7,30.9,15.8,0.4
Vermont,1905,-17.1,-18.9,-10.6,-2.2,4.1,8.4,12.8,9.7,7.0,0.6,-6.6,-11.1,1.2,-2.1,12.9,28.0,39.3,47.1,55.1,49.4,44.6,33.1,20.2,12.1
Vermont,1906,-11.2,-15.8,-12.1,-2.4,3.6,9.3,11.5,11.8,6.8,1.1,-5.2,-15.5,11.9,3.6,10.2,27.6,38.4,48.7,52.7,53.3,44.2,34.0,22.6,4.1
Vermont,1907,-16.7,-19.7,-8.9,-4.1,1.5,8.4,11.7,8.8,8.5,-1.6,-5.3,-9.6,1.9,-3.5,16.0,24.6,34.7,47.2,53.1,47.9,47.3,29.2,22.4,14.7
Vermont,1908,-15.0,-17.3,-9.2,-3.3,6.2,8.5,12.9,9.8,7.0,1.2,-4.0,-13.3,5.0,0.9,15.5,26.1,43.2,47.3,55.3,49.6,44.6,34.2,24.8,8.1
Vermont,1909,-13.9,-13.8,-9.8,-2.7,4.1,8.9,10.3,9.4,6.3,0.5,-3.6,-11.5,7.0,7.2,14.3,27.1,39.4,48.0,50.6,49.0,43.4,32.9,25.6,11.3
Vermont,1910,-13.6,-16.4,-5.9,1.0,4.5,8.7,12.2,10.1,6.3,1.4,-4.4,-16.4,7.5,2.4,21.3,33.8,40.1,47.6,53.9,50.1,43.4,34.6,24.1,2.5
