state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Virginia,1895,-5.6,-9.4,0.0,5.4,9.9,15.7,16.4,17.2,14.9,2.9,1.6,-2.4,21.9,15.0,32.0,41.8,49.9,60.2,61.6,62.9,58.8,37.2,34.9,27.6
Virginia,1896,-4.3,-3.0,-1.6,7.9,14.1,15.9,18.6,17.2,13.1,5.4,3.7,-3.7,24.3,26.6,29.1,46.2,57.3,60.6,65.5,62.9,55.5,41.8,38.6,25.4
Virginia,1897,-5.8,-1.9,2.7,4.9,9.6,15.4,18.3,16.6,12.4,8.1,1.8,-1.3,21.5,28.5,36.8,40.9,49.2,59.8,64.9,61.8,54.4,46.5,35.2,29.7
Virginia,1898,-1.6,-4.7,4.1,3.7,11.7,15.7,18.9,18.6,14.6,8.5,0.7,-3.3,29.2,23.6,39.3,38.7,53.1,60.2,66.0,65.5,58.2,47.3,33.2,26.0
Virginia,1899,-4.2,-7.0,0.9,5.2,11.8,16.9,17.3,18.2,12.3,7.8,1.6,-4.1,24.4,19.4,33.7,41.3,53.3,62.4,63.2,64.7,54.1,46.0,34.8,24.7
Virginia,1900,-3.8,-4.7,-1.1,5.7,10.3,16.7,18.4,18.9,15.9,10.7,3.2,-3.1,25.1,23.5,30.0,42.3,50.6,62.1,65.2,66.0,60.7,51.2,37.7,26.4
Virginia,1901,-3.6,-6.0,1.2,3.7,10.9,15.9,19.7,18.1,13.1,5.5,-2.0,-4.7,25.6,21.2,34.1,38.7,51.7,60.7,67.4,64.6,55.5,41.9,28.4,23.5
Virginia,1902,-5.1,-6.0,1.4,4.5,12.0,14.7,17.9,15.8,12.1,7.7,4.3,-3.0,22.8,21.2,34.5,40.1,53.6,58.5,64.3,60.5,53.7,45.8,39.8,26.6
Virginia,1903,-4.2,-2.6,4.6,5.4,10.9,13.8,17.6,17.2,12.2,6.7,-1.6,-6.3,24.4,27.3,40.2,41.8,51.6,56.8,63.6,62.9,53.9,44.0,29.2,20.6
Virginia,1904,-6.9,-6.8,0.7,3.6,10.6,15.4,17.0,16.6,13.1,5.1,-0.6,-4.8,19.6,19.8,33.3,38.5,51.0,59.8,62.6,61.9,55.6,41.2,31.0,23.4
Virginia,1905,-6.4,-7.4,1.7,5.4,12.2,16.1,18.6,16.8,13.6,6.7,0.1,-3.1,20.4,18.7,35.1,41.8,54.0,60.9,65.5,62.3,56.4,44.1,32.2,26.4
Virginia,1906,-1.2,-4.7,-1.2,5.3,10.2,16.5,17.8,19.6,16.1,7.4,1.0,-2.2,29.9,23.6,29.8,41.6,50.4,61.7,64.0,67.2,61.0,45.4,33.8,28.1
Virginia,1907,-1.2,-5.6,3.2,2.4,9.0,12.9,17.9,16.3,14.0,3.7,0.9,-2.4,29.9,22.0,37.7,36.4,48.2,55.3,64.2,61.4,57.2,38.7,33.7,27.6
Virginia,1908,-4.9,-5.3,3.0,6.9,11.8,14.9,18.2,16.6,11.7,6.4,0.8,-2.2,23.2,22.5,37.4,44.4,53.2,58.8,64.8,61.9,53.0,43.5,33.4,28.1
Virginia,1909,-1.8,-0.2,-0.1,5.7,10.1,16.9,15.9,15.8,12.5,3.6,2.8,-5.7,28.8,31.7,31.8,42.3,50.1,62.5,60.7,60.5,54.5,38.4,37.0,21.7
Virginia,1910,-4.3,-4.2,3.1,6.4,9.1,14.4,18.1,16.5,14.7,8.4,-1.6,-6.4,24.2,24.4,37.6,43.6,48.4,58.0,64.6,61.7,58.4,47.2,29.2,20.5
Virginia,1911,-1.9,-1.6,-0.9,4.0,11.6,15.9,17.1,17.6,15.7,8.6,-0.4,-0.8,28.6,29.1,30.3,39.2,52.8,60.6,62.8,63.7,60.2,47.5,31.2,30.5
Virginia,1912,-8.2,-6.1,-0.1,7.2,11.3,14.4,17.7,16.1,15.4,7.2,0.2,-2.7,17.2,21.1,31.8,44.9,52.3,58.0,63.8,61.0,59.8,44.9,32.4,27.2
Virginia,1913,-0.3,-3.1,2.8,5.7,10.4,15.1,18.1,16.8,12.8,7.8,1.2,-1.5,31.5,26.4,37.0,42.3,50.8,59.2,64.6,62.3,55.0,46.1,34.1,29.3
Virginia,1914,-2.1,-6.2,-1.9,5.2,10.4,16.3,17.0,16.9,11.4,8.8,-0.2,-3.7,28.2,20.9,28.5,41.4,50.8,61.3,62.6,62.5,52.6,47.8,31.6,25.4
Virginia,1915,-3.4,-1.7,-3.0,5.3,11.1,14.6,17.0,16.8,14.5,8.3,1.2,-3.9,25.8,29.0,26.6,41.6,51.9,58.2,62.6,62.3,58.1,47.0,34.1,25.0
Virginia,1916,-1.4,-4.0,-1.7,4.7,12.1,14.0,18.6,17.3,11.3,6.1,0.4,-4.3,29.4,24.8,28.9,40.4,53.8,57.2,65.5,63.2,52.4,42.9,32.8,24.3
