state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Washington,1895,-6.7,-2.5,-2.4,0.8,4.0,7.3,9.7,9.1,5.2,1.8,-2.3,-3.7,19.9,27.5,27.6,33.5,39.2,45.2,49.4,48.4,41.3,35.2,27.8,25.3
Washington,1896,-4.4,-1.5,-3.1,0.0,3.3,7.2,11.4,10.1,5.5,2.2,-4.8,-1.8,24.1,29.3,26.5,32.0,37.9,45.0,52.6,50.2,41.9,35.9,23.4,28.8
Washington,1897,-5.4,-3.7,-4.6,1.9,6.0,7.7,8.8,10.3,6.1,2.0,-2.1,-4.3,22.3,25.4,23.8,35.4,42.8,45.8,47.9,50.6,43.0,35.6,28.3,24.3
Washington,1898,-6.3,-1.1,-2.9,1.0,4.1,7.3,9.6,11.6,7.3,1.9,-2.1,-6.3,20.6,30.0,26.7,33.8,39.4,45.2,49.2,52.9,45.1,35.4,28.3,20.6
Washington,1899,-4.9,-5.9,-2.4,0.6,2.8,6.2,9.9,8.7,7.2,2.6,3.0,-1.9,23.2,21.3,27.7,33.1,37.1,43.1,49.8,47.6,44.9,36.6,37.4,28.5
Washington,1900,-2.3,-3.9,0.7,2.0,5.0,8.7,9.7,8.9,6.7,2.8,-2.3,0.2,27.8,25.0,33.2,35.6,41.0,47.6,49.5,48.0,44.1,37.0,27.8,32.3
Washington,1901,-5.0,-4.2,-0.9,-0.2,5.0,5.6,8.3,10.0,5.8,4.7,0.3,-2.7,23.0,24.4,30.3,31.7,41.0,42.1,47.0,50.0,42.4,40.4,32.5,27.1
Washington,1902,-5.5,-1.7,-1.3,0.7,5.4,6.0,8.6,8.6,5.3,3.4,-0.8,-4.0,22.1,28.9,29.6,33.3,41.8,42.8,47.4,47.4,41.6,38.2,30.6,24.8
Washington,1903,-3.2,-7.1,-2.9,0.0,3.9,8.9,8.8,9.9,6.2,2.9,-0.9,-2.9,26.2,19.3,26.8,32.0,39.0,48.1,47.8,49.8,43.2,37.3,30.4,26.8
Washington,1904,-3.7,-4.2,-2.6,2.1,3.4,6.2,10.5,9.5,6.3,3.8,1.4,-2.2,25.4,24.5,27.3,35.8,38.2,43.2,50.9,49.1,43.4,38.8,34.6,28.1
Washington,1905,-3.9,-5.2,1.0,1.5,4.1,7.7,10.2,9.4,7.8,0.7,-2.4,-3.3,25.0,22.7,33.8,34.7,39.4,45.8,50.4,48.9,46.1,33.2,27.6,26.1
Washington,1906,-3.5,-1.7,-2.6,2.2,4.8,6.3,12.4,9.5,7.0,3.7,-1.2,-2.3,25.7,28.9,27.4,35.9,40.6,43.3,54.4,49.1,44.6,38.6,29.8,27.8
Washington,1907,-10.6,-2.9,-1.9,0.1,4.7,6.9,9.7,8.6,6.6,3.8,-0.3,-2.3,12.9,26.7,28.6,32.2,40.4,44.4,49.5,47.5,43.8,38.9,31.5,27.9
Washington,1908,-4.3,-3.9,-1.4,0.9,3.5,6.7,10.4,9.2,5.9,2.5,0.0,-4.7,24.2,25.0,29.4,33.7,38.3,44.0,50.8,48.6,42.6,36.5,32.0,23.5
Washington,1909,-10.0,-2.2,-1.6,-0.2,3.1,6.8,8.6,7.6,7.2,2.8,-0.2,-6.8,14.0,28.0,29.1,31.6,37.6,44.2,47.4,45.7,44.9,37.0,31.6,19.7
Washington,1910,-6.4,-6.6,0.4,2.3,4.8,6.2,9.3,7.7,6.6,4.0,-0.5,-1.8,20.5,20.1,32.7,36.1,40.7,43.2,48.7,45.9,43.9,39.2,31.1,28.8
Washington,1911,-6.2,-6.1,-2.1,-1.1,3.2,7.1,9.9,8.6,6.2,1.3,-2.9,-3.8,20.8,21.1,28.2,30.1,37.8,44.8,49.9,47.4,43.2,34.4,26.8,25.1
Washington,1912,-5.9,-1.9,-3.4,1.3,4.9,7.9,10.0,9.2,5.5,1.3,0.0,-3.2,21.4,28.6,25.8,34.3,40.9,46.3,50.0,48.6,41.9,34.4,32.0,26.2
Washington,1913,-7.8,-7.7,-2.9,1.0,4.3,8.1,9.6,10.1,5.9,1.9,-0.1,-3.3,18.0,18.1,26.8,33.8,39.8,46.5,49.3,50.2,42.7,35.4,31.9,26.1
Washington,1914,-2.0,-3.3,-0.4,2.1,4.8,6.8,9.9,9.1,6.3,4.3,0.2,-7.7,28.4,26.0,31.3,35.8,40.7,44.2,49.8,48.4,43.3,39.8,32.4,18.1
