state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
West Virginia,1895,-8.2,-11.7,-2.1,4.3,8.2,13.6,14.2,15.3,13.3,0.2,-0.3,-3.9,17.2,11.0,28.3,39.7,46.7,56.5,57.5,59.5,56.0,32.3,31.4,24.9
West Virginia,1896,-5.3,-4.8,-4.1,7.3,12.8,14.1,17.1,15.5,11.3,3.6,2.4,-4.7,22.5,23.3,24.6,45.2,55.0,57.3,62.7,59.9,52.3,38.4,36.3,23.6
West Virginia,1897,-8.2,-3.2,1.2,3.6,7.3,13.3,17.0,14.7,9.6,5.7,0.1,-2.9,17.3,26.3,34.1,38.4,45.2,56.0,62.6,58.4,49.3,42.2,32.1,26.7
West Virginia,1898,-3.1,-6.2,2.6,2.1,10.4,14.2,17.3,16.7,12.6,6.6,-1.3,-6.1,26.5,20.8,36.6,35.7,50.8,57.6,63.2,62.1,54.6,43.9,29.7,21.0
West Virginia,1899,-6.4,-9.7,-0.4,4.4,10.8,15.0,15.3,15.6,10.4,5.9,0.5,-5.7,20.4,14.6,31.3,39.9,51.4,59.0,59.6,60.1,50.7,42.7,32.9,21.7
West Virginia,1900,-5.3,-7.0,-2.4,3.6,8.2,15.1,16.2,16.9,14.1,8.0,1.3,-4.4,22.4,19.4,27.6,38.5,46.7,59.1,61.1,62.4,57.3,46.4,34.4,24.0
West Virginia,1901,-5.1,-8.6,-0.9,2.1,9.1,14.2,18.0,16.2,10.8,3.7,-3.1,-6.4,22.9,16.5,30.3,35.8,48.3,57.5,64.4,61.2,51.4,38.6,26.4,20.5
West Virginia,1902,-6.9,-8.6,-0.8,2.3,9.7,12.4,16.2,13.5,9.8,5.9,2.8,-3.8,19.6,16.6,30.5,36.1,49.4,54.3,61.1,56.3,49.7,42.7,37.1,25.1
West Virginia,1903,-6.4,-5.3,3.9,3.6,9.6,12.2,15.1,14.9,9.6,4.6,-3.6,-9.3,20.4,22.4,39.0,38.5,49.3,54.0,59.2,58.8,49.3,40.3,25.5,15.2
West Virginia,1904,-8.8,-8.4,-0.3,1.9,8.5,13.8,14.7,13.7,11.3,3.3,-2.6,-5.7,16.1,16.8,31.4,35.4,47.3,56.8,58.5,56.7,52.3,37.9,27.3,21.8
West Virginia,1905,-8.9,-9.3,0.6,3.5,10.1,14.1,16.6,15.0,11.2,5.0,-1.4,-4.1,15.9,15.3,33.1,38.3,50.2,57.4,61.9,59.0,52.1,41.0,29.4,24.7
West Virginia,1906,-3.1,-7.3,-2.7,3.8,8.4,14.7,15.7,18.1,14.4,6.1,-0.4,-2.9,26.4,18.9,27.2,38.8,47.2,58.4,60.2,64.6,57.9,43.0,31.3,26.8
West Virginia,1907,-2.4,-7.2,2.7,0.9,7.1,11.4,15.9,14.3,12.2,1.9,-0.4,-3.8,27.7,19.1,36.8,33.7,44.7,52.6,60.6,57.8,54.0,35.5,31.3,25.1
West Virginia,1908,-7.3,-6.4,1.8,4.9,10.6,13.1,15.9,14.4,9.0,4.1,-1.7,-3.5,18.9,20.5,35.3,40.8,51.1,55.6,60.7,58.0,48.2,39.3,28.9,25.7
