state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Wisconsin,1895,-19.2,-19.3,-9.9,0.9,6.1,11.8,11.5,12.2,9.9,-2.4,-6.6,-10.8,-2.6,-2.8,14.1,33.7,43.0,53.3,52.7,54.0,49.9,27.7,20.1,12.5
Wisconsin,1896,-14.2,-13.5,-10.6,2.0,9.8,11.4,13.6,12.8,6.2,-0.8,-8.4,-9.9,6.5,7.7,13.0,35.6,49.6,52.6,56.4,55.0,43.2,30.5,16.8,14.2
Wisconsin,1897,-15.6,-12.0,-9.8,-0.1,4.3,9.9,15.3,10.9,10.5,3.8,-7.4,-15.5,3.9,10.4,14.4,31.9,39.7,49.9,59.6,51.6,50.9,38.8,18.6,4.1
Wisconsin,1898,-12.6,-12.8,-5.5,-1.1,5.7,11.9,13.6,12.0,9.2,1.7,-6.7,-16.3,9.4,8.9,22.1,30.1,42.2,53.4,56.5,53.6,48.6,35.1,20.0,2.7
Wisconsin,1899,-17.6,-20.9,-14.2,0.4,6.1,11.6,13.7,13.7,6.3,3.6,-2.0,-12.3,0.3,-5.6,6.4,32.8,42.9,52.9,56.7,56.6,43.4,38.5,28.4,9.8
Wisconsin,1900,-11.7,-19.9,-10.8,1.3,6.4,10.5,13.2,16.4,9.3,6.7,-6.5,-10.2,10.9,-3.9,12.5,34.3,43.6,50.9,55.8,61.6,48.8,44.0,20.3,13.6
Wisconsin,1901,-15.2,-18.7,-8.4,0.3,5.7,11.8,16.3,12.6,7.8,2.8,-6.6,-13.9,4.7,-1.6,16.8,32.6,42.3,53.2,61.4,54.7,46.1,37.0,20.1,7.0
Wisconsin,1902,-14.4,-16.1,-4.5,-1.1,7.3,9.5,14.4,11.3,7.1,1.9,-1.6,-13.2,6.0,3.1,23.9,30.1,45.2,49.1,57.9,52.3,44.7,35.5,29.2,8.3
Wisconsin,1903,-15.9,-15.9,-4.0,0.1,6.9,8.6,13.3,11.2,7.7,1.7,-7.6,-17.5,3.4,3.4,24.8,32.1,44.4,47.5,55.9,52.2,45.8,35.1,18.3,0.5
Wisconsin,1904,-20.2,-21.6,-8.2,-3.0,5.3,10.4,12.0,10.6,7.9,2.4,-3.8,-13.5,-4.4,-6.8,17.2,26.6,41.6,50.8,53.6,51.1,46.2,36.4,25.2,7.7
Wisconsin,1905,-20.3,-19.1,-5.8,-0.8,4.6,10.8,13.3,13.3,9.6,1.0,-5.2,-10.6,-4.5,-2.4,21.6,30.6,40.3,51.4,55.9,55.9,49.2,33.8,22.7,12.9
Wisconsin,1906,-12.6,-15.9,-12.0,0.9,4.9,11.0,12.6,14.1,10.6,1.6,-4.1,-11.1,9.3,3.3,10.4,33.6,40.9,51.8,54.6,57.3,51.1,34.8,24.7,12.1
Wisconsin,1907,-17.1,-15.2,-5.8,-4.1,1.5,10.3,13.2,11.6,8.1,0.3,-4.9,-10.6,1.3,4.6,21.6,24.7,34.7,50.6,55.8,52.8,46.6,32.5,23.2,12.9
Wisconsin,1908,-13.9,-12.8,-6.9,0.0,6.4,10.7,13.8,11.4,10.0,3.1,-4.2,-12.4,7.0,9.0,19.5,32.0,43.5,51.2,56.9,52.5,50.0,37.5,24.4,9.7
Wisconsin,1909,-14.6,-12.7,-8.0,-2.8,4.6,11.3,12.8,14.4,7.6,0.6,-2.1,-14.6,5.8,9.2,17.6,27.0,40.3,52.3,55.0,58.0,45.7,33.0,28.2,5.8
Wisconsin,1910,-16.3,-17.9,-2.3,1.0,3.0,10.7,13.2,12.4,7.5,3.1,-6.7,-13.9,2.7,-0.2,27.9,33.8,37.4,51.2,55.7,54.4,45.5,37.6,19.9,7.0
Wisconsin,1911,-16.8,-10.9,-6.2,-0.6,8.1,13.6,13.1,11.4,8.1,1.7,-9.1,-8.6,1.7,12.4,20.9,30.9,46.6,56.5,55.6,52.5,46.5,35.0,15.7,16.6
Wisconsin,1912,-26.2,-17.4,-12.8,0.0,6.1,9.2,13.7,11.7,8.9,2.2,-4.4,-10.3,-15.2,0.6,9.0,32.0,42.9,48.6,56.6,53.0,48.0,36.0,24.0,13.4
Wisconsin,1913,-15.9,-18.0,-10.9,0.4,5.1,11.7,13.3,13.2,7.9,1.4,-2.2,-7.2,3.4,-0.4,12.3,32.8,41.2,53.1,55.9,55.8,46.3,34.5,28.0,19.1
Wisconsin,1914,-10.8,-20.7,-8.6,-1.2,6.9,10.9,14.7,12.1,8.3,4.6,-5.1,-15.7,12.5,-5.3,16.6,29.9,44.4,51.6,58.5,53.8,46.9,40.3,22.9,3.7
Wisconsin,1915,-17.1,-9.0,-8.6,3.6,4.1,8.6,11.7,9.2,8.4,2.7,-3.9,-11.2,1.2,15.8,16.5,38.4,39.3,47.4,53.0,48.6,47.1,36.8,24.9,11.9
Wisconsin,1916,-16.3,-16.9,-11.0,-0.4,5.3,9.3,16.6,13.2,7.2,1.6,-6.0,-16.6,2.7,1.5,12.2,31.2,41.5,48.7,61.8,55.7,44.9,34.8,21.2,2.2
Wisconsin,1917,-20.2,-21.7,-8.8,-1.7,2.2,8.8,14.0,10.4,6.6,-2.2,-3.7,-17.2,-4.3,-7.1,16.2,28.9,36.0,47.9,57.2,50.8,43.9,28.1,25.4,1.1
Wisconsin,1918,-21.8,-16.6,-5.7,-2.9,7.1,10.7,12.6,13.0,4.1,2.8,-2.5,-6.7,-7.3,2.2,21.7,26.8,44.8,51.2,54.6,55.4,39.4,37.0,27.5,20.0
Wisconsin,1919,-11.4,-12.8,-7.4,0.2,4.9,14.4,14.6,11.7,9.1,1.5,-6.8,-18.2,11.4,9.0,18.6,32.3,40.8,58.0,58.3,53.1,48.4,34.7,19.8,-0.8
Wisconsin,1920,-20.7,-15.7,-7.9,-3.1,4.4,11.9,12.1,10.7,9.2,4.9,-4.7,-9.3,-5.2,3.8,17.8,26.5,40.0,53.4,53.8,51.2,48.6,40.9,23.6,15.2
Wisconsin,1921,-10.9,-11.0,-5.2,2.2,7.4,14.1,16.9,12.6,10.3,3.2,-6.9,-11.8,12.3,12.2,22.7,36.0,45.3,57.3,62.4,54.6,50.5,37.7,19.6,10.8
Wisconsin,1922,-18.2,-16.8,-6.9,-0.1,9.2,12.0,12.8,12.7,9.2,2.7,-0.7,-13.8,-0.8,1.8,19.6,31.9,48.5,53.6,55.1,54.9,48.6,36.9,30.8,7.2
Wisconsin,1923,-13.9,-19.7,-13.1,-2.2,4.7,13.3,14.6,10.8,8.6,0.6,-3.3,-6.7,7.0,-3.4,8.4,28.0,40.4,55.9,58.3,51.5,47.4,33.0,26.0,19.9
Wisconsin,1924,-21.8,-12.7,-8.1,-0.7,2.5,9.4,11.8,11.6,6.0,4.1,-5.3,-17.7,-7.2,9.1,17.4,30.7,36.5,48.9,53.2,52.9,42.8,39.3,22.5,0.2
Wisconsin,1925,-16.2,-12.6,-6.9,1.3,2.5,12.0,13.2,12.5,10.0,-1.9,-6.6,-14.4,2.9,9.4,19.6,34.4,36.5,53.6,55.7,54.5,50.0,28.6,20.1,6.1
Wisconsin,1926,-16.0,-12.3,-11.7,-3.3,5.7,8.6,13.4,13.1,7.9,1.3,-7.6,-15.3,3.2,9.9,11.0,26.1,42.3,47.5,56.2,55.5,46.3,34.4,18.4,4.4
Wisconsin,1927,-17.6,-11.3,-4.4,0.1,4.9,9.4,12.2,8.8,10.1,2.9,-4.9,-17.2,0.3,11.6,24.1,32.2,40.9,49.0,53.9,47.8,50.2,37.2,23.2,1.1
Wisconsin,1928,-14.3,-13.3,-8.3,-3.4,6.0,8.9,14.1,12.9,6.2,3.3,-2.9,-9.4,6.2,8.1,17.0,25.8,42.8,48.0,57.3,55.2,43.2,37.9,26.8,15.1
Wisconsin,1929,-23.5,-19.9,-5.9,0.9,3.8,9.7,13.7,11.4,7.6,1.7,-7.2,-12.1,-10.3,-3.8,21.3,33.6,38.8,49.5,56.6,52.6,45.7,35.1,19.0,10.3
Wisconsin,1930,-19.9,-10.6,-7.7,-0.2,6.7,11.9,13.7,12.3,7.8,2.3,-4.1,-10.8,-3.8,12.9,18.1,31.6,44.0,53.5,56.6,54.2,46.0,36.2,24.7,12.6
Wisconsin,1931,-10.2,-8.0,-6.3,0.0,4.7,13.7,15.1,11.9,11.5,5.2,-1.1,-5.8,13.6,17.6,20.6,32.0,40.4,56.7,59.2,53.4,52.7,41.4,30.1,21.6
Wisconsin,1932,-10.5,-13.4,-11.5,-1.2,6.1,12.4,14.0,12.9,6.3,1.1,-7.4,-13.9,13.1,7.8,11.3,29.8,43.0,54.4,57.2,55.3,43.3,34.0,18.7,7.0
Wisconsin,1933,-10.7,-17.3,-7.5,-0.8,7.2,14.9,14.8,11.0,10.3,0.5,-6.6,-13.8,12.8,0.9,18.5,30.6,44.9,58.8,58.7,51.8,50.5,32.9,20.1,7.1
Wisconsin,1934,-10.9,-16.3,-9.7,-0.5,7.9,13.0,14.3,10.9,7.7,3.6,-1.9,-14.5,12.4,2.6,14.5,31.1,46.3,55.4,57.7,51.6,45.8,38.4,28.6,5.9
Wisconsin,1935,-18.2,-11.8,-6.0,-0.8,3.8,9.7,16.9,13.7,7.7,1.8,-5.8,-12.1,-0.7,10.8,21.2,30.5,38.8,49.5,62.5,56.6,45.8,35.3,21.5,10.2
Wisconsin,1936,-18.9,-23.8,-6.5,-3.0,8.1,9.4,15.2,13.7,10.0,0.3,-7.0,-10.9,-2.1,-10.8,20.3,26.6,46.5,49.0,59.4,56.7,50.0,32.6,19.4,12.3
Wisconsin,1937,-19.4,-15.6,-9.9,-0.3,6.5,10.9,14.7,15.1,8.0,0.7,-6.3,-13.8,-3.0,3.9,14.2,31.4,43.7,51.6,58.4,59.2,46.4,33.3,20.7,7.2
Wisconsin,1938,-15.6,-10.8,-4.7,0.7,6.3,11.2,14.7,14.4,8.7,4.3,-4.4,-11.7,3.9,12.6,23.6,33.2,43.4,52.2,58.4,57.9,47.6,39.8,24.0,11.0
Wisconsin,1939,-11.7,-17.9,-8.9,-2.1,7.3,12.6,14.3,12.8,9.0,2.1,-5.1,-7.3,11.0,-0.2,15.9,28.3,45.2,54.6,57.7,55.0,48.2,35.8,22.8,18.9
Wisconsin,1940,-18.8,-12.1,-10.8,-1.9,4.6,11.3,14.3,13.4,8.9,3.7,-6.2,-10.5,-1.8,10.3,12.6,28.6,40.2,52.4,57.8,56.1,48.0,38.7,20.9,13.1
Wisconsin,1941,-12.9,-14.9,-10.2,2.8,8.2,12.4,14.4,12.7,10.1,3.6,-2.9,-7.3,8.8,5.2,13.7,37.1,46.8,54.4,57.9,54.8,50.2,38.4,26.7,18.8
Wisconsin,1942,-13.5,-13.3,-4.3,1.9,5.5,11.8,13.6,12.9,7.5,1.6,-5.5,-14.1,7.7,8.0,24.2,35.5,41.9,53.2,56.4,55.2,45.5,34.9,22.1,6.7
Wisconsin,1943,-18.1,-15.3,-12.1,-1.8,5.2,13.5,14.9,13.8,6.1,1.5,-6.7,-11.7,-0.5,4.4,10.2,28.8,41.4,56.3,58.8,56.8,42.9,34.7,19.9,10.9
Wisconsin,1944,-10.0,-12.7,-9.0,-2.2,8.4,12.8,13.2,13.3,9.4,1.3,-0.9,-13.4,14.0,9.1,15.8,28.1,47.2,55.1,55.8,56.0,48.9,34.4,30.3,7.8
Wisconsin,1945,-16.9,-14.7,-3.2,-0.1,3.2,8.9,12.4,12.6,7.8,0.6,-5.1,-14.6,1.5,5.6,26.2,31.9,37.8,48.1,54.4,54.6,46.1,33.1,22.9,5.8
Wisconsin,1946,-14.1,-14.7,-2.2,0.4,4.2,10.8,13.6,11.1,7.4,3.5,-4.8,-11.7,6.6,5.6,28.1,32.8,39.6,51.4,56.5,52.0,45.3,38.3,23.3,10.9
Wisconsin,1947,-13.1,-15.8,-8.6,-1.2,3.3,9.7,13.1,16.2,9.2,6.7,-7.0,-12.3,8.5,3.6,16.6,29.8,38.0,49.5,55.6,61.1,48.5,44.1,19.4,9.8
Wisconsin,1948,-19.9,-16.1,-9.6,1.5,4.5,10.7,14.2,13.1,9.1,1.1,-1.8,-12.2,-3.8,3.1,14.7,34.7,40.1,51.3,57.6,55.5,48.4,34.0,28.7,10.1
Wisconsin,1949,-13.7,-15.1,-7.5,-0.8,6.3,13.2,15.7,13.5,6.0,3.5,-4.1,-11.8,7.4,4.9,18.5,30.6,43.3,55.8,60.2,56.3,42.8,38.3,24.6,10.7
Wisconsin,1950,-17.8,-15.2,-10.7,-3.6,4.9,10.9,12.0,9.9,7.7,4.0,-7.7,-16.5,-0.1,4.7,12.7,25.5,40.8,51.6,53.6,49.8,45.9,39.2,18.2,2.3
Wisconsin,1951,-18.1,-14.5,-9.8,-0.4,7.6,9.7,13.2,11.7,6.7,2.7,-9.8,-13.3,-0.5,5.9,14.4,31.3,45.6,49.5,55.8,53.0,44.0,36.9,14.4,8.0
