state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Wyoming,1895,-16.1,-16.6,-10.2,-2.4,1.1,4.2,8.0,8.2,2.7,-2.6,-10.2,-14.5,3.1,2.2,13.7,27.7,33.9,39.5,46.4,46.8,36.8,27.3,13.6,5.9
Wyoming,1896,-12.3,-11.0,-10.3,-3.9,1.1,6.8,9.9,8.2,2.9,-2.8,-12.9,-8.7,9.8,12.2,13.4,25.0,34.0,44.2,49.9,46.7,37.3,26.9,8.7,16.4
Wyoming,1897,-15.6,-12.9,-12.1,-3.1,3.2,6.1,7.7,8.4,5.5,-0.6,-8.1,-15.3,4.0,8.7,10.2,26.4,37.8,43.0,45.9,47.2,41.9,30.9,17.4,4.5
Wyoming,1898,-17.0,-10.5,-10.0,-2.8,2.4,6.1,9.2,9.3,2.3,-3.3,-10.5,-16.8,1.4,13.1,14.0,26.9,36.4,42.9,48.5,48.8,36.2,26.1,13.1,1.8
Wyoming,1899,-12.0,-19.0,-10.9,-2.9,0.7,4.9,8.9,7.1,3.4,-2.2,-6.4,-14.2,10.4,-2.2,12.4,26.7,33.2,40.8,48.0,44.8,38.2,28.1,20.4,6.4
Wyoming,1900,-10.0,-13.3,-6.6,-1.2,3.3,8.2,9.7,9.4,4.1,-0.8,-7.3,-8.9,14.0,8.0,20.2,29.8,38.0,46.8,49.4,48.9,39.4,30.6,18.8,15.9
Wyoming,1901,-12.0,-14.2,-7.7,-2.6,4.9,5.9,11.3,10.6,2.9,0.1,-6.1,-11.2,10.4,6.4,18.1,27.4,40.9,42.6,52.3,51.0,37.2,32.2,21.1,11.8
Wyoming,1902,-13.7,-9.4,-7.9,-3.4,2.8,6.1,8.1,8.3,2.3,-1.8,-7.8,-12.6,7.4,15.1,17.8,25.8,37.0,43.0,46.6,47.0,36.1,28.8,17.9,9.3
Wyoming,1903,-12.2,-19.1,-9.3,-3.5,0.9,6.7,8.8,8.7,2.3,-1.7,-8.7,-11.2,10.1,-2.4,15.2,25.7,33.7,44.1,47.8,47.6,36.1,28.9,16.4,11.9
Wyoming,1904,-13.2,-11.4,-7.4,-2.7,2.4,5.3,8.6,8.6,3.3,-0.9,-7.2,-11.3,8.3,11.5,18.7,27.2,36.3,41.5,47.5,47.5,37.9,30.4,19.1,11.7
