state,Norway maple,London planetree,Red maple,Crape myrtle,Green ash,Callery pear,Honeylocust,Live oak,Pin oak,Littleleaf linden
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,213.0,15600.0,4597.0,71398.0,21.0,4340.0,0.0,7786.0,1007.0,131.0
Colorado,13047.0,2.0,3117.0,0.0,33041.0,22.0,8941.0,0.0,339.0,13271.0
District of Columbia,3376.0,0.0,12543.0,4350.0,53.0,0.0,715.0,2.0,8815.0,2583.0
Florida,0.0,0.0,2262.0,503.0,11.0,115.0,0.0,28535.0,0.0,0.0
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,712.0,0.0,395.0,0.0,1558.0,28.0,405.0,0.0,252.0,327.0
Kansas,562.0,97.0,13289.0,0.0,1928.0,1357.0,920.0,0.0,3419.0,900.0
Kentucky,27.0,0.0,1538.0,0.0,1404.0,387.0,179.0,5.0,1678.0,122.0
Louisiana,0.0,0.0,1379.0,0.0,153.0,0.0,0.0,0.0,14.0,0.0
Maryland,3716.0,6033.0,12895.0,0.0,1111.0,4746.0,64.0,12.0,2427.0,5933.0
Massachusetts,20.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Michigan,20431.0,600.0,5520.0,0.0,2058.0,1715.0,65.0,0.0,736.0,3415.0
Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,1127.0,2248.0,8572.0,0.0,7761.0,7196.0,131.0,0.0,6498.0,3624.0
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,1.0,0.0,0.0,1.0,20.0,0.0,159.0,0.0,0.0,28.0
New York,44064.0,91097.0,21552.0,0.0,19468.0,60941.0,71857.0,0.0,53655.0,38799.0
North Carolina,3.0,54.0,924.0,30.0,71.0,237.0,0.0,105.0,44.0,52.0
Ohio,3846.0,3124.0,7230.0,0.0,7306.0,6699.0,0.0,0.0,1228.0,3622.0
Oklahoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oregon,19209.0,0.0,15475.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0
Pennsylvania,3715.0,3238.0,3422.0,0.0,248.0,2969.0,101.0,0.0,1672.0,2413.0
Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,2223.0,0.0,0.0,0.0
Tennessee,0.0,281.0,51.0,0.0,44.0,23.0,0.0,0.0,2.0,0.0
Texas,0.0,0.0,1039.0,44320.0,1171.0,394.0,19.0,47203.0,279.0,0.0
Virginia,19.0,22.0,148.0,0.0,53.0,46.0,7.0,0.0,133.0,27.0
Washington,4649.0,0.0,5333.0,321.0,0.0,2540.0,0.0,0.0,868.0,2326.0
Wisconsin,23823.0,97.0,394.0,0.0,20802.0,516.0,6168.0,0.0,120.0,4755.0
